"subject","study","condition","pretty_condition","session","exp_id","sona_id","pool","mode","attn_check","effort","difficulty","confidence","enjoyment","other","age","country","language","schoolyear","major","gender","disability","browser","width","height","os","starttime","status","term","violations","absolute_score","totaltime_m","reason"
"MS26C","SGC4B","1113","cross","wi22sona","2217","43221","sona","asynch","FALSE","I tried my best on most questions",5,2,3,"",20,"United States","English","Third","Math or Computer Sciences","Male","","chrome",1440,789,"Mac OS","2022-03-05T07:09:35.658Z","success","winter22",2,0,3.12178333333333,"failed-attnchk"
"LZWBG","SGC4B","1112","arrow","wi22sona","2217","41723","sona","asynch","FALSE","I tried my best on most questions",4,2,3,"I feel as though I did not fully understand what I was doing until halfway through this activity. I wish I could go back and change my answers because I probably got them wrong due to my stupidity.",19,"United States","English","First","Natural Sciences","Female","No","chrome",1280,689,"Mac OS","2022-03-03T07:04:39.878Z","success","winter22",1,2,13.2562833333333,"failed-attnchk"
"TPYXO","SGC4B","1113","cross","wi22sona","2218","27098","sona","asynch","FALSE","I tried my best on most questions",1,3,5,"Nothing. ",21,"United States","English","Fourth","Social Sciences (incl. CogSci)","Female","No","chrome",1437,715,"Mac OS","2022-03-09T21:59:46.120Z","success","winter22",1,0,4.37396666666667,"failed-attnchk"
"0OYXB","SGC4B","1112","arrow","wi22sona","2217","32992","sona","asynch","FALSE","I tried my best on each question",5,3,4,"",21,"United States","X-Other","Fourth","Social Sciences (incl. CogSci)","Female","no","chrome",1442,689,"Mac OS","2022-03-06T03:31:38.557Z","success","winter22",1,1,7.3944,"failed-attnchk"
"TYYXK","SGC4B","1112","arrow","wi22sona","2218","41698","sona","asynch","FALSE","I tried my best on most questions",3,5,4,"the coffee break questions regarding halfway points comparing shifts was difficult",21,"United States","English","Third","Biomedical & Health Sciences","Male","no","chrome",1536,746,"Windows 10","2022-03-09T20:27:48.712Z","success","winter22",1,0,6.86296666666667,"failed-attnchk"
"B97Q1","SGC4B","11111","point","wi22sona","2218","43305","sona","asynch","FALSE","I tried my best on each question",4,3,4,NA,18,"USA","English","First","Humanities","Male","NO","chrome",1434,723,"Mac OS","2022-03-08T22:23:46.990Z","success","winter22",1,4,5.56106666666667,"failed-attnchk"
"9RNM2","SGC4B","11111","point","wi22sona","2218","30405","sona","asynch","FALSE","I tried my best on most questions",5,3,3,"It was very tricky",22,"USA","English","Fourth","Social Sciences (incl. CogSci)","Female","no","chrome",1254,718,"Mac OS","2022-03-08T19:55:12.477Z","success","winter22",1,1,7.3762,"failed-attnchk"
"52QNH","SGC4B","11111","point","wi22sona","2217","43341","sona","asynch","FALSE","I tried my best on most questions",4,4,3,"",23,"hk","Cantonese","Third","Engineering","Male","na","chrome",1536,713,"Windows 10","2022-03-09T20:55:19.383Z","success","winter22",1,1,7.875,"failed-attnchk"
"8PJT2","SGC4B","11111","point","wi22sona","2218","27946","sona","asynch","FALSE","I tried my best on most questions",3,2,2,"",22,"United States","English","Fourth","Social Sciences (incl. CogSci)","Male","","chrome",1440,725,"Mac OS","2022-03-07T05:08:38.916Z","success","winter22",1,0,3.59216666666667,"failed-attnchk"
"UY6Q1","SGC4B","11111","point","wi22sona","2217","42709","sona","asynch","FALSE","I tried my best on each question",1,2,4,"",20,"United States","English","Second","Social Sciences (incl. CogSci)","Female","","chrome",1680,860,"Mac OS","2022-03-09T21:12:32.682Z","success","winter22",1,0,2.86398333333333,"failed-attnchk"
"CY2RD","SGC4B","11111","point","wi22sona","2217","43339","sona","asynch","FALSE","I tried my best on each question",3,2,2,"",19,"United States","X-Other","Second","Social Sciences (incl. CogSci)","Male","No","chrome",1920,1080,"Mac OS","2022-03-09T20:54:03.798Z","success","winter22",1,1,3.03871666666667,"failed-attnchk"
"1KSWF","SGC4B","11111","point","wi22sona","2218","43132","sona","asynch","FALSE","I tried my best on each question",5,3,2,"",19,"United States","Spanish","First","Biomedical & Health Sciences","Female","no","chrome",1178,680,"Mac OS","2022-03-07T03:05:44.132Z","success","winter22",1,0,1.12558333333333,"failed-attnchk"
