"subject","study","condition","pretty_condition","session","exp_id","sona_id","pool","mode","attn_check","explanation","effort","difficulty","confidence","enjoyment","other","age","country","language","schoolyear","major","gender","disability","browser","width","height","os","starttime","status","term","violations","absolute_score","totaltime_m","reason"
"MR48X","SGC4A","115","Orth-Grid","wi22sona","2218","36515","sona","asynch","FALSE","read the x axis for whose shift is starting at 12","I tried my best on most questions",3,2,3,"i only figured out how the graph really works half way through... so the first few were based on a wrong way to read the graph",21,"Taiwan","Mandarin","Second","Engineering","Female","","chrome",1440,789,"Mac OS","2022-03-06T01:56:56.001Z","success","winter22",1,0,10.5579166666667,"failed-attnchk"
"8KHG2","SGC4A","113","Tri-Sparse","wi22sona","2218","39023","sona","asynch","FALSE","Find the 12 pm marking on the x axis then follow the line that goes up diagonally to the right. The two events that start at 12 pm are M and L.","I tried my best on each question",3,3,5,"I think that I did worse at the beginning because I didn't understand the graph, but as I got more practice, the graph started to make sense. The questions that asked to name a specific number of shifts (ex: ""which two shifts start at 2 pm"") helped me to understand the graph because I knew there had to be exactly x amount of shifts.",19,"United States","English","Second","Social Sciences (incl. CogSci)","Female","","chrome",1310,718,"Mac OS","2022-02-28T21:14:01.916Z","success","winter22",1,8,13.2374166666667,"failed-attnchk"
"8ACGU","SGC4A","113","Tri-Sparse","wi22sona","2218","36222","sona","asynch","FALSE","the start and end tine )time of the day","I tried my best on most questions",3,3,1,"",19,"2","Mandarin","Second","Social Sciences (incl. CogSci)","Female","","chrome",1143,744,"Mac OS","2022-03-04T03:23:03.421Z","success","winter22",1,1,6.94538333333333,"failed-attnchk"
"N7191","SGC4A","113","Tri-Sparse","wi22sona","2218","41926","sona","asynch","FALSE","idk","I tried my best on each question",4,5,4,"no",20,"us","English","Third","Social Sciences (incl. CogSci)","Male","no","chrome",1512,834,"Mac OS","2022-03-05T21:29:01.568Z","success","winter22",2,0,4.99846666666667,"failed-attnchk"
"9QTG7","SGC4A","114","Orth-Sparse","wi22sona","2218","40291","sona","asynch","FALSE","i been about the patarens ","I tried my best on each question",1,1,2,"i think it is very good 
",22,"Syria ","Arabic","Third","Social Sciences (incl. CogSci)","Female","no i do not think so","chrome",1298,729,"Mac OS","2022-03-04T23:58:05.184Z","success","winter22",1,0,4.2638,"failed-attnchk"
"1MRXV","SGC4A","113","Tri-Sparse","wi22sona","2218","34370","sona","asynch","FALSE","go to 12pm at the bottom and follow up ","I tried my best on each question",4,3,5,"",20,"CA","Spanish","Third","Humanities","Female","NA","chrome",1440,821,"Mac OS","2022-03-02T23:35:18.060Z","success","winter22",1,0,3.61293333333333,"failed-attnchk"
"PTBB6","SGC4A","113","Tri-Sparse","wi22sona","2218","43178","sona","asynch","FALSE","Go to the x-axis and look at 12pm. The dots on the diamond points above 12pm start at 12pm. ","I tried my best on each question",2,4,5,"",18,"United States","English","First","Social Sciences (incl. CogSci)","Female","","chrome",1436,706,"Mac OS","2022-03-04T07:01:46.132Z","success","winter22",2,0,11.49175,"failed-attnchk"
"FC4XO","SGC4A","115","Orth-Grid","wi22sona","2218","39312","sona","asynch","FALSE","look at the 12pm x axis and go up to the dots that link with the x axis point.","I tried my best on each question",3,4,5,"",23,"United States","Spanish","Fourth","Social Sciences (incl. CogSci)","Male","no","chrome",1366,768,"Chrome OS","2022-03-02T20:49:34.947Z","success","winter22",1,1,34.4016166666667,"failed-attnchk"
"B40T1","SGC4A","114","Orth-Sparse","wi22sona","2218","35803","sona","asynch","FALSE","I just look at the x-axis, but actually I do not really know how to ","I tried my best on most questions",4,3,3,"",20,"China","Mandarin","Second","Social Sciences (incl. CogSci)","Female","","chrome",1440,764,"Mac OS","2022-03-05T07:14:21.138Z","success","winter22",1,1,9.87711666666667,"failed-attnchk"
"FUGKW","SGC4A","113","Tri-Sparse","wi22sona","2218","41651","sona","asynch","FALSE","if it says so at the bottom","I tried my best on most questions",5,2,2,"this was so confusing",18,"United States","English","First","Social Sciences (incl. CogSci)","Female","","chrome",1366,768,"Windows 10","2022-03-03T05:18:10.496Z","success","winter22",1,0,11.3704166666667,"failed-attnchk"
"KC3AQ","SGC4A","114","Orth-Sparse","wi22sona","2218","43228","sona","asynch","FALSE","where the marker is","I tried my best on each question",3,3,3,"",20,"usa","English","Third","Biomedical & Health Sciences","Female","","chrome",1440,682,"Mac OS","2022-03-05T01:08:20.819Z","success","winter22",1,1,5.44913333333333,"failed-attnchk"
"VF806","SGC4A","115","Orth-Grid","wi22sona","2218","35707","sona","asynch","FALSE","Using the X-axis of the data I used the time as the beginning of a shift. Those that are located directly on top of 12 pm would be events that started at 12 pm
","I tried my best on each question",3,3,2,"The pattern on the graph makes things more confusing, the diamond shape throws me off to where a point is actually located. ",20,"United States","English","Third","Natural Sciences","Female","Nope","chrome",1536,754,"Windows 10","2022-03-03T10:44:01.881Z","success","winter22",1,0,12.3702666666667,"failed-attnchk"
"G9GC7","SGC4A","114","Orth-Sparse","wi22sona","2218","40529","sona","asynch","FALSE","To determine what events start at 12, one must look at what is directly above the 12 pm mark on the x-axis.","I tried my best on each question",5,2,3,"N/A",18,"Mexico","Spanish","First","Social Sciences (incl. CogSci)","Other-Not Listed","No.","chrome",1440,702,"Mac OS","2022-02-28T09:46:49.096Z","success","winter22",1,1,12.6734166666667,"failed-attnchk"
"YSGN7","SGC4A","115","Orth-Grid","wi22sona","2218","33094","sona","asynch","FALSE","follow the middle of the triangle all the way up","I tried my best on most questions",3,2,2,"",21,"USA","English","Third","Social Sciences (incl. CogSci)","Female","N/A","chrome",1440,821,"Mac OS","2022-03-06T00:20:51.855Z","success","winter22",1,2,4.88601666666667,"failed-attnchk"
"UGGWC","SGC4A","113","Tri-Sparse","wi22sona","2218","42351","sona","asynch","FALSE","Lunch","I tried my best on most questions",5,2,2,"",22,"United States","English","Third","Social Sciences (incl. CogSci)","Female","","chrome",1440,743,"Mac OS","2022-02-28T17:37:21.101Z","success","winter22",1,2,7.39106666666667,"failed-attnchk"
"1LWC7","SGC4A","113","Tri-Sparse","wi22sona","2218","40329","sona","asynch","FALSE","Look at the points directly above 12","I tried my best on each question",3,3,4,"It's interesting because I don't consider myself savvy with reading charts",24,"USA","English","Third","Social Sciences (incl. CogSci)","Female","N/a","chrome",1239,696,"Mac OS","2022-03-04T19:30:10.343Z","success","winter22",1,1,6.25018333333333,"failed-attnchk"
"L4J12","SGC4A","113","Tri-Sparse","wi22sona","2218","38274","sona","asynch","FALSE","Find the 12pm label on the horizontal axis. Follow the diagonal going up and to the right. This will show that point M and L have start times at 12. ","I tried my best on each question",4,3,2,"",22,"United States","English","Fourth","Social Sciences (incl. CogSci)","Male","No","chrome",1440,821,"Mac OS","2022-03-03T01:42:54.595Z","success","winter22",1,8,25.6451333333333,"failed-attnchk"
"QP8ZB","SGC4A","113","Tri-Sparse","wi22sona","2218","41095","sona","asynch","FALSE","Look at the time on the bottom where it says 12 PM, and go directly up from there. The shifts that start at 12 PM should be B and F.","I tried my best on each question",4,2,5,"This task was interesting, just difficult because I didn't know how to read the graph at first and I kept realizing I was reading it wrong a few times throughout the survey.",19,"United States of America","Spanish","First","Social Sciences (incl. CogSci)","Female","No.","chrome",1440,789,"Mac OS","2022-03-06T00:14:48.897Z","success","winter22",1,0,13.9860333333333,"failed-attnchk"
"KSZRJ","SGC4A","114","Orth-Sparse","wi22sona","2218","39481","sona","asynch","FALSE","","I tried my best on most questions",3,3,3,"all good",21,"United States","Arabic","Fourth","Biomedical & Health Sciences","Male","no","chrome",1440,821,"Mac OS","2022-03-02T06:35:22.755Z","success","winter22",1,0,1.1558,"failed-attnchk"
"X9Q5T","SGC4A","114","Orth-Sparse","wi22sona","2218","36698","sona","asynch","FALSE","look at y axis and go up to the dots that are located on the 12pm coordinate","I tried my best on each question",2,2,2,"",21,"United States","English","Fourth","Social Sciences (incl. CogSci)","Female","no","chrome",1536,905,"Windows 10","2022-02-28T22:30:30.406Z","success","winter22",1.5,1,3.57533333333333,"failed-attnchk"
"NSFVM","SGC4A","11111","Orth-Full","wi22sona","2218","39845","sona","asynch","FALSE","B and F are starting their day","I tried my best on each question",3,3,3,"Hard to understand the graphs details 
",22,"US","X-Other","Fourth","Social Sciences (incl. CogSci)","Male","None","chrome",2498,1369,"Windows 10","2022-03-09T01:52:57.443Z","success","winter22",1,0,13.8427166666667,"failed-attnchk"
"33MKE","SGC4A","11111","Orth-Full","wi22sona","2218","43051","sona","asynch","FALSE","The dot at 12pm indicates that that is when the shift starts.","I tried my best on each question",5,1,3,"I feel that more instructions as to how to read the graph would have been helpful.",19,"U.S.","English","First","Humanities","Other-Not Listed","ADHD ","chrome",1920,969,"Windows 10","2022-03-09T02:10:07.343Z","success","winter22",1,1,8.58211666666667,"failed-attnchk"
"0FFJ5","SGC4A","11111","Orth-Full","wi22sona","2218","41488","sona","asynch","FALSE","By directing which points lie on the x axis of 12pm ","I tried my best on each question",3,2,5,"nothing",20,"united states","Spanish","Second","Social Sciences (incl. CogSci)","Female","none","chrome",1440,789,"Mac OS","2022-03-07T07:02:08.418Z","success","winter22",2,0,15.1727333333333,"failed-attnchk"
"BLAE2","SGC4A","11111","Orth-Full","wi22sona","2218","41375","sona","asynch","FALSE","I followed the 12 pm line to the right","I tried my best on each question",5,5,1,"I wish i studied more ",18,"US","English","First","Humanities","Male","i'm an artist ","chrome",1792,1041,"Mac OS","2022-03-08T09:38:47.835Z","success","winter22",1,1,3.78733333333333,"failed-attnchk"
"ZEJJ2","SGC4A","11111","Orth-Full","wi22sona","2218","38221","sona","asynch","FALSE","To determine which event(s) start at 12pm, I would find 12pm at the bottom of the graph, then work my way upwards in a straight line, stopping at each time duration line from the y-axis, and alternating between intersecting portions of the diagonal lines (what I saw as the point of a triangle) and the middle of no intersection (the base of a triangle).","I tried my best on each question",4,3,4,"",21,"United States","English","Third","Biomedical & Health Sciences","Female","","chrome",2560,1289,"Windows 10","2022-03-08T22:00:29.622Z","success","winter22",1.5,0,12.5776166666667,"failed-attnchk"
"AAGHE","SGC4A","11111","Orth-Full","wi22sona","2218","42466","sona","asynch","FALSE","THe shift
","I tried my best on most questions",3,2,3,"None
",19,"US","X-Other","First","Social Sciences (incl. CogSci)","Male","Nah","chrome",1451,688,"Mac OS","2022-03-09T02:38:31.162Z","success","winter22",1,0,2.90933333333333,"failed-attnchk"
"XSV5N","SGC4A","11111","Orth-Full","wi22sona","2218","41683","sona","asynch","FALSE","Consider what shifts were happening before 12pm and use that information to figure out whether a shift is starting, ending, or in process. ","I tried my best on each question",4,2,4,"I have had no experience reading shift schedules. I certainly hope they don't look like that.",19,"United States","English","First","Natural Sciences","Male","None. ","chrome",1920,975,"Windows 10","2022-03-07T04:26:45.787Z","success","winter22",1,0,15.25165,"failed-attnchk"
"SD7AK","SGC4A","11111","Orth-Full","wi22sona","2217","41729","sona","asynch","FALSE","By looking at the duration in hours of a shift and seeing when seeing it start on the x axis and adding them","I tried my best on most questions",4,2,3,"",20,"United States","English","Third","Social Sciences (incl. CogSci)","Female","","chrome",1440,789,"Mac OS","2022-03-09T21:47:29.414Z","success","winter22",2,1,5.371,"failed-attnchk"
"CF1U6","SGC4A","11111","Orth-Full","wi22sona","2218","41502","sona","asynch","FALSE","To determine what starts at 12 pm you would look at the x axis of the graph labeled ""start and end time"" and see which shifts align with 12pm.","I tried my best on each question",2,3,1,"",21,"United States","English","Third","Biomedical & Health Sciences","Female","","chrome",1186,688,"Mac OS","2022-03-09T04:42:12.205Z","success","winter22",3,0,14.2919833333333,"failed-attnchk"
"FRXBA","SGC4A","11111","Orth-Full","wi22sona","2218","34081","sona","asynch","FALSE","Start at 12 and draw a line straight up","I tried my best on each question",3,3,3,"",21,"United States of America","English","Fourth","Math or Computer Sciences","Male","","chrome",1536,760,"Windows 10","2022-03-07T05:59:59.845Z","success","winter22",2.5,1,5.2562,"failed-attnchk"
"EETML","SGC4A","11111","Orth-Full","wi22sona","2218","27828","sona","asynch","FALSE","The shifts that start at 12 are dots that line up vertically with the 12pm x axis","I tried my best on most questions",4,3,3,"",22,"United States","English","Fourth","Social Sciences (incl. CogSci)","Female","","chrome",1278,798,"Mac OS","2022-03-09T02:32:36.069Z","success","winter22",1,0,10.20095,"failed-attnchk"
"3U4NM","SGC4A","11111","Orth-Full","wi22sona","2218","40878","sona","asynch","FALSE","by looking at the dot at 12pm","I tried my best on each question",4,3,4,"",19,"US","English","First","Biomedical & Health Sciences","Other-Not Listed","no","chrome",1440,821,"Mac OS","2022-03-07T05:16:43.095Z","success","winter22",1,1,5.2203,"failed-attnchk"
