"subject","mode","pretty_condition","question","score","ROTATION","SHAPE"
"TVE99","asynch","ORTH-90",12,1,"90","ORTH"
"TVE99","asynch","ORTH-90",13,1,"90","ORTH"
"8DWYD","asynch","ORTH-90",1,0,"90","ORTH"
"8DWYD","asynch","ORTH-90",2,0,"90","ORTH"
"8DWYD","asynch","ORTH-90",3,0,"90","ORTH"
"8DWYD","asynch","ORTH-90",4,0,"90","ORTH"
"8DWYD","asynch","ORTH-90",5,0,"90","ORTH"
"8DWYD","asynch","ORTH-90",6,1,"90","ORTH"
"8DWYD","asynch","ORTH-90",7,1,"90","ORTH"
"8DWYD","asynch","ORTH-90",8,1,"90","ORTH"
"8DWYD","asynch","ORTH-90",9,1,"90","ORTH"
"8DWYD","asynch","ORTH-90",10,1,"90","ORTH"
"8DWYD","asynch","ORTH-90",11,1,"90","ORTH"
"8DWYD","asynch","ORTH-90",12,1,"90","ORTH"
"8DWYD","asynch","ORTH-90",13,1,"90","ORTH"
"NY17O","asynch","ORTH-90",1,0,"90","ORTH"
"NY17O","asynch","ORTH-90",2,0,"90","ORTH"
"NY17O","asynch","ORTH-90",3,0,"90","ORTH"
"NY17O","asynch","ORTH-90",4,0,"90","ORTH"
"NY17O","asynch","ORTH-90",5,1,"90","ORTH"
"NY17O","asynch","ORTH-90",6,1,"90","ORTH"
"NY17O","asynch","ORTH-90",7,1,"90","ORTH"
"NY17O","asynch","ORTH-90",8,1,"90","ORTH"
"NY17O","asynch","ORTH-90",9,1,"90","ORTH"
"NY17O","asynch","ORTH-90",10,1,"90","ORTH"
"NY17O","asynch","ORTH-90",11,1,"90","ORTH"
"NY17O","asynch","ORTH-90",12,1,"90","ORTH"
"NY17O","asynch","ORTH-90",13,2,"90","ORTH"
"E1S0T","asynch","ORTH-90",1,0,"90","ORTH"
"E1S0T","asynch","ORTH-90",2,0,"90","ORTH"
"E1S0T","asynch","ORTH-90",3,0,"90","ORTH"
"E1S0T","asynch","ORTH-90",4,0,"90","ORTH"
"E1S0T","asynch","ORTH-90",5,1,"90","ORTH"
"E1S0T","asynch","ORTH-90",6,1,"90","ORTH"
"E1S0T","asynch","ORTH-90",7,2,"90","ORTH"
"E1S0T","asynch","ORTH-90",8,3,"90","ORTH"
"E1S0T","asynch","ORTH-90",9,4,"90","ORTH"
"E1S0T","asynch","ORTH-90",10,5,"90","ORTH"
"E1S0T","asynch","ORTH-90",11,6,"90","ORTH"
"E1S0T","asynch","ORTH-90",12,7,"90","ORTH"
"E1S0T","asynch","ORTH-90",13,8,"90","ORTH"
"F62ZV","asynch","ORTH-90",1,0,"90","ORTH"
"F62ZV","asynch","ORTH-90",2,0,"90","ORTH"
"F62ZV","asynch","ORTH-90",3,0,"90","ORTH"
"F62ZV","asynch","ORTH-90",4,0,"90","ORTH"
"F62ZV","asynch","ORTH-90",5,0,"90","ORTH"
"F62ZV","asynch","ORTH-90",6,0,"90","ORTH"
"F62ZV","asynch","ORTH-90",7,0,"90","ORTH"
"F62ZV","asynch","ORTH-90",8,0,"90","ORTH"
"F62ZV","asynch","ORTH-90",9,0,"90","ORTH"
"F62ZV","asynch","ORTH-90",10,0,"90","ORTH"
"F62ZV","asynch","ORTH-90",11,0,"90","ORTH"
"F62ZV","asynch","ORTH-90",12,0,"90","ORTH"
"F62ZV","asynch","ORTH-90",13,0,"90","ORTH"
"TNR4D","asynch","ORTH-90",1,0,"90","ORTH"
"TNR4D","asynch","ORTH-90",2,1,"90","ORTH"
"TNR4D","asynch","ORTH-90",3,1,"90","ORTH"
"TNR4D","asynch","ORTH-90",4,2,"90","ORTH"
"TNR4D","asynch","ORTH-90",5,2,"90","ORTH"
"TNR4D","asynch","ORTH-90",6,2,"90","ORTH"
"TNR4D","asynch","ORTH-90",7,2,"90","ORTH"
"TNR4D","asynch","ORTH-90",8,3,"90","ORTH"
"TNR4D","asynch","ORTH-90",9,3,"90","ORTH"
"TNR4D","asynch","ORTH-90",10,3,"90","ORTH"
"TNR4D","asynch","ORTH-90",11,3,"90","ORTH"
"TNR4D","asynch","ORTH-90",12,4,"90","ORTH"
"TNR4D","asynch","ORTH-90",13,4,"90","ORTH"
"U7EBF","asynch","ORTH-90",1,0,"90","ORTH"
"U7EBF","asynch","ORTH-90",2,0,"90","ORTH"
"U7EBF","asynch","ORTH-90",3,0,"90","ORTH"
"U7EBF","asynch","ORTH-90",4,0,"90","ORTH"
"U7EBF","asynch","ORTH-90",5,0,"90","ORTH"
"U7EBF","asynch","ORTH-90",6,0,"90","ORTH"
"U7EBF","asynch","ORTH-90",7,0,"90","ORTH"
"U7EBF","asynch","ORTH-90",8,0,"90","ORTH"
"U7EBF","asynch","ORTH-90",9,0,"90","ORTH"
"U7EBF","asynch","ORTH-90",10,0,"90","ORTH"
"U7EBF","asynch","ORTH-90",11,0,"90","ORTH"
"U7EBF","asynch","ORTH-90",12,0,"90","ORTH"
"U7EBF","asynch","ORTH-90",13,0,"90","ORTH"
"SR3BY","asynch","ORTH-90",1,0,"90","ORTH"
"SR3BY","asynch","ORTH-90",2,1,"90","ORTH"
"SR3BY","asynch","ORTH-90",3,1,"90","ORTH"
"SR3BY","asynch","ORTH-90",4,1,"90","ORTH"
"SR3BY","asynch","ORTH-90",5,1,"90","ORTH"
"SR3BY","asynch","ORTH-90",6,1,"90","ORTH"
"SR3BY","asynch","ORTH-90",7,1,"90","ORTH"
"SR3BY","asynch","ORTH-90",8,1,"90","ORTH"
"SR3BY","asynch","ORTH-90",9,1,"90","ORTH"
"SR3BY","asynch","ORTH-90",10,1,"90","ORTH"
"SR3BY","asynch","ORTH-90",11,1,"90","ORTH"
"SR3BY","asynch","ORTH-90",12,2,"90","ORTH"
"SR3BY","asynch","ORTH-90",13,2,"90","ORTH"
"64MXN","asynch","ORTH-90",1,0,"90","ORTH"
"64MXN","asynch","ORTH-90",2,0,"90","ORTH"
"64MXN","asynch","ORTH-90",3,0,"90","ORTH"
"64MXN","asynch","ORTH-90",4,0,"90","ORTH"
"64MXN","asynch","ORTH-90",5,0,"90","ORTH"
"64MXN","asynch","ORTH-90",6,0,"90","ORTH"
"64MXN","asynch","ORTH-90",7,0,"90","ORTH"
"64MXN","asynch","ORTH-90",8,0,"90","ORTH"
"64MXN","asynch","ORTH-90",9,0,"90","ORTH"
"64MXN","asynch","ORTH-90",10,0,"90","ORTH"
"64MXN","asynch","ORTH-90",11,0,"90","ORTH"
"64MXN","asynch","ORTH-90",12,0,"90","ORTH"
"64MXN","asynch","ORTH-90",13,0,"90","ORTH"
"T4H63","asynch","ORTH-90",1,0,"90","ORTH"
"T4H63","asynch","ORTH-90",2,0,"90","ORTH"
"T4H63","asynch","ORTH-90",3,0,"90","ORTH"
"T4H63","asynch","ORTH-90",4,0,"90","ORTH"
"T4H63","asynch","ORTH-90",5,1,"90","ORTH"
"T4H63","asynch","ORTH-90",6,1,"90","ORTH"
"T4H63","asynch","ORTH-90",7,1,"90","ORTH"
"T4H63","asynch","ORTH-90",8,1,"90","ORTH"
"T4H63","asynch","ORTH-90",9,1,"90","ORTH"
"T4H63","asynch","ORTH-90",10,1,"90","ORTH"
"T4H63","asynch","ORTH-90",11,1,"90","ORTH"
"T4H63","asynch","ORTH-90",12,2,"90","ORTH"
"T4H63","asynch","ORTH-90",13,2,"90","ORTH"
"MTKKB","asynch","ORTH-90",1,0,"90","ORTH"
"MTKKB","asynch","ORTH-90",2,0,"90","ORTH"
"MTKKB","asynch","ORTH-90",3,0,"90","ORTH"
"MTKKB","asynch","ORTH-90",4,0,"90","ORTH"
"MTKKB","asynch","ORTH-90",5,0,"90","ORTH"
"MTKKB","asynch","ORTH-90",6,0,"90","ORTH"
"MTKKB","asynch","ORTH-90",7,0,"90","ORTH"
"MTKKB","asynch","ORTH-90",8,0,"90","ORTH"
"MTKKB","asynch","ORTH-90",9,0,"90","ORTH"
"MTKKB","asynch","ORTH-90",10,0,"90","ORTH"
"MTKKB","asynch","ORTH-90",11,0,"90","ORTH"
"MTKKB","asynch","ORTH-90",12,0,"90","ORTH"
"MTKKB","asynch","ORTH-90",13,0,"90","ORTH"
"BECZE","asynch","ORTH-90",1,0,"90","ORTH"
"BECZE","asynch","ORTH-90",2,0,"90","ORTH"
"BECZE","asynch","ORTH-90",3,0,"90","ORTH"
"BECZE","asynch","ORTH-90",4,0,"90","ORTH"
"BECZE","asynch","ORTH-90",5,0,"90","ORTH"
"BECZE","asynch","ORTH-90",6,0,"90","ORTH"
"BECZE","asynch","ORTH-90",7,0,"90","ORTH"
"BECZE","asynch","ORTH-90",8,0,"90","ORTH"
"BECZE","asynch","ORTH-90",9,0,"90","ORTH"
"BECZE","asynch","ORTH-90",10,0,"90","ORTH"
"BECZE","asynch","ORTH-90",11,0,"90","ORTH"
"BECZE","asynch","ORTH-90",12,0,"90","ORTH"
"BECZE","asynch","ORTH-90",13,0,"90","ORTH"
"SK5XQ","asynch","ORTH-90",1,0,"90","ORTH"
"SK5XQ","asynch","ORTH-90",2,0,"90","ORTH"
"SK5XQ","asynch","ORTH-90",3,0,"90","ORTH"
"SK5XQ","asynch","ORTH-90",4,0,"90","ORTH"
"SK5XQ","asynch","ORTH-90",5,0,"90","ORTH"
"SK5XQ","asynch","ORTH-90",6,0,"90","ORTH"
"SK5XQ","asynch","ORTH-90",7,0,"90","ORTH"
"SK5XQ","asynch","ORTH-90",8,0,"90","ORTH"
"SK5XQ","asynch","ORTH-90",9,0,"90","ORTH"
"SK5XQ","asynch","ORTH-90",10,0,"90","ORTH"
"SK5XQ","asynch","ORTH-90",11,0,"90","ORTH"
"SK5XQ","asynch","ORTH-90",12,0,"90","ORTH"
"SK5XQ","asynch","ORTH-90",13,0,"90","ORTH"
"9BACG","asynch","ORTH-90",1,0,"90","ORTH"
"9BACG","asynch","ORTH-90",2,0,"90","ORTH"
"9BACG","asynch","ORTH-90",3,0,"90","ORTH"
"9BACG","asynch","ORTH-90",4,0,"90","ORTH"
"9BACG","asynch","ORTH-90",5,0,"90","ORTH"
"9BACG","asynch","ORTH-90",6,0,"90","ORTH"
"9BACG","asynch","ORTH-90",7,0,"90","ORTH"
"9BACG","asynch","ORTH-90",8,0,"90","ORTH"
"9BACG","asynch","ORTH-90",9,0,"90","ORTH"
"9BACG","asynch","ORTH-90",10,0,"90","ORTH"
"9BACG","asynch","ORTH-90",11,0,"90","ORTH"
"9BACG","asynch","ORTH-90",12,0,"90","ORTH"
"9BACG","asynch","ORTH-90",13,1,"90","ORTH"
"TDBLB","asynch","ORTH-90",1,0,"90","ORTH"
"TDBLB","asynch","ORTH-90",2,0,"90","ORTH"
"TDBLB","asynch","ORTH-90",3,0,"90","ORTH"
"TDBLB","asynch","ORTH-90",4,0,"90","ORTH"
"TDBLB","asynch","ORTH-90",5,0,"90","ORTH"
"TDBLB","asynch","ORTH-90",6,0,"90","ORTH"
"TDBLB","asynch","ORTH-90",7,0,"90","ORTH"
"TDBLB","asynch","ORTH-90",8,0,"90","ORTH"
"TDBLB","asynch","ORTH-90",9,0,"90","ORTH"
"TDBLB","asynch","ORTH-90",10,0,"90","ORTH"
"TDBLB","asynch","ORTH-90",11,0,"90","ORTH"
"TDBLB","asynch","ORTH-90",12,0,"90","ORTH"
"TDBLB","asynch","ORTH-90",13,0,"90","ORTH"
"CQD99","asynch","ORTH-90",1,0,"90","ORTH"
"CQD99","asynch","ORTH-90",2,0,"90","ORTH"
"CQD99","asynch","ORTH-90",3,0,"90","ORTH"
"CQD99","asynch","ORTH-90",4,0,"90","ORTH"
"CQD99","asynch","ORTH-90",5,1,"90","ORTH"
"CQD99","asynch","ORTH-90",6,1,"90","ORTH"
"CQD99","asynch","ORTH-90",7,1,"90","ORTH"
"CQD99","asynch","ORTH-90",8,1,"90","ORTH"
"CQD99","asynch","ORTH-90",9,1,"90","ORTH"
"CQD99","asynch","ORTH-90",10,1,"90","ORTH"
"CQD99","asynch","ORTH-90",11,1,"90","ORTH"
"CQD99","asynch","ORTH-90",12,1,"90","ORTH"
"CQD99","asynch","ORTH-90",13,1,"90","ORTH"
"S4ZA5","asynch","ORTH-90",1,1,"90","ORTH"
"S4ZA5","asynch","ORTH-90",2,2,"90","ORTH"
"S4ZA5","asynch","ORTH-90",3,3,"90","ORTH"
"S4ZA5","asynch","ORTH-90",4,4,"90","ORTH"
"S4ZA5","asynch","ORTH-90",5,5,"90","ORTH"
"S4ZA5","asynch","ORTH-90",6,6,"90","ORTH"
"S4ZA5","asynch","ORTH-90",7,7,"90","ORTH"
"S4ZA5","asynch","ORTH-90",8,8,"90","ORTH"
"S4ZA5","asynch","ORTH-90",9,9,"90","ORTH"
"S4ZA5","asynch","ORTH-90",10,10,"90","ORTH"
"S4ZA5","asynch","ORTH-90",11,11,"90","ORTH"
"S4ZA5","asynch","ORTH-90",12,12,"90","ORTH"
"S4ZA5","asynch","ORTH-90",13,13,"90","ORTH"
"NCPSF","asynch","ORTH-90",1,0,"90","ORTH"
"NCPSF","asynch","ORTH-90",2,0,"90","ORTH"
"NCPSF","asynch","ORTH-90",3,0,"90","ORTH"
"NCPSF","asynch","ORTH-90",4,0,"90","ORTH"
"NCPSF","asynch","ORTH-90",5,0,"90","ORTH"
"NCPSF","asynch","ORTH-90",6,0,"90","ORTH"
"NCPSF","asynch","ORTH-90",7,0,"90","ORTH"
"NCPSF","asynch","ORTH-90",8,0,"90","ORTH"
"NCPSF","asynch","ORTH-90",9,0,"90","ORTH"
"NCPSF","asynch","ORTH-90",10,0,"90","ORTH"
"NCPSF","asynch","ORTH-90",11,0,"90","ORTH"
"NCPSF","asynch","ORTH-90",12,0,"90","ORTH"
"NCPSF","asynch","ORTH-90",13,0,"90","ORTH"
"N1TQQ","asynch","ORTH-90",1,0,"90","ORTH"
"N1TQQ","asynch","ORTH-90",2,0,"90","ORTH"
"N1TQQ","asynch","ORTH-90",3,0,"90","ORTH"
"N1TQQ","asynch","ORTH-90",4,0,"90","ORTH"
"N1TQQ","asynch","ORTH-90",5,0,"90","ORTH"
"N1TQQ","asynch","ORTH-90",6,0,"90","ORTH"
"N1TQQ","asynch","ORTH-90",7,0,"90","ORTH"
"N1TQQ","asynch","ORTH-90",8,0,"90","ORTH"
"N1TQQ","asynch","ORTH-90",9,0,"90","ORTH"
"N1TQQ","asynch","ORTH-90",10,0,"90","ORTH"
"N1TQQ","asynch","ORTH-90",11,0,"90","ORTH"
"N1TQQ","asynch","ORTH-90",12,0,"90","ORTH"
"N1TQQ","asynch","ORTH-90",13,0,"90","ORTH"
"NARNW","asynch","ORTH-90",1,0,"90","ORTH"
"NARNW","asynch","ORTH-90",2,1,"90","ORTH"
"NARNW","asynch","ORTH-90",3,2,"90","ORTH"
"NARNW","asynch","ORTH-90",4,3,"90","ORTH"
"NARNW","asynch","ORTH-90",5,4,"90","ORTH"
"NARNW","asynch","ORTH-90",6,5,"90","ORTH"
"NARNW","asynch","ORTH-90",7,6,"90","ORTH"
"NARNW","asynch","ORTH-90",8,7,"90","ORTH"
"NARNW","asynch","ORTH-90",9,8,"90","ORTH"
"NARNW","asynch","ORTH-90",10,9,"90","ORTH"
"NARNW","asynch","ORTH-90",11,10,"90","ORTH"
"NARNW","asynch","ORTH-90",12,11,"90","ORTH"
"NARNW","asynch","ORTH-90",13,12,"90","ORTH"
"TW1L4","asynch","ORTH-90",1,0,"90","ORTH"
"TW1L4","asynch","ORTH-90",2,0,"90","ORTH"
"TW1L4","asynch","ORTH-90",3,0,"90","ORTH"
"TW1L4","asynch","ORTH-90",4,0,"90","ORTH"
"TW1L4","asynch","ORTH-90",5,0,"90","ORTH"
"TW1L4","asynch","ORTH-90",6,0,"90","ORTH"
"TW1L4","asynch","ORTH-90",7,0,"90","ORTH"
"TW1L4","asynch","ORTH-90",8,0,"90","ORTH"
"TW1L4","asynch","ORTH-90",9,0,"90","ORTH"
"TW1L4","asynch","ORTH-90",10,0,"90","ORTH"
"TW1L4","asynch","ORTH-90",11,0,"90","ORTH"
"TW1L4","asynch","ORTH-90",12,0,"90","ORTH"
"TW1L4","asynch","ORTH-90",13,0,"90","ORTH"
"58GQN","asynch","ORTH-90",1,0,"90","ORTH"
"58GQN","asynch","ORTH-90",2,0,"90","ORTH"
"58GQN","asynch","ORTH-90",3,0,"90","ORTH"
"58GQN","asynch","ORTH-90",4,0,"90","ORTH"
"58GQN","asynch","ORTH-90",5,0,"90","ORTH"
"58GQN","asynch","ORTH-90",6,0,"90","ORTH"
"58GQN","asynch","ORTH-90",7,0,"90","ORTH"
"58GQN","asynch","ORTH-90",8,0,"90","ORTH"
"58GQN","asynch","ORTH-90",9,1,"90","ORTH"
"58GQN","asynch","ORTH-90",10,1,"90","ORTH"
"58GQN","asynch","ORTH-90",11,1,"90","ORTH"
"58GQN","asynch","ORTH-90",12,1,"90","ORTH"
"58GQN","asynch","ORTH-90",13,1,"90","ORTH"
"UYPHW","asynch","ORTH-90",1,0,"90","ORTH"
"UYPHW","asynch","ORTH-90",2,0,"90","ORTH"
"UYPHW","asynch","ORTH-90",3,0,"90","ORTH"
"UYPHW","asynch","ORTH-90",4,0,"90","ORTH"
"UYPHW","asynch","ORTH-90",5,0,"90","ORTH"
"UYPHW","asynch","ORTH-90",6,0,"90","ORTH"
"UYPHW","asynch","ORTH-90",7,0,"90","ORTH"
"UYPHW","asynch","ORTH-90",8,0,"90","ORTH"
"UYPHW","asynch","ORTH-90",9,0,"90","ORTH"
"UYPHW","asynch","ORTH-90",10,0,"90","ORTH"
"UYPHW","asynch","ORTH-90",11,0,"90","ORTH"
"UYPHW","asynch","ORTH-90",12,0,"90","ORTH"
"UYPHW","asynch","ORTH-90",13,0,"90","ORTH"
"H7C1B","asynch","ORTH-90",1,0,"90","ORTH"
"H7C1B","asynch","ORTH-90",2,0,"90","ORTH"
"H7C1B","asynch","ORTH-90",3,0,"90","ORTH"
"H7C1B","asynch","ORTH-90",4,0,"90","ORTH"
"H7C1B","asynch","ORTH-90",5,0,"90","ORTH"
"H7C1B","asynch","ORTH-90",6,0,"90","ORTH"
"H7C1B","asynch","ORTH-90",7,0,"90","ORTH"
"H7C1B","asynch","ORTH-90",8,0,"90","ORTH"
"H7C1B","asynch","ORTH-90",9,0,"90","ORTH"
"H7C1B","asynch","ORTH-90",10,0,"90","ORTH"
"H7C1B","asynch","ORTH-90",11,0,"90","ORTH"
"H7C1B","asynch","ORTH-90",12,0,"90","ORTH"
"H7C1B","asynch","ORTH-90",13,0,"90","ORTH"
"1X408","asynch","ORTH-90",1,0,"90","ORTH"
"1X408","asynch","ORTH-90",2,0,"90","ORTH"
"1X408","asynch","ORTH-90",3,0,"90","ORTH"
"1X408","asynch","ORTH-90",4,0,"90","ORTH"
"1X408","asynch","ORTH-90",5,0,"90","ORTH"
"1X408","asynch","ORTH-90",6,0,"90","ORTH"
"1X408","asynch","ORTH-90",7,0,"90","ORTH"
"1X408","asynch","ORTH-90",8,0,"90","ORTH"
"1X408","asynch","ORTH-90",9,0,"90","ORTH"
"1X408","asynch","ORTH-90",10,0,"90","ORTH"
"1X408","asynch","ORTH-90",11,1,"90","ORTH"
"1X408","asynch","ORTH-90",12,1,"90","ORTH"
"1X408","asynch","ORTH-90",13,1,"90","ORTH"
"WQNHB","asynch","ORTH-90",1,0,"90","ORTH"
"WQNHB","asynch","ORTH-90",2,0,"90","ORTH"
"WQNHB","asynch","ORTH-90",3,0,"90","ORTH"
"WQNHB","asynch","ORTH-90",4,0,"90","ORTH"
"WQNHB","asynch","ORTH-90",5,0,"90","ORTH"
"WQNHB","asynch","ORTH-90",6,0,"90","ORTH"
"WQNHB","asynch","ORTH-90",7,0,"90","ORTH"
"WQNHB","asynch","ORTH-90",8,0,"90","ORTH"
"WQNHB","asynch","ORTH-90",9,0,"90","ORTH"
"WQNHB","asynch","ORTH-90",10,0,"90","ORTH"
"WQNHB","asynch","ORTH-90",11,0,"90","ORTH"
"WQNHB","asynch","ORTH-90",12,0,"90","ORTH"
"WQNHB","asynch","ORTH-90",13,0,"90","ORTH"
"ONW0D","asynch","ORTH-90",1,0,"90","ORTH"
"ONW0D","asynch","ORTH-90",2,0,"90","ORTH"
"ONW0D","asynch","ORTH-90",3,0,"90","ORTH"
"ONW0D","asynch","ORTH-90",4,0,"90","ORTH"
"ONW0D","asynch","ORTH-90",5,0,"90","ORTH"
"ONW0D","asynch","ORTH-90",6,0,"90","ORTH"
"ONW0D","asynch","ORTH-90",7,0,"90","ORTH"
"ONW0D","asynch","ORTH-90",8,0,"90","ORTH"
"ONW0D","asynch","ORTH-90",9,0,"90","ORTH"
"ONW0D","asynch","ORTH-90",10,0,"90","ORTH"
"ONW0D","asynch","ORTH-90",11,0,"90","ORTH"
"ONW0D","asynch","ORTH-90",12,0,"90","ORTH"
"ONW0D","asynch","ORTH-90",13,0,"90","ORTH"
"91UX7","asynch","ORTH-90",1,0,"90","ORTH"
"91UX7","asynch","ORTH-90",2,0,"90","ORTH"
"91UX7","asynch","ORTH-90",3,0,"90","ORTH"
"91UX7","asynch","ORTH-90",4,0,"90","ORTH"
"91UX7","asynch","ORTH-90",5,0,"90","ORTH"
"91UX7","asynch","ORTH-90",6,0,"90","ORTH"
"91UX7","asynch","ORTH-90",7,0,"90","ORTH"
"91UX7","asynch","ORTH-90",8,0,"90","ORTH"
"91UX7","asynch","ORTH-90",9,0,"90","ORTH"
"91UX7","asynch","ORTH-90",10,0,"90","ORTH"
"91UX7","asynch","ORTH-90",11,0,"90","ORTH"
"91UX7","asynch","ORTH-90",12,0,"90","ORTH"
"91UX7","asynch","ORTH-90",13,0,"90","ORTH"
"V2ZAL","asynch","ORTH-90",1,0,"90","ORTH"
"V2ZAL","asynch","ORTH-90",2,0,"90","ORTH"
"V2ZAL","asynch","ORTH-90",3,0,"90","ORTH"
"V2ZAL","asynch","ORTH-90",4,0,"90","ORTH"
"V2ZAL","asynch","ORTH-90",5,0,"90","ORTH"
"V2ZAL","asynch","ORTH-90",6,0,"90","ORTH"
"V2ZAL","asynch","ORTH-90",7,0,"90","ORTH"
"V2ZAL","asynch","ORTH-90",8,0,"90","ORTH"
"V2ZAL","asynch","ORTH-90",9,0,"90","ORTH"
"V2ZAL","asynch","ORTH-90",10,0,"90","ORTH"
"V2ZAL","asynch","ORTH-90",11,0,"90","ORTH"
"V2ZAL","asynch","ORTH-90",12,0,"90","ORTH"
"V2ZAL","asynch","ORTH-90",13,0,"90","ORTH"
"J7392","asynch","ORTH-90",1,0,"90","ORTH"
"J7392","asynch","ORTH-90",2,0,"90","ORTH"
"J7392","asynch","ORTH-90",3,0,"90","ORTH"
"J7392","asynch","ORTH-90",4,0,"90","ORTH"
"J7392","asynch","ORTH-90",5,1,"90","ORTH"
"J7392","asynch","ORTH-90",6,1,"90","ORTH"
"J7392","asynch","ORTH-90",7,1,"90","ORTH"
"J7392","asynch","ORTH-90",8,1,"90","ORTH"
"J7392","asynch","ORTH-90",9,1,"90","ORTH"
"J7392","asynch","ORTH-90",10,1,"90","ORTH"
"J7392","asynch","ORTH-90",11,1,"90","ORTH"
"J7392","asynch","ORTH-90",12,1,"90","ORTH"
"J7392","asynch","ORTH-90",13,2,"90","ORTH"
"DZPDP","asynch","ORTH-90",1,0,"90","ORTH"
"DZPDP","asynch","ORTH-90",2,0,"90","ORTH"
"DZPDP","asynch","ORTH-90",3,0,"90","ORTH"
"DZPDP","asynch","ORTH-90",4,0,"90","ORTH"
"DZPDP","asynch","ORTH-90",5,0,"90","ORTH"
"DZPDP","asynch","ORTH-90",6,0,"90","ORTH"
"DZPDP","asynch","ORTH-90",7,0,"90","ORTH"
"DZPDP","asynch","ORTH-90",8,0,"90","ORTH"
"DZPDP","asynch","ORTH-90",9,0,"90","ORTH"
"DZPDP","asynch","ORTH-90",10,0,"90","ORTH"
"DZPDP","asynch","ORTH-90",11,0,"90","ORTH"
"DZPDP","asynch","ORTH-90",12,0,"90","ORTH"
"DZPDP","asynch","ORTH-90",13,0,"90","ORTH"
"3UCA1","asynch","ORTH-90",1,0,"90","ORTH"
"3UCA1","asynch","ORTH-90",2,0,"90","ORTH"
"3UCA1","asynch","ORTH-90",3,0,"90","ORTH"
"3UCA1","asynch","ORTH-90",4,0,"90","ORTH"
"3UCA1","asynch","ORTH-90",5,0,"90","ORTH"
"3UCA1","asynch","ORTH-90",6,0,"90","ORTH"
"3UCA1","asynch","ORTH-90",7,0,"90","ORTH"
"3UCA1","asynch","ORTH-90",8,0,"90","ORTH"
"3UCA1","asynch","ORTH-90",9,0,"90","ORTH"
"3UCA1","asynch","ORTH-90",10,0,"90","ORTH"
"3UCA1","asynch","ORTH-90",11,0,"90","ORTH"
"3UCA1","asynch","ORTH-90",12,0,"90","ORTH"
"3UCA1","asynch","ORTH-90",13,0,"90","ORTH"
"Z4N5B","asynch","ORTH-90",1,0,"90","ORTH"
"Z4N5B","asynch","ORTH-90",2,0,"90","ORTH"
"Z4N5B","asynch","ORTH-90",3,0,"90","ORTH"
"Z4N5B","asynch","ORTH-90",4,1,"90","ORTH"
"Z4N5B","asynch","ORTH-90",5,1,"90","ORTH"
"Z4N5B","asynch","ORTH-90",6,1,"90","ORTH"
"Z4N5B","asynch","ORTH-90",7,1,"90","ORTH"
"Z4N5B","asynch","ORTH-90",8,1,"90","ORTH"
"Z4N5B","asynch","ORTH-90",9,2,"90","ORTH"
"Z4N5B","asynch","ORTH-90",10,3,"90","ORTH"
"Z4N5B","asynch","ORTH-90",11,3,"90","ORTH"
"Z4N5B","asynch","ORTH-90",12,3,"90","ORTH"
"Z4N5B","asynch","ORTH-90",13,4,"90","ORTH"
"TTJYZ","asynch","ORTH-90",1,0,"90","ORTH"
"TTJYZ","asynch","ORTH-90",2,0,"90","ORTH"
"TTJYZ","asynch","ORTH-90",3,0,"90","ORTH"
"TTJYZ","asynch","ORTH-90",4,0,"90","ORTH"
"TTJYZ","asynch","ORTH-90",5,1,"90","ORTH"
"TTJYZ","asynch","ORTH-90",6,1,"90","ORTH"
"TTJYZ","asynch","ORTH-90",7,1,"90","ORTH"
"TTJYZ","asynch","ORTH-90",8,2,"90","ORTH"
"TTJYZ","asynch","ORTH-90",9,2,"90","ORTH"
"TTJYZ","asynch","ORTH-90",10,2,"90","ORTH"
"TTJYZ","asynch","ORTH-90",11,2,"90","ORTH"
"TTJYZ","asynch","ORTH-90",12,2,"90","ORTH"
"TTJYZ","asynch","ORTH-90",13,2,"90","ORTH"
"DR8S7","asynch","ORTH-90",1,0,"90","ORTH"
"DR8S7","asynch","ORTH-90",2,0,"90","ORTH"
"DR8S7","asynch","ORTH-90",3,0,"90","ORTH"
"DR8S7","asynch","ORTH-90",4,0,"90","ORTH"
"DR8S7","asynch","ORTH-90",5,0,"90","ORTH"
"DR8S7","asynch","ORTH-90",6,0,"90","ORTH"
"DR8S7","asynch","ORTH-90",7,0,"90","ORTH"
"DR8S7","asynch","ORTH-90",8,0,"90","ORTH"
"DR8S7","asynch","ORTH-90",9,0,"90","ORTH"
"DR8S7","asynch","ORTH-90",10,0,"90","ORTH"
"DR8S7","asynch","ORTH-90",11,0,"90","ORTH"
"DR8S7","asynch","ORTH-90",12,0,"90","ORTH"
"DR8S7","asynch","ORTH-90",13,0,"90","ORTH"
"2LAYF","asynch","ORTH-90",1,0,"90","ORTH"
"2LAYF","asynch","ORTH-90",2,0,"90","ORTH"
"2LAYF","asynch","ORTH-90",3,0,"90","ORTH"
"2LAYF","asynch","ORTH-90",4,0,"90","ORTH"
"2LAYF","asynch","ORTH-90",5,0,"90","ORTH"
"2LAYF","asynch","ORTH-90",6,0,"90","ORTH"
"2LAYF","asynch","ORTH-90",7,0,"90","ORTH"
"2LAYF","asynch","ORTH-90",8,0,"90","ORTH"
"2LAYF","asynch","ORTH-90",9,0,"90","ORTH"
