"subject","condition","pretty_condition","study","term","mode","gender","age","language","schoolyear","country","effort","difficulty","confidence","enjoyment","other","disability","totaltime_m","violations","browser","width","height","ROTATION","SHAPE"
"NNP7V","11111221","ORTH-45","SGC4C","summer22","asynch","Male",49,"English",NA,"USA","I tried my best on each question","3","4","5","","",7.89161666666667,"1","chrome","2026","1335","45","ORTH"
"QLAD4","11111221","ORTH-45","SGC4C","summer22","asynch","Male",30,"English",NA,"United States","I tried my best on most questions","4","3","2","I got confused based on the angle/graph positioning after the first 5 or so questions.","No.",7.96228333333333,"1","chrome","1920","969","45","ORTH"
"3UCA1","11111331","ORTH-90","SGC4C","summer22","asynch","Male",33,"English",NA,"United States","I tried my best on each question","3","4","2","","",8.81056666666667,"2","chrome","1536","731","90","ORTH"
"64MXN","11111331","ORTH-90","SGC4C","summer22","asynch","Male",49,"English",NA,"United States","I tried my best on each question","3","5","2","","no",15.44545,"1","chrome","1203","732","90","ORTH"
"YTSUM","11311331","TRI-90","SGC4C","summer22","asynch","Female",28,"English",NA,"United States","I tried my best on each question","3","4","2","none","no",6.99456666666667,"1","chrome","1536","722","90","TRI"
"TR810","11311331","TRI-90","SGC4C","summer22","asynch","Male",31,"English",NA,"USA","I tried my best on each question","5","1","1","I think this was a task in which we are set up to fail, so useful information from me does not seem to be in line with the goal here.","none",17.2752166666667,"1","chrome","1680","945","90","TRI"
"C6F6M","11311331","TRI-90","SGC4C","summer22","asynch","Female",53,"English",NA,"United States","I tried my best on each question","4","3","3","","No",8.03661666666667,"1","chrome","1536","746","90","TRI"
"SUF5R","11111221","ORTH-45","SGC4C","summer22","asynch","Male",22,"English",NA,"United States","I tried my best on each question","5","2","1","","N/A",6.14088333333333,"2","chrome","3440","1329","45","ORTH"
"ZL7OT","11311331","TRI-90","SGC4C","summer22","asynch","Male",48,"English",NA,"US","I tried my best on each question","5","1","3","It would be very helpful if there were some instructions about the task, before I started working on it.","none",15.21995,"2","chrome","1920","979","90","TRI"
"8SURA","11111221","ORTH-45","SGC4C","summer22","asynch","Male",40,"English",NA,"United States","I tried my best on each question","5","2","3","I am not certain about anything in particular that I should share.","none",22.8001333333333,"3","chrome","1920","976","45","ORTH"
"56CG1","11311331","TRI-90","SGC4C","summer22","asynch","Female",47,"English",NA,"USA","I tried my best on each question","3","4","4","","no",16.99735,"2","chrome","1360","768","90","TRI"
"0TUJO","113112","TRI-45","SGC4C","summer22","asynch","Male",62,"English",NA,"USA","I tried my best on each question","5","2","4","I would have liked the graphs to be larger in size because I found it difficult to locate points on the graph at its current size.","No",16.12825,"1","chrome","1366","768","45","TRI"
"T7NPC","113112","TRI-45","SGC4C","summer22","asynch","Male",65,"English",NA,"United States","I tried my best on each question","2","5","2","I use a 42 inch monitor but still had to go to full screen to comply with your initial screen size screening (no pun intended).  Perhaps pixel measurements are insufficient.","no",15.1849,"2","chrome","1280","720","45","TRI"
"V16A3","11311221","TRI-45","SGC4C","summer22","asynch","Male",27,"English",NA,"United States","I tried my best on each question","3","5","5","I can't think of anything that useful. I learned the diagonal trick to finding the ending time a little late.","None.",11.19935,"1","chrome","1792","1009","45","TRI"
"PH1DM","11311331","TRI-90","SGC4C","summer22","asynch","Male",41,"English",NA,"United States","I tried my best on each question","4","4","1","","",10.6500833333333,"3","chrome","1920","961","90","TRI"
"TVE99","11111331","ORTH-90","SGC4C","summer22","asynch","Female",31,"English",NA,"United States","I tried my best on each question","4","3","3","","no",8.52556666666667,"2","chrome","1920","968","90","ORTH"
"MU719","11311331","TRI-90","SGC4C","summer22","asynch","Female",39,"English",NA,"USA","I tried my best on each question","4","3","3","I interpreted the graph in a few ways to determine a suitable answer.","No.",29.5113333333333,"1","chrome","1440","725","90","TRI"
"X5WHA","11111221","ORTH-45","SGC4C","summer22","asynch","Male",25,"English",NA,"United States","I tried my best on most questions","4","2","2","","",5.06918333333333,"1","chrome","1370","779","45","ORTH"
"8DWYD","11111331","ORTH-90","SGC4C","summer22","asynch","Female",21,"English",NA,"United States","I tried my best on each question","4","2","4","","No",14.68375,"1","chrome","1200","681","90","ORTH"
"2HFRK","11311221","TRI-45","SGC4C","summer22","asynch","Male",20,"English",NA,"USA","I tried my best on each question","4","2","1","","",11.0045666666667,"1","chrome","1536","753","45","TRI"
"XWL4H","11111221","ORTH-45","SGC4C","summer22","asynch","Male",45,"English",NA,"United States","I tried my best on each question","3","5","5","At first the chart does not make much sense. However as you move forward into it, and see how it works, and how it answers so many different questions, it is a cool chart that works very well. ","None",19.3765833333333,"3","chrome","1439","711","45","ORTH"
"X72A5","11311331","TRI-90","SGC4C","summer22","asynch","Female",56,"English",NA,"USA","I tried my best on each question","4","3","3","","No",6.58503333333333,"1","chrome","1517","741","90","TRI"
"PYK8X","11311331","TRI-90","SGC4C","summer22","asynch","Male",31,"English",NA,"United States","I tried my best on each question","4","3","4","The answers in the far right column wouldn't allow me to click in the checkboxes. Because of this I answered incorrectly on a few that I couldn't click the right answer. ","No",12.4909666666667,"2","chrome","1639","844","90","TRI"
"GDHNU","11311221","TRI-45","SGC4C","summer22","asynch","Female",67,"English",NA,"USA","I tried my best on most questions","4","3","5","Definitely made me think","None",13.9307,"2.5","chrome","1914","883","45","TRI"
"ESQH8","11111221","ORTH-45","SGC4C","summer22","asynch","Male",31,"English",NA,"United States","I tried my best on each question","5","4","2","The graph was very annoying to look at, but I'm sure that is by design. My eyes were starting to hurt from trying to focus on the crooked graph for so long, but I tried my very best on each question.","No.",24.0175833333333,"1","chrome","1891","985","45","ORTH"
"DKD9W","11311331","TRI-90","SGC4C","summer22","asynch","Female",51,"English",NA,"USA","I tried my best on each question","5","3","3","","no",11.46285,"1","chrome","1517","734","90","TRI"
"GM56D","11111221","ORTH-45","SGC4C","summer22","asynch","Other-Not Listed",33,"English",NA,"United States","I tried my best on each question","4","4","5","Make it easier to read by making the graph straight on the page. It was sideways and hard on my neck","no",10.8638,"1","chrome","2257","1367","45","ORTH"
"7JFJD","11111221","ORTH-45","SGC4C","summer22","asynch","Male",65,"English",NA,"united State of America","I tried my best on each question","5","5","1","I don't really understand the logic of getting the correct answer. 
","none",37.2547833333333,"3.5","chrome","1517","730","45","ORTH"
"3K1VY","11111221","ORTH-45","SGC4C","summer22","asynch","Male",30,"English",NA,"United States","I tried my best on each question","4","2","3","","No",7.41953333333333,"2","chrome","2034","1276","45","ORTH"
"UYPHW","11111331","ORTH-90","SGC4C","summer22","asynch","Female",18,"X-Other",NA,"United States of America","I tried my best on each question","4","2","3","The most outer right fields arent clickable for some reason  you wouldn't be able to click exactly on the box but the box was somewhere in between  the fields so example box f middle space clickable but not working for box e","Dyslexic but it just took me longer to complete task",13.0687666666667,"1","chrome","1920","937","90","ORTH"
"MTKKB","11111331","ORTH-90","SGC4C","summer22","asynch","Male",18,"English",NA,"United States","I tried my best on each question","4","2","3","","",9.28733333333333,"1","chrome","1440","789","90","ORTH"
"XXOM5","11111331","ORTH-90","SGC4C","summer22","asynch","Male",56,"English",NA,"United States","I tried my best on each question","3","3","5","I felt that I needed a couple rounds before I fully processed how to read and interpret the data. I would suggest having an example question that provides the answer.   If I was able to redo the questions, I think my score would be much higher as there were a couple ""a-ha"" moments during the process of answering the questions.","No impairments or disabilities",15.5505333333333,"1","chrome","1366","768","90","ORTH"
"SK5XQ","11111331","ORTH-90","SGC4C","summer22","asynch","Male",24,"English",NA,"United States","I tried my best on most questions","4","2","2","The graph is too confusing to read","None",7.8988,"3","chrome","1920","937","90","ORTH"
"JPH8M","11111331","ORTH-90","SGC4C","summer22","asynch","Male",68,"English",NA,"America","I tried my best on each question","4","4","5","That was a new way of measuring time/shifts; I reckon I got the first response wrong, guessing how the start/stop/duration was indicated. Once I figured out how this was working, I found it both clever and creative.","No",14.0729,"1","chrome","1440","795","90","ORTH"
"GXB4O","113112","TRI-45","SGC4C","summer22","asynch","Female",58,"English",NA,"United States","I tried my best on each question","3","4","4","The letters on the graph were pretty small, so some were a little hard to read.","none",13.8934833333333,"2","chrome","1920","937","45","TRI"
"CLEWH","11311331","TRI-90","SGC4C","summer22","asynch","Female",64,"English",NA,"USA","I tried my best on each question","4","3","2","The graph is hard to read","",16.3055,"3.5","chrome","1536","754","90","TRI"
"VR5VT","11111221","ORTH-45","SGC4C","summer22","asynch","Male",30,"English",NA,"USA","I tried my best on each question","3","4","2","","",11.7273666666667,"2.5","chrome","2560","1525","45","ORTH"
"V2ZAL","11111331","ORTH-90","SGC4C","summer22","asynch","Male",36,"English",NA,"USA","I tried my best on each question","2","5","5","I enjoyed using the graph to discern the times and shifts.","N/A",10.5291333333333,"1","chrome","1536","746","90","ORTH"
"6AVLK","113112","TRI-45","SGC4C","summer22","asynch","Female",23,"Cantonese",NA,"United States","I tried my best on most questions","4","3","3","","",12.6167,"1","chrome","1440","694","45","TRI"
"KJSWM","11311221","TRI-45","SGC4C","summer22","asynch","Female",42,"English",NA,"United States","I tried my best on each question","4","2","3","","",8.23543333333333,"1","chrome","1366","768","45","TRI"
"J7RQL","11111331","ORTH-90","SGC4C","summer22","asynch","Female",20,"English",NA,"United States","I tried my best on each question","3","2","4","I didn't understand the graph until close to the end of the questions, so I think I did much better at the end than in the beginning.","",10.3978833333333,"3","chrome","1517","736","90","ORTH"
"9PEND","11111221","ORTH-45","SGC4C","summer22","asynch","Female",53,"English",NA,"USA","I tried my best on each question","5","1","3","I really didn't understand that at all. Also, the angle of the chart was really uncomfortable for me. I think I probably got all of those wrong, and I am concerned you are going to think that it is because I did not try, but I just found that graph really confusing, and I don't think that the instructions helped at all.","I have a headache right now. I don't know how much that hurt my performance, but it sure didn't help.",13.5343833333333,"1","chrome","1280","720","45","ORTH"
"RRTQF","11111331","ORTH-90","SGC4C","summer22","asynch","Female",23,"English",NA,"United States","I tried my best on each question","4","2","3","","No",10.8599333333333,"1.5","chrome","1360","768","90","ORTH"
"D38LF","11311221","TRI-45","SGC4C","summer22","asynch","Male",33,"English",NA,"USA","I tried my best on each question","4","4","3","","",6.90921666666667,"1","chrome","1920","937","45","TRI"
"U59A0","11111221","ORTH-45","SGC4C","summer22","asynch","Male",44,"English",NA,"USA","I tried my best on each question","4","3","3","the graph wasn't the easiest to read","",14.3232833333333,"2","chrome","1366","768","45","ORTH"
"1EOUS","113112","TRI-45","SGC4C","summer22","asynch","Male",38,"English",NA,"United States","I tried my best on each question","4","3","3","","",11.1250166666667,"1","chrome","2560","1303","45","TRI"
"RW97M","11311331","TRI-90","SGC4C","summer22","asynch","Male",31,"English",NA,"USA","I tried my best on each question","4","3","2","I had trouble clicking on some of the answers and it wasn't until halfway through I thought to switch my browser to a different monitor, then it worked fine. That's why I left one blank, and one of the early questions I couldn't select what I thought was the correct answer. Sorry for the technical difficulties. This graph is painful to use though, and this is somewhat similar to a class I had in college, haha.","Not that I'm aware of. *crosses fingers*",14.1685666666667,"1","chrome","1858","1009","90","TRI"
"29KEV","11311331","TRI-90","SGC4C","summer22","asynch","Female",64,"English",NA,"United States","I tried my best on most questions","4","2","3","It was a bit confusing.","maybe",15.9283166666667,"1","chrome","1366","768","90","TRI"
"F0UYQ","11311221","TRI-45","SGC4C","summer22","asynch","Male",38,"English",NA,"United States","I tried my best on each question","2","4","3","Perhaps some kind of marker for places between whole hours would be helpful.","No.",9.58695,"1","chrome","1567","963","45","TRI"
"GC8AN","11311331","TRI-90","SGC4C","summer22","asynch","Male",38,"English",NA,"The United States of America","I tried my best on each question","5","1","5","That this was the most difficult survey I've ever done, and I have no idea why anyone would set a schedule up that way.","No",6.12403333333333,"3","chrome","1746","847","90","TRI"
"7VZMV","113112","TRI-45","SGC4C","summer22","asynch","Other-Not Listed",35,"English",NA,"United States","I tried my best on each question","4","2","1","nothing","adhd ",3.21656666666667,"1","chrome","1920","941","45","TRI"
"TTB8O","113112","TRI-45","SGC4C","summer22","asynch","Female",58,"English",NA,"United States","I tried my best on each question","3","3","5","","no",9.07701666666667,"2.5","chrome","1366","768","45","TRI"
"P8KQR","11311221","TRI-45","SGC4C","summer22","asynch","Male",41,"English",NA,"USA","I tried my best on each question","4","4","4","n/a","no",14.8292166666667,"2","chrome","1920","937","45","TRI"
"4EDBK","111112","ORTH-45","SGC4C","summer22","asynch","Other-Not Listed",25,"English",NA,"US","I tried my best on each question","5","2","2","","ADHD",10.2909333333333,"1","chrome","1536","754","45","ORTH"
"LWAZX","11311221","TRI-45","SGC4C","summer22","asynch","Male",28,"English",NA,"United States","I tried my best on most questions","4","3","3","It does get easier once you learn the tricks to using the graph","",10.3591833333333,"2","chrome","1280","720","45","TRI"
"A2QWX","11311221","TRI-45","SGC4C","summer22","asynch","Female",56,"English",NA,"United States","I tried my best on each question","4","3","5","","no",15.9702833333333,"1","chrome","1536","746","45","TRI"
"N5D8R","11111221","ORTH-45","SGC4C","summer22","asynch","Female",69,"English",NA,"United State of America","I tried my best on each question","4","4","3","I must have gotten tense doing it because my neck got sore.","No.",73.0475833333333,"1","chrome","1920","937","45","ORTH"
"CBCXK","111112","ORTH-45","SGC4C","summer22","asynch","Male",43,"English",NA,"United States","I tried my best on each question","3","5","5","Nothing comes to mind.","no",15.1563166666667,"3","chrome","1549","885","45","ORTH"
"0XW1U","11311221","TRI-45","SGC4C","summer22","asynch","Male",30,"English",NA,"USA","I tried my best on each question","4","4","2","","None",10.6893333333333,"3","chrome","2560","1297","45","TRI"
"SV20G","111112","ORTH-45","SGC4C","summer22","asynch","Female",24,"English",NA,"United States","I tried my best on each question","3","4","4","","",5.86446666666667,"1","chrome","1335","705","45","ORTH"
"OBHL6","11311221","TRI-45","SGC4C","summer22","asynch","Female",72,"English",NA,"United States","I tried my best on each question","5","2","5","I found the task very interesting because it was like a puzzle and I like puzzles. However, I also found it very difficult to figure out and truly have no idea how well I did. I would love to know what the correct answers to the questions are, although I also understand that I may never know ;)","I have no impairments or disabilities.",23.7295833333333,"1","chrome","1440","765","45","TRI"
"POGW3","11311331","TRI-90","SGC4C","summer22","asynch","Male",28,"English",NA,"United States","I tried my best on most questions","3","2","4","","I have an astigmatism, which makes it difficult to focus at text for long periods of time",9.12426666666667,"1","chrome","1536","722","90","TRI"
"NZAMF","11311331","TRI-90","SGC4C","summer22","asynch","Male",20,"English",NA,"United States","I tried my best on each question","5","5","5","buttons didn't work in full screen on ubuntu 22.04. ","ADHD, Autism",38.0607333333333,"5","chrome","1846","980","90","TRI"
"MHS8X","11111331","ORTH-90","SGC4C","summer22","asynch","Male",45,"English",NA,"US","I tried my best on each question","2","4","5","I think once we understand how the graph works, the rest becomes repetitive.","No.",11.7827333333333,"1","chrome","1600","789","90","ORTH"
"TW1L4","11111331","ORTH-90","SGC4C","summer22","asynch","Female",57,"English",NA,"United States","I tried my best on each question","4","4","5","It started making more sense after a couple of tries. Very interesting graph.","None",22.7201333333333,"2","chrome","1645","856","90","ORTH"
"QXR09","11311221","TRI-45","SGC4C","summer22","asynch","Male",79,"English",NA,"United States","I tried my best on each question","5","4","3","As a first-time viewer of this sort of chart, I believe I took MUCH longer than someone familiar with this format.","No.",33.4236666666667,"2","chrome","1536","721","45","TRI"
"HRR7M","11311221","TRI-45","SGC4C","summer22","asynch","Male",55,"English",NA,"United States","I tried my best on each question","5","4","1","Your graph is about the worst way I have ever seen to schedule shifts. ","no",13.94775,"1","chrome","2279","1070","45","TRI"
"AZUU5","11311331","TRI-90","SGC4C","summer22","asynch","Female",28,"English",NA,"United States","I tried my best on each question","5","1","4","I'm not sure if the chart was supposed to be that confusing. I was a little confused that it said ""start and end time"" but then the other axis said ""duration"" so I was confused when something fell on (for example) 8pm but said something like 4 hours on the duration, since the other axis made it seem like each shift's start and end time were the same.","No",16.9390666666667,"1","chrome","1280","720","90","TRI"
"N1TQQ","11111331","ORTH-90","SGC4C","summer22","asynch","Female",39,"English",NA,"United States","I tried my best on each question","3","4","4","My only fear is I assumed one answer at the outset, so I worry that I missed some extra shift answers in the first couple.","nope!",9.9972,"1","chrome","1517","702","90","ORTH"
"66DH2","11311221","TRI-45","SGC4C","summer22","asynch","Female",21,"English",NA,"USA","I tried my best on each question","3","4","2","","",9.90565,"1","chrome","1920","937","45","TRI"
"6SSQ2","11311331","TRI-90","SGC4C","summer22","asynch","Male",20,"English",NA,"United States","I tried my best on most questions","4","2","2","","",5.24188333333333,"1.5","chrome","1536","714","90","TRI"
"PLYNT","11311221","TRI-45","SGC4C","summer22","asynch","Male",33,"English",NA,"USA","I tried my best on each question","4","2","2","Some of the questions were confusing to understand grammatically, so I'd recommend checking those.
Also happy to do follow up studies.","Nope",9.85213333333333,"3","chrome","1680","870","45","TRI"
"TF614","11311331","TRI-90","SGC4C","summer22","asynch","Male",56,"English",NA,"United States","I tried my best on most questions","5","2","4","The time of day was easy to understand, but not the amount of hours worked. It was very confusing.","No, I just think I was too dumb for it.:)",20.6267833333333,"1","chrome","1280","689","90","TRI"
"UTN3G","11311331","TRI-90","SGC4C","summer22","asynch","Female",37,"English",NA,"United States","I tried my best on each question","3","3","4","","",11.2362833333333,"1","chrome","1152","864","90","TRI"
"GB267","11311331","TRI-90","SGC4C","summer22","asynch","Male",49,"English",NA,"United States","I tried my best on each question","3","4","5","If you could add an option where none of the answers are correct that would have made it more difficult. Also, thank you for the doggie at the end - made me burst out laughing.","No",17.6826666666667,"1","chrome","1440","763","90","TRI"
"AR3NV","11311221","TRI-45","SGC4C","summer22","asynch","Female",31,"English",NA,"U.S.A.","I tried my best on each question","4","3","1","It was hard to understand how the graph showed start and end times on the same side.","N/A",14.6685833333333,"2.5","chrome","1366","768","45","TRI"
"0E6M5","11111221","ORTH-45","SGC4C","summer22","asynch","Female",21,"English",NA,"United States","I tried my best on each question","4","3","3","The graph was a little hard to understand and read.","No",19.2668666666667,"1","chrome","1600","781","45","ORTH"
"1QMO3","11111221","ORTH-45","SGC4C","summer22","asynch","Female",54,"English",NA,"United States","I tried my best on each question","5","2","5","","No",8.53801666666667,"1","chrome","1920","929","45","ORTH"
"ESA7E","11111221","ORTH-45","SGC4C","summer22","asynch","Male",23,"English",NA,"United States","I tried my best on each question","2","5","5","It got easier as I understood the graph more. Since it was angled to the right, it made it harder to read than if it was vertical","none",7.73995,"1","chrome","1440","692","45","ORTH"
"6OYDX","11111221","ORTH-45","SGC4C","summer22","asynch","Male",36,"English",NA,"United States","I tried my best on each question","5","4","2","","",23.52105,"2","chrome","1366","768","45","ORTH"
"7C7KM","111112","ORTH-45","SGC4C","summer22","asynch","Female",22,"Spanish",NA,"USA","I tried my best on each question","4","3","3","N/A","No",14.6746333333333,"1","chrome","1368","793","45","ORTH"
"6S33B","11111331","ORTH-90","SGC4C","summer22","asynch","Female",25,"English",NA,"United States","I tried my best on each question","3","4","4","","no",10.2562,"2","chrome","1269","708","90","ORTH"
"27CUZ","11111221","ORTH-45","SGC4C","summer22","asynch","Male",44,"English",NA,"USA","I tried my best on each question","4","3","2","","",12.8084,"1","chrome","1745","916","45","ORTH"
"QWYMT","11111221","ORTH-45","SGC4C","summer22","asynch","Male",54,"English",NA,"usa","I tried my best on each question","3","4","4","it was very original, i would not want to have a job using that kind of scheduling","no",15.3537,"1","chrome","1717","925","45","ORTH"
"FU6VN","11111331","ORTH-90","SGC4C","summer22","asynch","Male",24,"English",NA,"USA","I tried my best on each question","4","3","1","","",6.74635,"1","chrome","2560","1371","90","ORTH"
"GNSP3","11111331","ORTH-90","SGC4C","summer22","asynch","Female",30,"English",NA,"United States","I tried my best on each question","5","2","1","","No",12.9790166666667,"3","chrome","1366","695","90","ORTH"
"5ANUK","11311221","TRI-45","SGC4C","summer22","asynch","Female",19,"English",NA,"United States","I tried my best on each question","5","4","4","","",13.9972166666667,"1","chrome","1440","788","45","TRI"
"QGBTT","113112","TRI-45","SGC4C","summer22","asynch","Male",18,"English",NA,"United States","I tried my best on each question","4","4","2","I hated that the image was turned sideways so it was difficult to line up the numbers and letters as I had to tilt my head to view the image.","I do not",9.17711666666667,"1","chrome","1920","937","45","TRI"
"WPA2C","11111221","ORTH-45","SGC4C","summer22","asynch","Male",30,"English",NA,"USA","I tried my best on each question","5","1","2","It would be nice to have a primer on how exactly to read the chart, or to use less data points because the chart is so busy it is distracting.","",11.6078833333333,"4.5","chrome","1280","720","45","ORTH"
"1X408","11111331","ORTH-90","SGC4C","summer22","asynch","Male",41,"English",NA,"United States","I tried my best on each question","4","3","2","","none",11.51155,"1","chrome","1389","823","90","ORTH"
"2CJ7D","113112","TRI-45","SGC4C","summer22","asynch","Female",20,"English",NA,"United States","I tried my best on each question","4","3","2","","Nope",9.85251666666667,"1","chrome","1440","796","45","TRI"
"67Z0V","111112","ORTH-45","SGC4C","summer22","asynch","Female",38,"Spanish",NA,"US","I tried my best on most questions","4","3","3","Can you straighten the graph? It's already a complicated graph to read, don't need the neck pain from angling it to one side for so long. ","",16.2092333333333,"2","chrome","1920","941","45","ORTH"
"KYT0U","11311331","TRI-90","SGC4C","summer22","asynch","Female",23,"English",NA,"United States","I tried my best on each question","4","3","3","","no",9.22758333333333,"1","chrome","1280","720","90","TRI"
"ES161","11311331","TRI-90","SGC4C","summer22","asynch","Male",37,"English",NA,"USA","I tried my best on each question","5","1","1","The last column would not let me check any of the boxes. The hitbox that highlighted the box was directly left of the square. Hovering over the square did not highlight it. And it could not be selected or clicked to mark.","no",14.2585833333333,"2","chrome","1920","937","90","TRI"
"K8WV8","11111331","ORTH-90","SGC4C","summer22","asynch","Female",46,"English",NA,"USA","I tried my best on each question","4","3","2","I'm not sure I fully understood the graph. ","no",9.07951666666667,"1","chrome","1440","751","90","ORTH"
"R4XJ8","11311331","TRI-90","SGC4C","summer22","asynch","Male",22,"English",NA,"United States","I tried my best on each question","2","5","3","","",4.94353333333333,"1","chrome","1280","689","90","TRI"
"5KHY8","11111331","ORTH-90","SGC4C","summer22","asynch","Male",35,"English",NA,"United States","I tried my best on each question","3","4","4","I misunderstood the chart for the first couple of questions so they were most likely incorrect.  Once I understood the chart the answers should have all been correct.","",12.3297166666667,"3","chrome","2560","1297","90","ORTH"
"A3ZGA","11111331","ORTH-90","SGC4C","summer22","asynch","Female",57,"English",NA,"United States","I tried my best on each question","5","3","5","Very tricky and requires concentration and difficult","no",34.7661166666667,"1","chrome","1517","734","90","ORTH"
"ZCQVM","11311331","TRI-90","SGC4C","summer22","asynch","Male",29,"English",NA,"United States","I tried my best on each question","4","3","4","","",10.5422833333333,"1","chrome","2560","1297","90","TRI"
"ETQH4","11311331","TRI-90","SGC4C","summer22","asynch","Male",36,"English",NA,"United States","I tried my best on each question","2","5","5","","No",9.60173333333333,"2","chrome","1355","927","90","TRI"
"UJTNE","11111221","ORTH-45","SGC4C","summer22","asynch","Male",27,"English",NA,"USA","I tried my best on each question","3","4","4","That's all","no",16.6523166666667,"2","chrome","1292","697","45","ORTH"
"O9T8H","111112","ORTH-45","SGC4C","summer22","asynch","Female",24,"English",NA,"United States","I tried my best on each question","5","1","3","N/A","No",9.77901666666667,"1","chrome","1536","710","45","ORTH"
"CRYHH","11111331","ORTH-90","SGC4C","summer22","asynch","Female",34,"English",NA,"United States","I tried my best on each question","4","5","4","N/A","Current allergy-induced visual impairment in left eye (slightly blurry vision)",10.5534333333333,"1","chrome","1517","730","90","ORTH"
"N9DY5","11311221","TRI-45","SGC4C","summer22","asynch","Male",27,"English",NA,"America","I tried my best on each question","4","3","2","","no",14.1579166666667,"2","chrome","1821","876","45","TRI"
"1HFPM","11311331","TRI-90","SGC4C","summer22","asynch","Female",26,"English",NA,"United States","I tried my best on most questions","5","2","3","","no",12.0065333333333,"1","chrome","1440","708","90","TRI"
"PWPHH","11311331","TRI-90","SGC4C","summer22","asynch","Female",59,"English",NA,"United States","I tried my best on each question","5","1","1","The graph was convoluted. The last 4 boxes weren't interactive and I couldn't click into them.","No",13.2520166666667,"5.5","chrome","1770","888","90","TRI"
"UJSVE","11111221","ORTH-45","SGC4C","summer22","asynch","Male",57,"English",NA,"United States of America","I tried my best on each question","3","3","5","There was definitely a brief acclimation period while trying to decipher the graph. Initially I understood the shift time and start time, but it took a few tries before I completely figured out how to correctly read the graph. The entire thing appearing slanted seemed to make this *appear* more difficult, but again once I finally understood how to read it, answering the rest of the questions was significantly easier. I certainly tried my best throughout, and hope my input is helpful! Thank you and best of luck with your research!","No, none",20.8678,"1","chrome","1440","821","45","ORTH"
"20DU0","11111221","ORTH-45","SGC4C","summer22","asynch","Male",22,"English",NA,"United States","I tried my best on each question","5","4","5","","No",7.4849,"2","chrome","1920","929","45","ORTH"
"X52QK","11311331","TRI-90","SGC4C","summer22","asynch","Female",24,"English",NA,"USA","I tried my best on each question","4","2","1","The diagram is prettyconfusing.","",9.84478333333333,"1","chrome","1536","746","90","TRI"
"81F7D","11311331","TRI-90","SGC4C","summer22","asynch","Female",54,"English",NA,"usa","I tried my best on each question","3","4","3","","",12.0017166666667,"1","chrome","1600","712","90","TRI"
"DTFTN","11111221","ORTH-45","SGC4C","summer22","asynch","Male",35,"English",NA,"United States","I tried my best on each question","2","4","3","I think I misclicked on the last question and only marked X instead of X and K.","None",6.8574,"1","chrome","2560","1289","45","ORTH"
"68C4Y","11111221","ORTH-45","SGC4C","summer22","asynch","Female",20,"English",NA,"United States","I tried my best on each question","2","2","2","","N/A",16.0044666666667,"1","chrome","1536","722","45","ORTH"
"T4H63","11111331","ORTH-90","SGC4C","summer22","asynch","Male",25,"English",NA,"United States","I tried my best on each question","3","3","5","","",5.33871666666667,"1","chrome","1440","793","90","ORTH"
"5MQ0T","11311221","TRI-45","SGC4C","summer22","asynch","Female",49,"English",NA,"USA","I tried my best on each question","2","3","4","It took me awhile to read the grid correctly I think.","No",13.1265833333333,"1","chrome","1366","768","45","TRI"
"PL70M","11111221","ORTH-45","SGC4C","summer22","asynch","Male",59,"English",NA,"US","I tried my best on each question","4","3","4","It seemed like it got progresively harder","no",14.4663,"3","chrome","1280","800","45","ORTH"
"DFTRY","11311331","TRI-90","SGC4C","summer22","asynch","Female",22,"English",NA,"united states","I tried my best on each question","5","1","3","this was hard for me and I did not know how to read the graph","no",9.27201666666667,"1","chrome","1536","750","90","TRI"
"SMJ76","11311331","TRI-90","SGC4C","summer22","asynch","Male",41,"English",NA,"United States","I tried my best on each question","5","1","4","Having never before experienced this type of graph, I had no clue how to read it.","",9.80781666666667,"5","chrome","1920","1080","90","TRI"
"E1S0T","11111331","ORTH-90","SGC4C","summer22","asynch","Female",40,"English",NA,"United States","I tried my best on each question","5","2","3","I don't think I understood the graph for the first group of questions, but then I think I understood it towards the end.","No",19.3671,"1","chrome","1500","889","90","ORTH"
"H3M96","11311221","TRI-45","SGC4C","summer22","asynch","Female",69,"English",NA,"USA","I tried my best on each question","5","3","5","It took me awhile to figure out how to read the graph, so I don't know how many I actually got right, but I tried and took a lot of time figuring it out, especially the ones about sharing a break. Those took most of the time to figure out.","none. I could not accurately answer the question about my major area of study because I am not a student(I wasn't aware it was a qualifier to do study)and I just clicked any",42.70095,"1","chrome","1366","768","45","TRI"
"TRYFZ","11311331","TRI-90","SGC4C","summer22","asynch","Female",24,"English",NA,"United States","I tried my best on each question","5","1","1","The last row of check boxes were not selectable","no",5.92918333333333,"2","chrome","1920","929","90","TRI"
"8TYAE","11111221","ORTH-45","SGC4C","summer22","asynch","Female",74,"English",NA,"United States","I tried my best on most questions","5","3","4","I was confused about which diagonal to use as duration.","Age",17.74555,"1","chrome","1536","722","45","ORTH"
"RYLJA","11311331","TRI-90","SGC4C","summer22","asynch","Male",37,"English",NA,"USA","I tried my best on each question","5","3","4","It was a little disorienting with the grid and all the numbers trying to sort out when shifts ended and other things","no",8.83071666666667,"1","chrome","2560","1279","90","TRI"
