"_id","explanation","exp_id","sona_id","pool","mode","effort","difficulty","confidence","enjoyment","other","age","country","language","schoolyear","major","gender","disability","subject","study","condition","session","browser","width","height","os","starttime","totaltime","violations","absolute_score","discriminant_score","tri_score","orth_score","other_score","blank_score","status","term","sex","year","native_language"
"WZFMC","i am really confused but i would say I would see if they line upon with the hour 12pm ","2218","39124","sona","asynch","I tried my best on each question",5,1,3,"I was very confused, perhaps if you all used a different spread sheet, I think its hard to see if they times are lined up.",20,"US","English","Second","Humanities","Female","nope","WZFMC","SGC3A","111","wi22sona","chrome",1382,692,"Mac OS","2022-02-23T06:14:31.612Z",567037,1.5,1,-2.91666666666667,2,5,10,2,"success","winter22","Female","Second","English"
"M3E87","Find 12pm on the x axis (start and end time), the points at that marker on the x axis (F and B) are the shifts that start at 12 pm","2218","36525","sona","asynch","I tried my best on most questions",4,2,3,"I didn't know at all how to interpret the first set of questions about the graph. I left some blank if I couldn't see any that satisfied the condition and guessed on some others. The second set when Korrin (I think?) took over scheduling made sense and was much easier. I hope I answered more of those correctly.",19,"United States","English","Second","Humanities","Female","no","M3E87","SGC3A","121","wi22sona","chrome",1440,821,"Mac OS","2022-02-25T22:37:04.484Z",1082173,1,0,-5.75,1,9,2,2,"success","winter22","Female","Second","English"
"PVRS1","X-intercept line, Start and end time of day, find 12PM tick/marking, follow up graph and find points indicating start.... unless.... You do find a point, and determine duration by adding hours from indicated y-line... darn","2218","42016","sona","asynch","I tried my best on each question",5,3,5,"I feel like I just realized a different way to read the darn graph- and I did everything wrong! Hopefully other people feel that too lol, very interesting experience!",22,"United States","English","Fourth","Social Sciences (incl. CogSci)","Female","no","PVRS1","SGC3A","121","wi22sona","chrome",1366,768,"Windows 10","2022-02-25T03:44:39.225Z",1028075,1,0,-6.5,1,9,4,0,"success","winter22","Female","Fourth","English"
"ZCMED","k","2218","36561","sona","asynch","I started out trying hard, but gave up at some point",1,2,2,"",21,"usa","English","Fourth","Social Sciences (incl. CogSci)","Male","","ZCMED","SGC3A","111","wi22sona","chrome",1440,789,"Mac OS","2022-02-25T01:56:05.358Z",427415,3,0,-2.83333333333333,0,2,10,1,"success","winter22","Male","Fourth","English"
"YV1XZ","when it corresponds to the 12pm line on the x axis ","2218","41515","sona","asynch","I tried my best on most questions",4,2,4,"",18,"Hong Kong","English","First","Social Sciences (incl. CogSci)","Female","","YV1XZ","SGC3A","111","wi22sona","chrome",1303,725,"Mac OS","2022-02-24T23:34:27.493Z",540426,1,0,-8.5,1,11,5,0,"success","winter22","Female","First","English"
"1HLEP","Look at the horizontal axis where 12pm is listed","2218","28782","sona","asynch","I tried my best on each question",4,2,3,"",21,"United States","Spanish","Fourth","Social Sciences (incl. CogSci)","Female","","1HLEP","SGC3A","121","wi22sona","chrome",1500,857,"Windows 10","2022-02-25T23:49:03.095Z",2659158,3,0,-6.16666666666667,0,8,8,0,"success","winter22","Female","Fourth","Spanish"
"04YXZ","SHIFT B AND F
BY FOLLOWING UP THE LINE OF 12PM 
","2218","27149","sona","asynch","I tried my best on most questions",4,1,2,"I was being distracted by my environment unwillingly ",22,"USA","English","Fourth","Social Sciences (incl. CogSci)","Female","no","04YXZ","SGC3A","111","wi22sona","chrome",1189,735,"Mac OS","2022-02-25T02:28:32.691Z",580609,1,0,-4.91666666666667,1,7,10,0,"success","winter22","Female","Fourth","English"
"TCS5Z","The X axis
","2218","42258","sona","asynch","I tried my best on most questions",5,3,5,"",19,"United States","English","Second","Biomedical & Health Sciences","Female","","TCS5Z","SGC3A","121","wi22sona","chrome",1280,681,"Windows 10","2022-02-27T01:21:17.953Z",369251,1,0,-5.5,0,8,6,2,"success","winter22","Female","Second","English"
"ZMRMB","the dots that are on 12pm are the events that start at 12pm","2218","29101","sona","asynch","I tried my best on most questions",4,2,3,"",21,"South Korea","Korean","Fourth","Social Sciences (incl. CogSci)","Male","","ZMRMB","SGC3A","121","wi22sona","chrome",1128,702,"Mac OS","2022-02-25T03:59:45.173Z",739111,1,1,-3.33333333333333,2,7,8,0,"success","winter22","Male","Fourth","Korean"
"ZDA7B","Identify where 12pm is on the x-axis then look directly up from there. Any dots on the created vertical line start at 12pm. ","2218","35361","sona","asynch","I tried my best on each question",4,2,2,"I was kind of confused for most of it because some questions didn't line up with what I interpreted of the graph. ",20,"USA","Spanish","Third","Biomedical & Health Sciences","Male","none","ZDA7B","SGC3A","121","wi22sona","chrome",1536,754,"Windows 10","2022-02-23T02:41:51.867Z",758663,2,1,-3.08333333333333,1,5,6,2,"success","winter22","Male","Third","Spanish"
"9XEMK","To determine what events start at 12pm, I find 12pm on the bottom of the graph, and then go up vertically (to find B and F, in this case)","2218","32342","sona","asynch","I tried my best on each question",2,4,3,"Wasn't sure how to sue the graph at first, though that may be part of the experiment.",20,"United States","English","Third","Social Sciences (incl. CogSci)","Male","No","9XEMK","SGC3A","111","wi22sona","chrome",1920,969,"Windows 10","2022-02-26T01:20:17.887Z",613799,1,0,-12,0,15,0,0,"success","winter22","Male","Third","English"
"HF78R","I view the linear line that starts at 12pm and every hour i move up one and to the right one. So M and L start at 12pm","2218","34535","sona","asynch","I tried my best on each question",3,3,4,"",21,"United States of America","English","Fourth","Social Sciences (incl. CogSci)","Male","no","HF78R","SGC3A","121","wi22sona","chrome",1440,821,"Mac OS","2022-02-25T23:37:48.883Z",2138819,2,6,5.58333333333333,8,2,4,1,"success","winter22","Male","Fourth","English"
"YWPBP","find the time 12 pm on the x axis and every dot on that line is a shift that starts at 12 pm","2218","40787","sona","asynch","I started out trying hard, but gave up at some point",4,1,1,"",19,"Italy","X-Other","First","Social Sciences (incl. CogSci)","Female","no","YWPBP","SGC3A","111","wi22sona","chrome",1440,789,"Mac OS","2022-02-24T23:19:25.150Z",337591,1,0,-8.16666666666667,0,10,2,4,"success","winter22","Female","First","X-Other"
"ML0PA","i'm locating the number 12 on the x-axis and then whatever vertical points are located with that x-axis point, then they start at the same time because the height of the points is just the duration","2218","41376","sona","asynch","I tried my best on each question",4,2,1,"the overall diagram is hard to interpret.",21,"Syria","Arabic","Third","Social Sciences (incl. CogSci)","Female","No","ML0PA","SGC3A","121","wi22sona","chrome",1261,729,"Windows 10","2022-02-25T07:12:15.252Z",570864,1,0,-5.5,0,8,0,6,"success","winter22","Female","Third","Arabic"
