"subject","condition","term","mode","gender","age","language","schoolyear","country","effort","difficulty","confidence","enjoyment","other","disability","totaltime_m","violations","browser","width","height","pretty_condition","pretty_mode"
"ZJPX1","121","spring18","lab-synch","Female",22,"English","Fourth","USA","NULL","NULL","NULL","NULL","NULL","NULL",15.25455,"NULL","NULL","NULL","NULL","impasse","laboratory"
"L0W0F","111","spring18","lab-synch","Female",28,"English","Fourth","USA","NULL","NULL","NULL","NULL","NULL","NULL",9.4247,"NULL","NULL","NULL","NULL","control","laboratory"
"J994U","111","spring18","lab-synch","Male",20,"English","Third","Sri Lanka","NULL","NULL","NULL","NULL","NULL","NULL",13.30185,"NULL","NULL","NULL","NULL","control","laboratory"
"FU11G","121","spring18","lab-synch","Female",20,"English","Third","USA","NULL","NULL","NULL","NULL","NULL","NULL",20.8083166666667,"NULL","NULL","NULL","NULL","impasse","laboratory"
"6Y93F","111","spring18","lab-synch","Male",22,"English","Fourth","United States","NULL","NULL","NULL","NULL","NULL","NULL",17.8723333333333,"NULL","NULL","NULL","NULL","control","laboratory"
"H2N27","121","spring18","lab-synch","Male",20,"Mandarin or Cantonese","First","china\n","NULL","NULL","NULL","NULL","NULL","NULL",6.0111,"NULL","NULL","NULL","NULL","impasse","laboratory"
"T5SHZ","121","spring18","lab-synch","Female",20,"English","Other","USA","NULL","NULL","NULL","NULL","NULL","NULL",16.4490833333333,"NULL","NULL","NULL","NULL","impasse","laboratory"
"S4G9E","111","spring18","lab-synch","Female",21,"English","Fourth","United States","NULL","NULL","NULL","NULL","NULL","NULL",9.89913333333333,"NULL","NULL","NULL","NULL","control","laboratory"
"G443Q","121","spring18","lab-synch","Female",21,"English","Third","US","NULL","NULL","NULL","NULL","NULL","NULL",21.49425,"NULL","NULL","NULL","NULL","impasse","laboratory"
"UQWX4","111","spring18","lab-synch","Male",23,"English","Other","United States of America","NULL","NULL","NULL","NULL","NULL","NULL",12.8825333333333,"NULL","NULL","NULL","NULL","control","laboratory"
"A9CZD","111","spring18","lab-synch","Female",20,"Mandarin or Cantonese","Third","USA","NULL","NULL","NULL","NULL","NULL","NULL",11.80395,"NULL","NULL","NULL","NULL","control","laboratory"
"CC7G0","111","spring18","lab-synch","Female",19,"Mandarin or Cantonese","Second","china","NULL","NULL","NULL","NULL","NULL","NULL",10.9969166666667,"NULL","NULL","NULL","NULL","control","laboratory"
"FSWW4","121","spring18","lab-synch","Female",20,"Spanish","Second","USA","NULL","NULL","NULL","NULL","NULL","NULL",19.03525,"NULL","NULL","NULL","NULL","impasse","laboratory"
"VT5BG","121","spring18","lab-synch","Female",19,"English","Second","USA","NULL","NULL","NULL","NULL","NULL","NULL",11.1712333333333,"NULL","NULL","NULL","NULL","impasse","laboratory"
"J2MPW","121","spring18","lab-synch","Male",22,"English","Fourth","United States of America","NULL","NULL","NULL","NULL","NULL","NULL",7.39815,"NULL","NULL","NULL","NULL","impasse","laboratory"
"B4LD9","111","spring18","lab-synch","Male",21,"English","Fourth","USA","NULL","NULL","NULL","NULL","NULL","NULL",10.3928666666667,"NULL","NULL","NULL","NULL","control","laboratory"
"DM4T0","121","spring18","lab-synch","Female",19,"Mandarin or Cantonese","First","USA","NULL","NULL","NULL","NULL","NULL","NULL",15.4068833333333,"NULL","NULL","NULL","NULL","impasse","laboratory"
"UX4QZ","111","spring18","lab-synch","Male",23,"English","Fifth","united states","NULL","NULL","NULL","NULL","NULL","NULL",14.4078833333333,"NULL","NULL","NULL","NULL","control","laboratory"
"8LK9M","121","spring18","lab-synch","Female",20,"English","Fourth","Lebanon","NULL","NULL","NULL","NULL","NULL","NULL",11.10275,"NULL","NULL","NULL","NULL","impasse","laboratory"
"QUCDX","111","spring18","lab-synch","Female",19,"Other","First","United States of America","NULL","NULL","NULL","NULL","NULL","NULL",11.59425,"NULL","NULL","NULL","NULL","control","laboratory"
"39GMD","121","spring18","lab-synch","Female",25,"Other","Fifth","the Philippines","NULL","NULL","NULL","NULL","NULL","NULL",12.1174333333333,"NULL","NULL","NULL","NULL","impasse","laboratory"
"YP2FK","121","spring18","lab-synch","Female",21,"English","Fifth","USA","NULL","NULL","NULL","NULL","NULL","NULL",11.17235,"NULL","NULL","NULL","NULL","impasse","laboratory"
"OVZHS","111","spring18","lab-synch","Female",22,"English","Fourth","United States","NULL","NULL","NULL","NULL","NULL","NULL",12.8495166666667,"NULL","NULL","NULL","NULL","control","laboratory"
"DD3DE","111","spring18","lab-synch","Female",20,"English","Third","United States","NULL","NULL","NULL","NULL","NULL","NULL",12.0378,"NULL","NULL","NULL","NULL","control","laboratory"
"1ZY3L","111","spring18","lab-synch","Male",20,"English","Third","usa","NULL","NULL","NULL","NULL","NULL","NULL",10.4007333333333,"NULL","NULL","NULL","NULL","control","laboratory"
"9BBMD","111","spring18","lab-synch","Male",22,"English","Fourth","USA","NULL","NULL","NULL","NULL","NULL","NULL",10.6271166666667,"NULL","NULL","NULL","NULL","control","laboratory"
"HJ5O5","111","spring18","lab-synch","Male",20,"English","Second","USA","NULL","NULL","NULL","NULL","NULL","NULL",9.34641666666667,"NULL","NULL","NULL","NULL","control","laboratory"
"Q8EDD","111","spring18","lab-synch","Female",18,"English","First","United States","NULL","NULL","NULL","NULL","NULL","NULL",12.10525,"NULL","NULL","NULL","NULL","control","laboratory"
"AFQCB","121","spring18","lab-synch","Male",18,"English","First","United States of America","NULL","NULL","NULL","NULL","NULL","NULL",17.5747666666667,"NULL","NULL","NULL","NULL","impasse","laboratory"
"VJNWA","111","spring18","lab-synch","Female",19,"English","Second","United States of America","NULL","NULL","NULL","NULL","NULL","NULL",12.1170166666667,"NULL","NULL","NULL","NULL","control","laboratory"
"DQQQX","111","spring18","lab-synch","Male",21,"Mandarin or Cantonese","Third","United States of America","NULL","NULL","NULL","NULL","NULL","NULL",13.9024166666667,"NULL","NULL","NULL","NULL","control","laboratory"
"6MWHZ","121","spring18","lab-synch","Female",23,"English","Fifth","USA","NULL","NULL","NULL","NULL","NULL","NULL",13.2771666666667,"NULL","NULL","NULL","NULL","impasse","laboratory"
"RGJZL","121","spring18","lab-synch","Other",21,"Spanish","Third","Mexico","NULL","NULL","NULL","NULL","NULL","NULL",14.7577833333333,"NULL","NULL","NULL","NULL","impasse","laboratory"
"MOWH2","121","spring18","lab-synch","Female",21,"English","Second","Sri Lanka","NULL","NULL","NULL","NULL","NULL","NULL",17.93165,"NULL","NULL","NULL","NULL","impasse","laboratory"
"Z5Z7P","111","spring18","lab-synch","Female",23,"English","Fifth","USSA","NULL","NULL","NULL","NULL","NULL","NULL",16.3699666666667,"NULL","NULL","NULL","NULL","control","laboratory"
"OZV09","121","spring18","lab-synch","Female",19,"Mandarin or Cantonese","First","Taiwan","NULL","NULL","NULL","NULL","NULL","NULL",9.06183333333333,"NULL","NULL","NULL","NULL","impasse","laboratory"
"XX1TE","111","spring18","lab-synch","Female",21,"English","Fourth","United states","NULL","NULL","NULL","NULL","NULL","NULL",13.698,"NULL","NULL","NULL","NULL","control","laboratory"
"F3GZE","111","spring18","lab-synch","Male",19,"English","First","USA","NULL","NULL","NULL","NULL","NULL","NULL",14.3365666666667,"NULL","NULL","NULL","NULL","control","laboratory"
"CK5DF","111","spring18","lab-synch","Female",18,"English","First","United States","NULL","NULL","NULL","NULL","NULL","NULL",12.0937833333333,"NULL","NULL","NULL","NULL","control","laboratory"
"ZKB08","121","spring18","lab-synch","Female",18,"English","First","USA","NULL","NULL","NULL","NULL","NULL","NULL",15.0422166666667,"NULL","NULL","NULL","NULL","impasse","laboratory"
"YKJOR","111","spring18","lab-synch","Male",21,"Mandarin or Cantonese","Third","Canada","NULL","NULL","NULL","NULL","NULL","NULL",8.50596666666667,"NULL","NULL","NULL","NULL","control","laboratory"
"38NFJ","121","spring18","lab-synch","Female",20,"English","Second","United States of America","NULL","NULL","NULL","NULL","NULL","NULL",9.21,"NULL","NULL","NULL","NULL","impasse","laboratory"
"WKBNA","111","spring18","lab-synch","Female",19,"English","Second","United States","NULL","NULL","NULL","NULL","NULL","NULL",14.2046333333333,"NULL","NULL","NULL","NULL","control","laboratory"
"EGP0T","111","spring18","lab-synch","Female",18,"Mandarin or Cantonese","First","TAIWAN","NULL","NULL","NULL","NULL","NULL","NULL",10.9014833333333,"NULL","NULL","NULL","NULL","control","laboratory"
"VSHHA","121","spring18","lab-synch","Female",19,"Mandarin or Cantonese","Second","China","NULL","NULL","NULL","NULL","NULL","NULL",14.8071833333333,"NULL","NULL","NULL","NULL","impasse","laboratory"
"BYKF0","111","fall21","asynch","Female",20,"Other","Second","turkey","NULL","NULL","NULL","NULL","NULL","NULL",11.4661,"NULL","NULL","NULL","NULL","control","online-replication"
"N36VM","121","fall21","asynch","Female",20,"English","Third","United States","NULL","NULL","NULL","NULL","NULL","NULL",13.7385666666667,"NULL","NULL","NULL","NULL","impasse","online-replication"
"Y0MZ6","111","fall21","asynch","Female",27,"English","Fourth","Vietnam","NULL","NULL","NULL","NULL","NULL","NULL",13.4351666666667,"NULL","NULL","NULL","NULL","control","online-replication"
"194UU","111","fall21","asynch","Male",21,"English","Other","United States of America\nUnited States of America","NULL","NULL","NULL","NULL","NULL","NULL",20.2448333333333,"NULL","NULL","NULL","NULL","control","online-replication"
"SGTQJ","111","fall21","asynch","Female",20,"English","Third","USA","NULL","NULL","NULL","NULL","NULL","NULL",7.77763333333333,"NULL","NULL","NULL","NULL","control","online-replication"
"UQTQ6","111","fall21","asynch","Female",21,"English","Fourth","USA","NULL","NULL","NULL","NULL","NULL","NULL",9.58145,"NULL","NULL","NULL","NULL","control","online-replication"
"ALN2P","121","fall21","asynch","Male",23,"English","Fourth","USA","NULL","NULL","NULL","NULL","NULL","NULL",10.2366333333333,"NULL","NULL","NULL","NULL","impasse","online-replication"
"PJYUH","121","fall21","asynch","Female",20,"English","Fourth","United States of America","NULL","NULL","NULL","NULL","NULL","NULL",10.5829,"NULL","NULL","NULL","NULL","impasse","online-replication"
"N34B6","111","fall21","asynch","Female",20,"English","Third","usa","NULL","NULL","NULL","NULL","NULL","NULL",14.21545,"NULL","NULL","NULL","NULL","control","online-replication"
"X8P7E","111","fall21","asynch","Male",20,"English","Third","USA","NULL","NULL","NULL","NULL","NULL","NULL",8.35585,"NULL","NULL","NULL","NULL","control","online-replication"
"Q7A44","121","fall21","asynch","Male",21,"English","Third","United States of America","NULL","NULL","NULL","NULL","NULL","NULL",16.3914166666667,"NULL","NULL","NULL","NULL","impasse","online-replication"
"A9JCU","111","fall21","asynch","Male",18,"English","Second","USA","NULL","NULL","NULL","NULL","NULL","NULL",10.7825,"NULL","NULL","NULL","NULL","control","online-replication"
"3PADQ","111","fall21","asynch","Female",22,"Other","Fourth","USA","NULL","NULL","NULL","NULL","NULL","NULL",21.9320166666667,"NULL","NULL","NULL","NULL","control","online-replication"
"QVWU9","121","fall21","asynch","Female",21,"English","Fourth","US","NULL","NULL","NULL","NULL","NULL","NULL",6.38293333333333,"NULL","NULL","NULL","NULL","impasse","online-replication"
"57C0V","121","fall21","asynch","Female",20,"Spanish","Third","usa","NULL","NULL","NULL","NULL","NULL","NULL",20.4693,"NULL","NULL","NULL","NULL","impasse","online-replication"
"8MT4O","121","fall21","asynch","Female",19,"English","Second","United States","NULL","NULL","NULL","NULL","NULL","NULL",8.62973333333333,"NULL","NULL","NULL","NULL","impasse","online-replication"
"E9SDE","121","fall21","asynch","Female",19,"English","Second","United States\nUnited States","NULL","NULL","NULL","NULL","NULL","NULL",13.3792333333333,"NULL","NULL","NULL","NULL","impasse","online-replication"
"PY424","111","fall21","asynch","Female",20,"English","Third","united states of america","NULL","NULL","NULL","NULL","NULL","NULL",12.0660166666667,"NULL","NULL","NULL","NULL","control","online-replication"
"KXRFL","111","fall21","asynch","Male",21,"English","Fourth","United States of America","NULL","NULL","NULL","NULL","NULL","NULL",17.2675833333333,"NULL","NULL","NULL","NULL","control","online-replication"
"7METL","111","fall21","asynch","Female",19,"English","Second","India","NULL","NULL","NULL","NULL","NULL","NULL",5.50298333333333,"NULL","NULL","NULL","NULL","control","online-replication"
"MAJW8","121","fall21","asynch","Female",19,"English","Second","US","NULL","NULL","NULL","NULL","NULL","NULL",9.459,"NULL","NULL","NULL","NULL","impasse","online-replication"
"Z461O","111","fall21","asynch","Female",21,"English","Fourth","United States","NULL","NULL","NULL","NULL","NULL","NULL",10.9450333333333,"NULL","NULL","NULL","NULL","control","online-replication"
"FDRWD","111","fall21","asynch","Male",19,"English","Second","United States","NULL","NULL","NULL","NULL","NULL","NULL",15.3750833333333,"NULL","NULL","NULL","NULL","control","online-replication"
"QNNZZ","121","fall21","asynch","Male",20,"Mandarin or Cantonese","Third","Hong Kong","NULL","NULL","NULL","NULL","NULL","NULL",14.3799666666667,"NULL","NULL","NULL","NULL","impasse","online-replication"
"BR500","121","fall21","asynch","Female",21,"English","Fourth","USA","NULL","NULL","NULL","NULL","NULL","NULL",8.0677,"NULL","NULL","NULL","NULL","impasse","online-replication"
"PRA08","121","fall21","asynch","Male",20,"English","Third","U.S","NULL","NULL","NULL","NULL","NULL","NULL",12.0215666666667,"NULL","NULL","NULL","NULL","impasse","online-replication"
"NV47T","121","fall21","asynch","Male",21,"English","Fourth","US","NULL","NULL","NULL","NULL","NULL","NULL",17.5563166666667,"NULL","NULL","NULL","NULL","impasse","online-replication"
"98VDX","121","fall21","asynch","Female",18,"English","First","United States","NULL","NULL","NULL","NULL","NULL","NULL",12.6098166666667,"NULL","NULL","NULL","NULL","impasse","online-replication"
"776UX","111","fall21","asynch","Female",20,"English","Third","United states","NULL","NULL","NULL","NULL","NULL","NULL",27.4013666666667,"NULL","NULL","NULL","NULL","control","online-replication"
"98R7E","111","fall21","asynch","Female",20,"Spanish","Third","United States of America","NULL","NULL","NULL","NULL","NULL","NULL",12.8169333333333,"NULL","NULL","NULL","NULL","control","online-replication"
"Y7EP3","121","fall21","asynch","Female",21,"Spanish","Fourth","north America","NULL","NULL","NULL","NULL","NULL","NULL",10.1717833333333,"NULL","NULL","NULL","NULL","impasse","online-replication"
"F4XPD","111","fall21","asynch","Male",20,"English","Third","United States","NULL","NULL","NULL","NULL","NULL","NULL",9.4601,"NULL","NULL","NULL","NULL","control","online-replication"
"77SKE","111","fall21","asynch","Female",20,"English","Second","United States","NULL","NULL","NULL","NULL","NULL","NULL",11.85675,"NULL","NULL","NULL","NULL","control","online-replication"
"0YVPY","121","fall21","asynch","Female",20,"English","Third","USA","NULL","NULL","NULL","NULL","NULL","NULL",11.9586833333333,"NULL","NULL","NULL","NULL","impasse","online-replication"
"MM806","121","fall21","asynch","Female",18,"English","First","USA","NULL","NULL","NULL","NULL","NULL","NULL",7.72316666666667,"NULL","NULL","NULL","NULL","impasse","online-replication"
"NH0FO","121","fall21","asynch","Female",21,"English","Fourth","USA","NULL","NULL","NULL","NULL","NULL","NULL",10.7888,"NULL","NULL","NULL","NULL","impasse","online-replication"
"431GR","111","fall21","asynch","Female",18,"English","First","United States","NULL","NULL","NULL","NULL","NULL","NULL",9.29108333333333,"NULL","NULL","NULL","NULL","control","online-replication"
"TD0NU","111","fall21","asynch","Female",21,"English","Fourth","United States","NULL","NULL","NULL","NULL","NULL","NULL",9.74518333333333,"NULL","NULL","NULL","NULL","control","online-replication"
"WYZCU","111","fall21","asynch","Male",31,"Other","Fourth","United States","NULL","NULL","NULL","NULL","NULL","NULL",8.0204,"NULL","NULL","NULL","NULL","control","online-replication"
"LS93R","121","fall21","asynch","Female",21,"Other","Fourth","usa","NULL","NULL","NULL","NULL","NULL","NULL",6.09273333333333,"NULL","NULL","NULL","NULL","impasse","online-replication"
"60VNG","121","fall21","asynch","Female",28,"English","Third","USA","NULL","NULL","NULL","NULL","NULL","NULL",10.4892833333333,"NULL","NULL","NULL","NULL","impasse","online-replication"
"YAFMA","121","fall21","asynch","Female",20,"English","Third","United States","NULL","NULL","NULL","NULL","NULL","NULL",3.84163333333333,"NULL","NULL","NULL","NULL","impasse","online-replication"
"VP6G3","121","fall21","asynch","Male",21,"Mandarin or Cantonese","Fourth","China","NULL","NULL","NULL","NULL","NULL","NULL",6.65241666666667,"NULL","NULL","NULL","NULL","impasse","online-replication"
"7DJGJ","121","fall21","asynch","Female",20,"Other","Third","india","NULL","NULL","NULL","NULL","NULL","NULL",7.85746666666667,"NULL","NULL","NULL","NULL","impasse","online-replication"
"STJP3","111","fall21","asynch","Male",21,"English","Fourth","USA","NULL","NULL","NULL","NULL","NULL","NULL",9.24343333333333,"NULL","NULL","NULL","NULL","control","online-replication"
"S8NY4","111","fall21","asynch","Male",22,"Other","Fourth","China","NULL","NULL","NULL","NULL","NULL","NULL",10.8955333333333,"NULL","NULL","NULL","NULL","control","online-replication"
"K7HM9","111","fall21","asynch","Male",18,"English","First","United States","NULL","NULL","NULL","NULL","NULL","NULL",34.0028166666667,"NULL","NULL","NULL","NULL","control","online-replication"
"YUWCZ","111","fall21","asynch","Female",22,"Spanish","Fourth","United States","NULL","NULL","NULL","NULL","NULL","NULL",13.9005166666667,"NULL","NULL","NULL","NULL","control","online-replication"
"YJN2B","121","fall21","asynch","Female",21,"Other","Third","US","NULL","NULL","NULL","NULL","NULL","NULL",10.3882,"NULL","NULL","NULL","NULL","impasse","online-replication"
"LPY8N","111","fall21","asynch","Female",19,"English","Second","United States","NULL","NULL","NULL","NULL","NULL","NULL",10.41,"NULL","NULL","NULL","NULL","control","online-replication"
"KNH2B","111","fall21","asynch","Female",19,"English","Second","United States","NULL","NULL","NULL","NULL","NULL","NULL",15.5118666666667,"NULL","NULL","NULL","NULL","control","online-replication"
"GB4TH","111","fall21","asynch","Female",21,"English","Fourth","USA","NULL","NULL","NULL","NULL","NULL","NULL",7.30663333333333,"NULL","NULL","NULL","NULL","control","online-replication"
"ECJQV","121","fall21","asynch","Female",20,"Spanish","Third","United States","NULL","NULL","NULL","NULL","NULL","NULL",4.31043333333333,"NULL","NULL","NULL","NULL","impasse","online-replication"
"UN6MT","111","fall21","asynch","Male",21,"English","Third","United States of America","NULL","NULL","NULL","NULL","NULL","NULL",10.73695,"NULL","NULL","NULL","NULL","control","online-replication"
"WWMDF","111","fall21","asynch","Male",25,"English","Third","\nUnited States","NULL","NULL","NULL","NULL","NULL","NULL",13.97255,"NULL","NULL","NULL","NULL","control","online-replication"
"PQA54","111","fall21","asynch","Female",21,"Spanish","Fourth","United States","NULL","NULL","NULL","NULL","NULL","NULL",15.4638333333333,"NULL","NULL","NULL","NULL","control","online-replication"
"5TMTW","121","fall21","asynch","Male",19,"English","Third","United States of America","NULL","NULL","NULL","NULL","NULL","NULL",12.3727166666667,"NULL","NULL","NULL","NULL","impasse","online-replication"
"57KJC","121","fall21","asynch","Male",22,"Spanish","Fourth","USA","NULL","NULL","NULL","NULL","NULL","NULL",8.4557,"NULL","NULL","NULL","NULL","impasse","online-replication"
"240Y4","121","fall21","asynch","Female",21,"Other","Third","South Korea","NULL","NULL","NULL","NULL","NULL","NULL",111.016266666667,"NULL","NULL","NULL","NULL","impasse","online-replication"
"K9UQH","121","fall21","asynch","Female",18,"Other","Second","India","NULL","NULL","NULL","NULL","NULL","NULL",33.5936333333333,"NULL","NULL","NULL","NULL","impasse","online-replication"
"WRHPM","121","fall21","asynch","Male",22,"English","Fourth","USA","NULL","NULL","NULL","NULL","NULL","NULL",7.805,"NULL","NULL","NULL","NULL","impasse","online-replication"
"SG6TQ","111","fall21","asynch","Male",21,"Other","Third","Vietnam","NULL","NULL","NULL","NULL","NULL","NULL",10.1454666666667,"NULL","NULL","NULL","NULL","control","online-replication"
"OE3DT","121","fall21","asynch","Female",20,"English","Third","USA","NULL","NULL","NULL","NULL","NULL","NULL",14.4448166666667,"NULL","NULL","NULL","NULL","impasse","online-replication"
"9S5Z0","111","fall21","asynch","Male",23,"Other","Fourth","USA","NULL","NULL","NULL","NULL","NULL","NULL",23.40185,"NULL","NULL","NULL","NULL","control","online-replication"
"HUNJ8","121","fall21","asynch","Female",21,"English","Fourth","United States","NULL","NULL","NULL","NULL","NULL","NULL",8.48418333333333,"NULL","NULL","NULL","NULL","impasse","online-replication"
"EA6YH","111","fall21","asynch","Female",20,"English","Third","USA","NULL","NULL","NULL","NULL","NULL","NULL",14.35875,"NULL","NULL","NULL","NULL","control","online-replication"
"8BB1M","111","fall21","asynch","Female",18,"English","First","USA","NULL","NULL","NULL","NULL","NULL","NULL",11.8747833333333,"NULL","NULL","NULL","NULL","control","online-replication"
"ARCSZ","121","fall21","asynch","Male",20,"Mandarin or Cantonese","Third","us\nus","NULL","NULL","NULL","NULL","NULL","NULL",12.5807666666667,"NULL","NULL","NULL","NULL","impasse","online-replication"
"HCGNQ","121","fall21","asynch","Female",20,"Other","Third","US","NULL","NULL","NULL","NULL","NULL","NULL",11.4038333333333,"NULL","NULL","NULL","NULL","impasse","online-replication"
"OHLRP","111","fall21","asynch","Female",24,"English","Third","us","NULL","NULL","NULL","NULL","NULL","NULL",8.16703333333333,"NULL","NULL","NULL","NULL","control","online-replication"
"1QMGP","121","fall21","asynch","Female",20,"English","Third","US","NULL","NULL","NULL","NULL","NULL","NULL",9.783,"NULL","NULL","NULL","NULL","impasse","online-replication"
"XCK4Q","111","fall21","asynch","Female",21,"English","Fourth","US","NULL","NULL","NULL","NULL","NULL","NULL",8.58988333333333,"NULL","NULL","NULL","NULL","control","online-replication"
"K5PDZ","111","fall21","asynch","Other",20,"English","Third","United States","NULL","NULL","NULL","NULL","NULL","NULL",8.45565,"NULL","NULL","NULL","NULL","control","online-replication"
"OUCFL","121","fall21","asynch","Female",21,"English","Fourth","United States\nUnited States","NULL","NULL","NULL","NULL","NULL","NULL",10.9448833333333,"NULL","NULL","NULL","NULL","impasse","online-replication"
"QOR74","121","fall21","asynch","Male",18,"English","First","India\nIndia","NULL","NULL","NULL","NULL","NULL","NULL",12.5671666666667,"NULL","NULL","NULL","NULL","impasse","online-replication"
"BK0TH","111","fall21","asynch","Male",20,"Mandarin or Cantonese","Second","China","NULL","NULL","NULL","NULL","NULL","NULL",10.3078666666667,"NULL","NULL","NULL","NULL","control","online-replication"
"9EYZ0","121","fall21","asynch","Female",20,"English","Third","U.S.","NULL","NULL","NULL","NULL","NULL","NULL",13.0657166666667,"NULL","NULL","NULL","NULL","impasse","online-replication"
"02DBM","121","fall21","asynch","Male",19,"English","First","USA","NULL","NULL","NULL","NULL","NULL","NULL",17.1542,"NULL","NULL","NULL","NULL","impasse","online-replication"
"E6KMK","111","fall21","asynch","Female",25,"Spanish","Fifth","Mexico","NULL","NULL","NULL","NULL","NULL","NULL",25.9779666666667,"NULL","NULL","NULL","NULL","control","online-replication"
"EZ7J5","111","fall21","asynch","Male",25,"English","Fifth","United States","NULL","NULL","NULL","NULL","NULL","NULL",9.73481666666667,"NULL","NULL","NULL","NULL","control","online-replication"
"LAZ3T","111","fall21","asynch","Female",18,"Other","First","USA","NULL","NULL","NULL","NULL","NULL","NULL",12.27405,"NULL","NULL","NULL","NULL","control","online-replication"
"0F1A8","111","fall21","asynch","Female",21,"Other","Fourth","Iraq","NULL","NULL","NULL","NULL","NULL","NULL",13.58045,"NULL","NULL","NULL","NULL","control","online-replication"
"AU0MW","121","fall21","asynch","Male",20,"Other","Third","United Arab Emirates","NULL","NULL","NULL","NULL","NULL","NULL",7.97011666666667,"NULL","NULL","NULL","NULL","impasse","online-replication"
"ACEXT","121","fall21","asynch","Female",22,"English","Fourth","United States\nUnited States","NULL","NULL","NULL","NULL","NULL","NULL",15.7999166666667,"NULL","NULL","NULL","NULL","impasse","online-replication"
"TBQB2","121","fall21","asynch","Male",20,"English","Third","United States of America","NULL","NULL","NULL","NULL","NULL","NULL",7.39743333333333,"NULL","NULL","NULL","NULL","impasse","online-replication"
"1JW7Y","121","fall21","asynch","Female",18,"Spanish","First","Mexico","NULL","NULL","NULL","NULL","NULL","NULL",18.5217833333333,"NULL","NULL","NULL","NULL","impasse","online-replication"
"M9WY5","111","fall21","asynch","Female",20,"English","Third","USA","NULL","NULL","NULL","NULL","NULL","NULL",16.5263166666667,"NULL","NULL","NULL","NULL","control","online-replication"
"N5NRY","111","fall21","asynch","Female",21,"English","Fourth","United States","NULL","NULL","NULL","NULL","NULL","NULL",11.3245833333333,"NULL","NULL","NULL","NULL","control","online-replication"
"DGJQ3","111","fall21","asynch","Female",21,"English","Fourth","United States\nUnited States","NULL","NULL","NULL","NULL","NULL","NULL",4.81588333333333,"NULL","NULL","NULL","NULL","control","online-replication"
"VRHYF","111","fall21","asynch","Male",19,"English","Second","United States of America","NULL","NULL","NULL","NULL","NULL","NULL",5.3667,"NULL","NULL","NULL","NULL","control","online-replication"
"8DL90","121","fall21","asynch","Female",22,"English","Third","Japan","NULL","NULL","NULL","NULL","NULL","NULL",2.90885,"NULL","NULL","NULL","NULL","impasse","online-replication"
"UO0XA","121","fall21","asynch","Male",19,"Mandarin or Cantonese","First","Japan","NULL","NULL","NULL","NULL","NULL","NULL",9.00578333333333,"NULL","NULL","NULL","NULL","impasse","online-replication"
"EMKFA","121","fall21","asynch","Female",22,"Spanish","Fifth","U.S.","NULL","NULL","NULL","NULL","NULL","NULL",11.0659833333333,"NULL","NULL","NULL","NULL","impasse","online-replication"
"PFFEV","111","fall21","asynch","Female",19,"Other","Third","France","NULL","NULL","NULL","NULL","NULL","NULL",17.2959333333333,"NULL","NULL","NULL","NULL","control","online-replication"
"CHP0K","121","fall21","asynch","Female",26,"English","Third","United States of America","NULL","NULL","NULL","NULL","NULL","NULL",11.5368333333333,"NULL","NULL","NULL","NULL","impasse","online-replication"
"3SYRX","121","fall21","asynch","Female",21,"English","Fourth","USA","NULL","NULL","NULL","NULL","NULL","NULL",7.54665,"NULL","NULL","NULL","NULL","impasse","online-replication"
"YK2A6","111","fall21","asynch","Female",20,"English","Third","usa\n","NULL","NULL","NULL","NULL","NULL","NULL",5.93431666666667,"NULL","NULL","NULL","NULL","control","online-replication"
"YAZM5","121","fall21","asynch","Female",19,"Spanish","Second","United States of America","NULL","NULL","NULL","NULL","NULL","NULL",19.4685333333333,"NULL","NULL","NULL","NULL","impasse","online-replication"
"XV7KZ","111","fall21","asynch","Female",20,"English","Third","United States of America","NULL","NULL","NULL","NULL","NULL","NULL",8.55011666666667,"NULL","NULL","NULL","NULL","control","online-replication"
"S0WU7","121","fall21","asynch","Female",22,"English","Fifth","USA","NULL","NULL","NULL","NULL","NULL","NULL",14.7344,"NULL","NULL","NULL","NULL","impasse","online-replication"
"4URRL","121","fall21","asynch","Female",21,"English","Fourth","United States Of America","NULL","NULL","NULL","NULL","NULL","NULL",20.88065,"NULL","NULL","NULL","NULL","impasse","online-replication"
"0LCME","121","fall21","asynch","Male",21,"English","Fourth","USA","NULL","NULL","NULL","NULL","NULL","NULL",10.31845,"NULL","NULL","NULL","NULL","impasse","online-replication"
"K3AE8","121","fall21","asynch","Male",18,"English","First","United States of America","NULL","NULL","NULL","NULL","NULL","NULL",21.1893,"NULL","NULL","NULL","NULL","impasse","online-replication"
"KT7ZF","121","fall21","asynch","Female",30,"Other","Fourth","Somalia","NULL","NULL","NULL","NULL","NULL","NULL",10.7872,"NULL","NULL","NULL","NULL","impasse","online-replication"
"XG38D","111","fall21","asynch","Female",20,"English","Third","United States","NULL","NULL","NULL","NULL","NULL","NULL",10.69075,"NULL","NULL","NULL","NULL","control","online-replication"
"694WT","111","fall21","asynch","Female",20,"Mandarin or Cantonese","Third","Taiwan","NULL","NULL","NULL","NULL","NULL","NULL",29.49675,"NULL","NULL","NULL","NULL","control","online-replication"
"8V8HJ","111","fall21","asynch","Female",19,"Spanish","Second","U.S.A","NULL","NULL","NULL","NULL","NULL","NULL",11.4741,"NULL","NULL","NULL","NULL","control","online-replication"
