"subject","condition","term","mode","q","response","question"
"NV47T","121","fall21","asynch",16,"II go to the x-coordinate where it says 12PM. Anything directly above that would the shifts that start at 12PM.","Please describe how to determine what event(s) start at 12pm?"
"XKX1V","121","fall21","asynch",16,"dots aligning the time","Please describe how to determine what event(s) start at 12pm?"
"F4XPD","111","fall21","asynch",16,"Look at the x-axis where it indicates the time and anything on the line where x =  12 will indicate events starting.","Please describe how to determine what event(s) start at 12pm?"
"CLV1E","121","fall21","asynch",16,"To determine what events begin at 12pm. I look first at the x-axis at the number 12 then go up and left on the line to see that both M and L start their shifts at 12pm.","Please describe how to determine what event(s) start at 12pm?"
"BYKF0","111","fall21","asynch",16,"look look at the x axis and find 12 pm. dots directly above 12 pm start at 12.","Please describe how to determine what event(s) start at 12pm?"
"OHLRP","111","fall21","asynch",16,"m","Please describe how to determine what event(s) start at 12pm?"
"K7HSV","121","fall21","asynch",16,"Wherever the dot is placed is what I assume the event starts.","Please describe how to determine what event(s) start at 12pm?"
"BK0TH","111","fall21","asynch",16,"Trace up from the 12pm mark and mark all the shifts on the line.","Please describe how to determine what event(s) start at 12pm?"
"SV1K5","111","fall21","asynch",16,"The bullet points that are directly above 12 pm are the ones that start at 12 pm","Please describe how to determine what event(s) start at 12pm?"
"9EYZ0","121","fall21","asynch",16,"You find 12pm on the x-axis and look to the line that goes to the left diagnoally or look straight up from 12pm on the x-axis.","Please describe how to determine what event(s) start at 12pm?"
"0EMZW","121","fall21","asynch",16,"Well you start by locating 12 pm and then any event(s) that are found on the upwards line from it are included... So M nad L are events that start at 12pm","Please describe how to determine what event(s) start at 12pm?"
"KEMWH","111","fall21","asynch",16,"we look at the x-axis at 12 and if there is a dot at 12 that is the start of a shift","Please describe how to determine what event(s) start at 12pm?"
"TBQB2","121","fall21","asynch",16,"All points along the right diagonal line originating from the 12 PM tick mark on the horizontal axis","Please describe how to determine what event(s) start at 12pm?"
"MM806","121","fall21","asynch",16,"GoGoGo to the x axis and find the 12 pm indicator. Go up from there and the dots that fall on that are the shifts that start at 12 pm.","Please describe how to determine what event(s) start at 12pm?"
"S0WU7","121","fall21","asynch",16,"Start at 12 on the x-axis and follow the positive slope to the right","Please describe how to determine what event(s) start at 12pm?"
"Y0MZ6","111","fall21","asynch",16,"Whichever dots aligns with 12pm on the x-axis","Please describe how to determine what event(s) start at 12pm?"
"8V8HJ","111","fall21","asynch",16,"look at the 12pm n the x axis and then follow that all the way up. Whichever shifts overlap are the ones that start at 12pm","Please describe how to determine what event(s) start at 12pm?"
"4URRL","121","fall21","asynch",16,"It is determined by the x-axis and which letters sit above the 12pm time.","Please describe how to determine what event(s) start at 12pm?"
"8BB1M","111","fall21","asynch",16,"you You look at the X-axis and find 12 pm. Then find whatever dot lines up vertically in that time row.","Please describe how to determine what event(s) start at 12pm?"
"WRHPM","121","fall21","asynch",16,"The point will have a line approaching from the right. This line represents the amount of time that has passed since beginning the shift. Following this line to zero provides you with the time the shift started. Reverse engineer this process to find which events start at 12 pm (follow the line as it goes to the right).","Please describe how to determine what event(s) start at 12pm?"
"77SKE","111","fall21","asynch",16,"Look at 12 pm on the x axis and draw an imaginary line up to see what dots occur at 12 pm.","Please describe how to determine what event(s) start at 12pm?"
"K7HM9","111","fall21","asynch",16,"Starting at the 12pm marker on the x-axis and going up-right using the diagonal line. Going up this diagonal line there are the shifts M and L","Please describe how to determine what event(s) start at 12pm?"
"EMKFA","121","fall21","asynch",16,"look for 12pm on the graph and see what points fall on that line/triange.","Please describe how to determine what event(s) start at 12pm?"
"S8NY4","111","fall21","asynch",16,"The points above 12 pm","Please describe how to determine what event(s) start at 12pm?"
"YAFMA","121","fall21","asynch",16,"Shifts B and F start at 12pm because that is the x axis","Please describe how to determine what event(s) start at 12pm?"
"PQA54","111","fall21","asynch",16,"look at x axis and find 12pm then follow straight up","Please describe how to determine what event(s) start at 12pm?"
"194UU","111","fall21","asynch",16,"You can tell by reading the x-axis of the graph which would happen to be the Start and End Time of each shift stated in 1 hour intervals of the day starting at 8am all the way to 8pm
","Please describe how to determine what event(s) start at 12pm?"
"FDRWD","111","fall21","asynch",16,"TO determine what shifts start at 12pm you need to find 12pm on the X-axis and see if there are any points straight above it(you must only go straight up from the point on the axis as if you were following a perpendicular line at that point).","Please describe how to determine what event(s) start at 12pm?"
"U820R","111","fall21","asynch",16,"Look at the x-axis the bottom of the graph and look for a dot that corresponds with ""12pm""","Please describe how to determine what event(s) start at 12pm?"
"UH8DS","121","fall21","asynch",16,"start at the 12pm mark and move up","Please describe how to determine what event(s) start at 12pm?"
"UQTQ6","111","fall21","asynch",16,"I look over to the x axis to determine which events start at 12pm","Please describe how to determine what event(s) start at 12pm?"
"PJYUH","121","fall21","asynch",16,"Find 12pm on the x-axis then move all the way up the diagonal line that moves up and to the right. List every dot (event) you hit on the way to the end of the line. This gives you M and L that start at 12pm.","Please describe how to determine what event(s) start at 12pm?"
"60VNG","121","fall21","asynch",16,"look at x axis where 12pm is and look where the plots are pointed on the y axis","Please describe how to determine what event(s) start at 12pm?"
"EA6YH","111","fall21","asynch",16,"Look at the letters that correspond to 12 pm on the x-axis.","Please describe how to determine what event(s) start at 12pm?"
"UO0XA","121","fall21","asynch",16,"Every points above the 12pm sign","Please describe how to determine what event(s) start at 12pm?"
"6VLV8","121","fall21","asynch",16,"Look at the x-axis and see what dots are in a line with 12 pm. that means draw a vertical line up 12 and see what dots are in that line","Please describe how to determine what event(s) start at 12pm?"
"KPZTN","121","fall21","asynch",16,"LL.   look at the x axis for time look at y axis for which shift","Please describe how to determine what event(s) start at 12pm?"
"W8QQ3","121","fall21","asynch",16,"Events that start at 12 are on the positive slope that crosses through 12 pm.","Please describe how to determine what event(s) start at 12pm?"
"7BV0L","111","fall21","asynch",16,"B and F start J ends","Please describe how to determine what event(s) start at 12pm?"
"K5PDZ","111","fall21","asynch",16,"Begin at point marked 12 PM at the bottom and move diagonally up and to the right. Any shift the line intersects begins at that time.","Please describe how to determine what event(s) start at 12pm?"
"GB4TH","111","fall21","asynch",16,"whichever dots are on the line that corresponds with 12pm","Please describe how to determine what event(s) start at 12pm?"
"X8P7E","111","fall21","asynch",16,"I look at the x-axis and see the 12pm mark and ID all the points that fall on x = 12pm","Please describe how to determine what event(s) start at 12pm?"
"DGJQ3","111","fall21","asynch",16,"look at the lines connecting the dots","Please describe how to determine what event(s) start at 12pm?"
"N34B6","111","fall21","asynch",16,"any points along the positively increasing line that begins at (12pm 0) started at 12pm","Please describe how to determine what event(s) start at 12pm?"
"02DBM","121","fall21","asynch",16,"Shifts M and L plus Shift B and F's coffee breaks start at 12 PM.","Please describe how to determine what event(s) start at 12pm?"
"7DJGJ","121","fall21","asynch",16,"y axisy axis","Please describe how to determine what event(s) start at 12pm?"
"2CZP7","111","fall21","asynch",16,"You look at where the number 12pm is on the chart then you go up to see what letters line up with 12pm. In this case that is F and B.","Please describe how to determine what event(s) start at 12pm?"
"YJN2B","121","fall21","asynch",16,"If their are dots ontop of the number 12","Please describe how to determine what event(s) start at 12pm?"
"VRHYF","111","fall21","asynch",16,"I would look at the x-axis and look at all the values that fall on the 12pm measurement.","Please describe how to determine what event(s) start at 12pm?"
"694WT","111","fall21","asynch",16,"figure out the start time of 12 pm (look at the point and see if it has points on 12 pm axis. Calculate the start time break and end time of each shift.","Please describe how to determine what event(s) start at 12pm?"
"QADB9","111","fall21","asynch",16,"ToTo dTo To determine what event(s) start at 12 pm you look at the bottom and look where 12 pm is. Then you go follow the line starting where 12 pm all the way to tthe top to see what event(s) start during that time.","Please describe how to determine what event(s) start at 12pm?"
"PRA08","121","fall21","asynch",16,"a point that is along the axis where 12pm is means that's when the event starts.","Please describe how to determine what event(s) start at 12pm?"
"KXRFL","111","fall21","asynch",16,"You look at x axis too look at time then find 12pm and look up the column to see what dots are plotted along 12pm","Please describe how to determine what event(s) start at 12pm?"
"LPY8N","111","fall21","asynch",16,"F and B start at 12pm because on the x axis of the graph it tells you that those are the start and end times and there are shifts B and F at those times.","Please describe how to determine what event(s) start at 12pm?"
"5P3XF","121","fall21","asynch",16,"You see the mark of 12pm in the x axis and then follow the diagonal line to the right and see all of the points plotted in that line.","Please describe how to determine what event(s) start at 12pm?"
"AU0MW","121","fall21","asynch",16,"MEntally trace a straight line starting at the 12 pm point going straight up","Please describe how to determine what event(s) start at 12pm?"
"HCGNQ","121","fall21","asynch",16,"You look at how long the shift is and then go to the 12 pm on the x-axis","Please describe how to determine what event(s) start at 12pm?"
"STJP3","111","fall21","asynch",16,"find the dots that are in line with 12pm on the x axis
","Please describe how to determine what event(s) start at 12pm?"
"GY85V","111","fall21","asynch",16,"look at what dots are above the 12 pm tick mark","Please describe how to determine what event(s) start at 12pm?"
"3PADQ","111","fall21","asynch",16,"ook down a the x-axis or the start and end time axis and find 12p and then move up the graph in line with 12p and see what shift starts there","Please describe how to determine what event(s) start at 12pm?"
"240Y4","121","fall21","asynch",16,"You go to 12pm on x axis ignore the triangular lines and go straight up. Then you will fine B and F on 12pm.","Please describe how to determine what event(s) start at 12pm?"
"3SYRX","121","fall21","asynch",16,"FikDFollow the line that has a positive slope from the 12pm point on the x-axis","Please describe how to determine what event(s) start at 12pm?"
"PFFEV","111","fall21","asynch",16,"look at the x axis find the 12pm spot and look to see if any dots are on that line","Please describe how to determine what event(s) start at 12pm?"
"NH0FO","121","fall21","asynch",16,"Find 12 PM on the X-axis and follow the line up to the right.","Please describe how to determine what event(s) start at 12pm?"
"XG38D","111","fall21","asynch",16,"Looking at the X axis find 12 PM and following up in a straight line see what dots fall on that straight line (in this case F and B)","Please describe how to determine what event(s) start at 12pm?"
"N36VM","121","fall21","asynch",16,"Choose a point that is diagonal to the x-axis of 12","Please describe how to determine what event(s) start at 12pm?"
"7METL","111","fall21","asynch",16,"By looking at which plot points align with 12pm on the y axis","Please describe how to determine what event(s) start at 12pm?"
"XV7KZ","111","fall21","asynch",16,"You would use the x-axis label ID 12pm and see which ones fall on that point","Please describe how to determine what event(s) start at 12pm?"
"YUWCZ","111","fall21","asynch",16,"The starting point is on the left side of each number. Therefore events M and L begin at 12pm","Please describe how to determine what event(s) start at 12pm?"
"CN995","121","fall21","asynch",16,"You start at the diagonal line connected to 12Pm on the horizontal axis and follow it up and to the right and whatever points that line intersects with is a shift that starts at 12 pm. It would be M and L","Please describe how to determine what event(s) start at 12pm?"
"98R7E","111","fall21","asynch",16,"the horizontal line pointing towards the right that begins at 12pm and end at 8 hours is the line where all the shifts that begin at 12 can be found.","Please describe how to determine what event(s) start at 12pm?"
"ZZNSP","111","fall21","asynch",16,"Just look at which dots that show on the 12 pm axis","Please describe how to determine what event(s) start at 12pm?"
"PY424","111","fall21","asynch",16,"Look at the x-axis and go to 12 then go up and see which letters are on that grid \.","Please describe how to determine what event(s) start at 12pm?"
"N5NRY","111","fall21","asynch",16,"the point where lines with a positive slope begin represent start time. If you go to 12 pm and follow the line with a positive slope you will find that M and L start at 12 pm","Please describe how to determine what event(s) start at 12pm?"
"QXNXR","121","fall21","asynch",16,"Start at the 12pm mark on the x-axis and follow the diagonal line that is going up and to the right. All of the points that are on that diagonal line are events that start at 12pm.","Please describe how to determine what event(s) start at 12pm?"
"MAJW8","121","fall21","asynch",16,"find 12 pm on the graph then follow the line pointing to the right all dots along that line start at 12 pm","Please describe how to determine what event(s) start at 12pm?"
"DMUWM","111","fall21","asynch",16,"To see if there are any spots on the top of the 12 pm.","Please describe how to determine what event(s) start at 12pm?"
"Y9SMP","221","fall21","asynch",16,"On the x-axis locate 12PM and follow the line up going in an upward right direction. Shifts M and L starts at 12PM.","Please describe how to determine what event(s) start at 12pm?"
"SG6TQ","111","fall21","asynch",16,"Look at the x-axis and count up from 12 PM on the axis.","Please describe how to determine what event(s) start at 12pm?"
"1JW7Y","121","fall21","asynch",16,"Looking at the duration and adding onto the time of the start of a shift.","Please describe how to determine what event(s) start at 12pm?"
"ARL8H","121","fall21","asynch",16,"The dot under the column of 12 PM determines when the event starts","Please describe how to determine what event(s) start at 12pm?"
"1KLRO","321","fall21","asynch",16,"x-axis navigate to 12pm follow the line starting from 12 and follow it diagonally up and left line hits M and hits L","Please describe how to determine what event(s) start at 12pm?"
"WZMMU","321","fall21","asynch",16,"Each point represents the letters coffee break and going down the line to the left side represents start time therefore the letters that start at 12pm are M and L","Please describe how to determine what event(s) start at 12pm?"
"M9WY5","111","fall21","asynch",16,"Look at the x axis to see the time of day look at 12pm and then see which letters line up","Please describe how to determine what event(s) start at 12pm?"
"SQKR9","321","fall21","asynch",16,"SeeSee is the left side of a triangle starts at 12pm","Please describe how to determine what event(s) start at 12pm?"
"N8PCJ","121","fall21","asynch",16,"You determine the starting of an event by looking at the x-axis ""Start and End Time"" and looking which ones start at 12 pm.","Please describe how to determine what event(s) start at 12pm?"
"M53XH","321","fall21","asynch",16,"B and F start work
","Please describe how to determine what event(s) start at 12pm?"
