"subject","study","condition","session","exp_id","sona_id","pool","mode","attn_check","explanation","effort","difficulty","confidence","enjoyment","other","age","country","language","schoolyear","major","gender","disability","browser","width","height","os","starttime","status","term","violations","absolute_score","discriminant_score","tri_score","orth_score","other_score","blank_score","totaltime_m"
"WUMOQ","SGC4A","11111","wi22sona","2218","34357","sona","asynch","TRUE","I personally just decided that the time that each event aligned with on the x-axis was the start time.","I tried my best on each question",3,4,3,"I'm pretty sure that this was intentional, but the triangle grid was really misleading and confusing at first, so if that was a mistake that's something to consider.",21,"United States of America","English","Third","Social Sciences (incl. CogSci)","Male","","chrome",1920,961,"Windows 10","2022-03-09T05:59:29.686Z","success","winter22",2,0,-12.3333333333333,0,15,0,0,17.2038166666667
"9VRTA","SGC4A","11111","wi22sona","2218","33768","sona","asynch","FALSE","to see the dots","I didn't try very hard, or rushed through the questions",2,3,4,"",21,"2","Mandarin","Third","Social Sciences (incl. CogSci)","Female","","chrome",1440,789,"Mac OS","2022-03-07T04:46:39.309Z","success","winter22",1,1,-0.833333333333333,1,1,10,0,1.64275
"UY6Q1","SGC4A","11111","wi22sona","2217","42709","sona","asynch","FALSE","look at the graph ","I tried my best on each question",1,2,4,"",20,"United States","English","Second","Social Sciences (incl. CogSci)","Female","","chrome",1680,860,"Mac OS","2022-03-09T21:12:32.682Z","success","winter22",1,0,-4.66666666666666,0,4,8,0,2.86398333333333
"YZ2B1","SGC4A","11111","wi22sona","2218","41230","sona","asynch","TRUE","When a point is on the time of the specified time stamp of the start and end time.","I tried my best on most questions",4,4,3,"Labeling the graphs better.",18,"Turkey","X-Other","First","Social Sciences (incl. CogSci)","Female","","chrome",1440,789,"Mac OS","2022-03-08T08:38:52.499Z","success","winter22",1,0,-12,0,15,0,0,9.94446666666667
"1OM2O","SGC4A","11111","wi22sona","2218","39231","sona","asynch","TRUE","the x axis","I tried my best on each question",2,5,3,"",19,"USA","English","Second","Biomedical & Health Sciences","Female","no","chrome",1678,828,"Mac OS","2022-03-07T01:20:38.262Z","success","winter22",1,0,-11.1666666666667,0,14,2,0,7.11788333333333
"5PM5X","SGC4A","11111","wi22sona","2218","31474","sona","asynch","TRUE","F and B start their shifts at 12pm. J ends their shift at 12 pm.","I tried my best on each question",2,5,2,"nothing much",20,"USA","English","Third","Social Sciences (incl. CogSci)","Male","no","chrome",1536,746,"Windows 10","2022-03-08T23:13:47.781Z","success","winter22",3.5,0,-12.0833333333333,0,15,0,0,8.38061666666667
"X11LP","SGC4A","11111","wi22sona","2218","42884","sona","asynch","TRUE","Use the x-axis, go to 12 pm, dots that end above this times start at 12 pm","I started out trying hard, but gave up at some point",2,4,3,"Nothing!",18,"USA","English","First","Biomedical & Health Sciences","Female","Nope!","chrome",1368,801,"Windows 10","2022-03-09T06:44:15.312Z","success","winter22",1,1,-6.75,1,9,3,0,4.13696666666667
"YRYRU","SGC4A","11111","wi22sona","2218","32487","sona","asynch","TRUE","Look at x-axis. Find 12 pm. If any points lie above this mark, they start at 12 pm.","I tried my best on most questions",4,4,1,"Not sure.",20,"Unites States of America","English","Third","Social Sciences (incl. CogSci)","Male","No.","chrome",1440,702,"Mac OS","2022-03-09T01:27:18.031Z","success","winter22",1,0,-9.16666666666667,0,11,2,2,12.4634
"CY2RD","SGC4A","11111","wi22sona","2217","43339","sona","asynch","FALSE","TO determine what events start at 12pm we have to check the graph","I tried my best on each question",3,2,2,"",19,"United States","X-Other","Second","Social Sciences (incl. CogSci)","Male","No","chrome",1920,1080,"Mac OS","2022-03-09T20:54:03.798Z","success","winter22",1,1,-2.66666666666667,1,3,6,0,3.03871666666667
"1BOTW","SGC4A","11111","wi22sona","2218","34652","sona","asynch","TRUE","dots that appear on the lines that starting at 12 pm (line tilted towards the right)","I tried my best on each question",2,4,4,"",20,"India","English","Third","Social Sciences (incl. CogSci)","Female","","chrome",1200,754,"Mac OS","2022-03-09T04:12:22.204Z","success","winter22",1,11,11.25,14,0,3,0,6.6602
"ZOPCY","SGC4A","11111","wi22sona","2218","43288","sona","asynch","FALSE","","I started out trying hard, but gave up at some point",2,2,2,"",18,"China","Mandarin","First","Social Sciences (incl. CogSci)","Male","","chrome",1440,732,"Mac OS","2022-03-09T04:41:55.865Z","success","winter22",1,1,-3.08333333333333,1,4,7,1,2.55856666666667
"806VJ","SGC4A","11111","wi22sona","2218","37844","sona","asynch","TRUE","Look at the X Axis and find 12pm. Then find any events marked directly above that point along the Y axis.","I tried my best on most questions",3,4,1,"Use a better graph that one sucked.",22,"United States","Arabic","Fourth","Social Sciences (incl. CogSci)","Male","No","chrome",1536,722,"Windows 10","2022-03-09T03:53:08.756Z","success","winter22",1,0,-11.1666666666667,0,14,2,0,11.0501833333333
"PPXWX","SGC4A","11111","wi22sona","2218","37732","sona","asynch","TRUE","If an event starts at 12pm, the dot should be aligned with ""12PM"" on the x axis.","I tried my best on each question",4,2,3,"I had a hard time figuring out how to read the graph.",19,"Taiwan","English","Second","Social Sciences (incl. CogSci)","Other-Not Listed","No.","chrome",1440,711,"Mac OS","2022-03-07T01:07:44.735Z","success","winter22",1,3,-3.08333333333333,3,8,1,2,14.3352
"TGWWW","SGC4A","11111","wi22sona","2218","43321","sona","asynch","TRUE","If the dot is at 12pm that is the start of there shift. If you count forward the amount of hours and you land on twelve that is the end of the shift.","I tried my best on most questions",4,4,3,"It definitely just seemed like a time waste. I started to kind of have fun with it, hoping to see my score of how I did at the end. I still hope I see how well I did. ",19,"United States","Spanish","Second","Biomedical & Health Sciences","Male","Not that I know of.","chrome",2560,1329,"Windows 10","2022-03-09T05:30:16.270Z","success","winter22",3,0,-12,0,15,0,0,11.3716
"EM6DD","SGC4A","11111","wi22sona","2218","39555","sona","asynch","TRUE","Any shift on the line moving in the y=2x direction starting at y=0 x=12 PM starts at 12 PM.","I tried my best on each question",3,4,5,"",20,"United States of America","English","Third","Biomedical & Health Sciences","Male","","chrome",1680,971,"Mac OS","2022-03-09T03:49:21.970Z","success","winter22",1,8,7.5,12,1,5,0,28.4875
"VRLZ5","SGC4A","11111","wi22sona","2218","43304","sona","asynch","TRUE","The bottom axis tells you when it starts","I tried my best on each question",4,4,2,"",18,"United States","English","First","Social Sciences (incl. CogSci)","Male","","chrome",1792,1009,"Mac OS","2022-03-09T02:49:22.964Z","success","winter22",1,1,-7,1,10,5,0,7.42508333333333
"DGZD7","SGC4A","11111","wi22sona","2218","36541","sona","asynch","TRUE","the dots on top of the 12PM","I tried my best on each question",3,4,3,"",21,"USA","English","Fourth","Biomedical & Health Sciences","Female","","chrome",1280,721,"Mac OS","2022-03-07T00:01:58.319Z","success","winter22",1,0,-11.0833333333333,0,14,1,0,5.66055
"UZCD8","SGC4A","11111","wi22sona","2218","43253","sona","asynch","TRUE","dots with X coordinate at 12 pm ","I tried my best on most questions",5,1,2,"More detailed instructions on how to read the graph. ",18,"United States","English","First","Social Sciences (incl. CogSci)","Female","No","chrome",1480,802,"Mac OS","2022-03-07T02:58:14.695Z","success","winter22",1,1,-4.91666666666667,2,8,4,0,9.3656
"O06WG","SGC4A","11111","wi22sona","2218","27651","sona","asynch","TRUE","Go toward where 12pm is on the x axis and scan throughout the graph for any black dots above it","I started out trying hard, but gave up at some point",2,3,2,"",22,"US","X-Other","Fourth","Social Sciences (incl. CogSci)","Male","","chrome",1920,937,"Windows 10","2022-03-09T00:19:52.521Z","success","winter22",4.5,0,-12.0833333333333,0,15,1,0,14.09935
"71YSR","SGC4A","11111","wi22sona","2218","34506","sona","asynch","TRUE","Which dots align with 12pm on the x axis","I tried my best on each question",3,4,3,"I got better as reading the graph as time went on",21,"United States","English","Third","Social Sciences (incl. CogSci)","Female","No","chrome",1440,764,"Mac OS","2022-03-09T01:45:41.238Z","success","winter22",1,0,-11.5,0,14,0,0,13.2338833333333
"0FHV9","SGC4A","11111","wi22sona","2217","28146","sona","asynch","TRUE","You look at the x axis to determine which events start at 12pm. ","I tried my best on each question",1,5,5,"",22,"United States","Spanish","Fourth","Social Sciences (incl. CogSci)","Female","None.","chrome",1440,821,"Mac OS","2022-03-09T20:39:40.227Z","success","winter22",2,0,-11.5833333333333,0,14,1,0,11.9577833333333
"0EJVN","SGC4A","11111","wi22sona","2218","32656","sona","asynch","TRUE","The events that start at 12pm are B and F. I know this because at the 12pm marker on the x-axis, moving direct up you can see that F and B are above it.","I tried my best on each question",3,5,4,"",21,"United States","English","Third","Social Sciences (incl. CogSci)","Female","No","chrome",1536,713,"Windows 10","2022-03-09T01:53:20.970Z","success","winter22",1,0,-12,0,15,0,0,9.61463333333333
"LAZNE","SGC4A","11111","wi22sona","2218","43320","sona","asynch","TRUE","I looked at 12pm on the x-axis and looked for the letters going up the y-axis.","I tried my best on each question",3,2,3,"N/A",18,"America","Spanish","First","Social Sciences (incl. CogSci)","Female","No","chrome",1440,821,"Mac OS","2022-03-09T04:01:47.674Z","success","winter22",1,0,-9.83333333333333,0,12,4,0,17.3889333333333
"8E5QQ","SGC4A","11111","wi22sona","2218","40540","sona","asynch","TRUE","You look at the x-axis
","I tried my best on each question",3,3,3,"",19,"United States","Spanish","First","Social Sciences (incl. CogSci)","Female","","chrome",1536,714,"Windows 10","2022-03-07T06:08:17.276Z","success","winter22",1,1,-6.16666666666667,1,8,11,0,7.15086666666667
"8XDQ2","SGC4A","11111","wi22sona","2218","38589","sona","asynch","TRUE","you look at the x axis at 12pm and see if there is a shift that starts then
","I started out trying hard, but gave up at some point",3,3,2,"",20,"USA","English","Third","Social Sciences (incl. CogSci)","Female","no","chrome",1510,746,"Mac OS","2022-03-06T20:41:14.126Z","success","winter22",1,0,-8.25,2,10,3,0,5.62093333333333
"BF9X8","SGC4A","11111","wi22sona","2218","43071","sona","asynch","TRUE","YOu look on the x-axis to see which start at 12","I tried my best on each question",3,3,3,"N/A
",18,"United States","Spanish","First","Social Sciences (incl. CogSci)","Female","N/A","chrome",1440,732,"Mac OS","2022-03-09T01:23:11.795Z","success","winter22",1,0,-11,0,14,0,1,7.42726666666667
"OUHCM","SGC4A","11111","wi22sona","2218","38849","sona","asynch","TRUE","12pm would be the origin of the line then trace the line","I tried my best on most questions",3,3,4,"",21,"China","Mandarin","Fourth","Biomedical & Health Sciences","Female","N/A","chrome",1440,695,"Mac OS","2022-03-07T06:29:04.421Z","success","winter22",1,8,7.33333333333333,11,1,2,0,6.29243333333333
"BCLXE","SGC4A","11111","wi22sona","2218","37604","sona","asynch","TRUE","I drew vertical line in mind that goes straight up from 12pm and see which points lie down on the vertical line.","I tried my best on each question",2,4,4,"",24,"Korea","Korean","Fourth","Social Sciences (incl. CogSci)","Male","no","chrome",1600,821,"Mac OS","2022-03-06T21:21:37.080Z","success","winter22",1,1,-9.08333333333333,1,13,0,0,8.83571666666667
"KMT0C","SGC4A","11111","wi22sona","2218","35387","sona","asynch","TRUE","Look at the X-axis, find the 12 PM dot, and look it up find dot B and F","I tried my best on each question",2,4,5,"",23,"China","Mandarin","Fourth","Humanities","Female","","chrome",1288,748,"Mac OS","2022-03-09T04:59:12.916Z","success","winter22",4.5,1,-8.66666666666667,1,12,2,0,12.29375
"CW083","SGC4A","11111","wi22sona","2218","34903","sona","asynch","TRUE","Follow the line going northeast originating from 12 PM on the x-axis. Events along that line start at 12 PM. ","I tried my best on each question",3,5,4,"",21,"United States","English","Third","Engineering","Male","","chrome",1706,889,"Windows 10","2022-03-08T22:41:54.617Z","success","winter22",1,12,12,15,0,0,0,5.96985
"1UNBR","SGC4A","11111","wi22sona","2218","42799","sona","asynch","TRUE","Find 12pm on the x-axis and then look at the line that goes diagonally right to find which dot(s) land on it. M and L both start their shift at 12pm.","I tried my best on each question",3,3,5,"",18,"United States","English","First","Social Sciences (incl. CogSci)","Female","","chrome",1920,969,"Windows 10","2022-03-09T02:42:31.235Z","success","winter22",3,10,8,13,2,0,0,11.2121
"1KSWF","SGC4A","11111","wi22sona","2218","43132","sona","asynch","FALSE","","I tried my best on each question",5,3,2,"",19,"United States","Spanish","First","Biomedical & Health Sciences","Female","no","chrome",1178,680,"Mac OS","2022-03-07T03:05:44.132Z","success","winter22",1,0,0,0,0,0,12,1.12558333333333
"C2WBE","SGC4A","11111","wi22sona","2217","34306","sona","asynch","TRUE","F,B","I started out trying hard, but gave up at some point",3,2,3,"",21,"United States","English","Third","Engineering","Female","Visual Problems lately","chrome",1440,821,"Mac OS","2022-03-09T20:46:11.816Z","success","winter22",1,1,-9.08333333333333,1,12,1,0,9.79151666666667
"5HHA7","SGC4A","11111","wi22sona","2218","41862","sona","asynch","TRUE","When the points are on the 12pm mark","I tried my best on each question",2,4,3,"",20,"Hong Kong","Cantonese","Third","Social Sciences (incl. CogSci)","Male","","chrome",1212,739,"Mac OS","2022-03-08T22:31:32.181Z","success","winter22",1,0,-11.5,0,14,6,1,9.14826666666667
"L53BW","SGC4A","11111","wi22sona","2218","29284","sona","asynch","TRUE","Look at which letter has the x value of 12pm","I tried my best on each question",3,3,3,"A calculator would be useful",21,"United States","English","Fourth","Humanities","Male","No","chrome",1440,821,"Mac OS","2022-03-07T01:22:58.472Z","success","winter22",1,0,-10.5,0,13,0,1,10.2133
"P3PUB","SGC4A","11111","wi22sona","2217","40250","sona","asynch","TRUE","Find 12 pm on the X-axis and find the dots on the 12pm line. ","I tried my best on each question",4,2,3,"It was hard to tell where the two dots are plotted because of a diamond shaped lines. ",23,"Korea","Korean","Third","Social Sciences (incl. CogSci)","Female","","chrome",1536,746,"Windows 10","2022-03-09T21:16:20.022Z","success","winter22",1,0,-9.58333333333333,1,12,1,0,12.5158833333333
"PO2LR","SGC4A","11111","wi22sona","2218","34305","sona","asynch","TRUE","I go on the x-axis and look at the time 12 pm ","I tried my best on most questions",2,2,5,"i was a bit distracted ",20,"United States","English","Third","Social Sciences (incl. CogSci)","Female","","chrome",1440,821,"Mac OS","2022-03-08T21:54:40.490Z","success","winter22",1,0,-9.58333333333333,0,12,1,2,18.86475
"Y96DE","SGC4A","11111","wi22sona","2218","39008","sona","asynch","TRUE","look across the x-axis, stop at 12 pm and go up
any points that you come across indicate a start at 12 pm","I tried my best on most questions",4,3,2,"",19,"United States","French","Second","Social Sciences (incl. CogSci)","Female","","chrome",1440,735,"Mac OS","2022-03-09T01:14:32.877Z","success","winter22",1,0,-11.1666666666667,0,14,2,0,17.0935666666667
"P7GD8","SGC4A","11111","wi22sona","2218","33553","sona","asynch","TRUE","look at x-axis for 12pm, then scan for events along that vertical ","I tried my best on each question",3,3,2,"",21,"United States","English","Fourth","Natural Sciences","Male","","chrome",1920,937,"Windows 10","2022-03-09T01:57:23.684Z","success","winter22",3,0,-12,0,15,0,0,30.1378833333333
"XNGBZ","SGC4A","11111","wi22sona","2218","43296","sona","asynch","TRUE","I would check the x axis for the 12pm start time and go up the graph to see what shifts start at that time. ","I tried my best on most questions",4,3,2,"",21,"United States","English","Third","Biomedical & Health Sciences","Female","","chrome",1440,731,"Mac OS","2022-03-09T06:58:26.917Z","success","winter22",1,0,-10.0833333333333,0,13,1,1,9.56635
"3B0R3","SGC4A","11111","wi22sona","2218","41761","sona","asynch","TRUE","Look for 12pm on the x-axis then look along the y-axis to see which points intersect.","I tried my best on most questions",2,4,3,"checklist in alphabetical order would make more sense for selecting!",21,"United States","English","Third","Social Sciences (incl. CogSci)","Male","Nope
","chrome",1920,937,"Windows 10","2022-03-06T06:34:38.220Z","success","winter22",2,0,-11.0833333333333,0,14,1,0,8.19591666666667
"GM5W6","SGC4A","11111","wi22sona","2218","37808","sona","asynch","TRUE","look at 12 on x axis","I tried my best on each question",3,3,5,"",22,"usa","English","Fourth","Social Sciences (incl. CogSci)","Female","","chrome",1384,751,"Mac OS","2022-03-08T22:02:16.811Z","success","winter22",1,0,-10.6666666666667,0,13,2,0,6.84908333333333
"NGK82","SGC4A","11111","wi22sona","2218","39754","sona","asynch","TRUE","Start at 12pm and move up along the diagonal line to the right to see which shifts start at 12pm.","I tried my best on each question",1,5,5,"",19,"United States","Spanish","Second","Humanities","Male","no","chrome",1464,868,"Windows 10","2022-03-09T01:43:51.097Z","success","winter22",1,11,11.9166666666667,15,0,1,0,15.4775166666667
"7CVJA","SGC4A","11111","wi22sona","2218","38087","sona","asynch","TRUE","look at the 12pm line","I tried my best on each question",3,4,4,"",19,"Brazil","X-Other","Second","Humanities","Female","","chrome",2048,1073,"Mac OS","2022-03-09T03:35:19.630Z","success","winter22",1,0,-9.58333333333333,1,12,1,0,16.5752333333333
"500S4","SGC4A","11111","wi22sona","2218","39883","sona","asynch","TRUE","Look at the x axis for 12 and see what dots are on that marker.","I started out trying hard, but gave up at some point",5,1,2,"",19,"United States","X-Other","Second","Social Sciences (incl. CogSci)","Female","","chrome",1536,714,"Windows 10","2022-03-08T17:41:54.506Z","success","winter22",25.5,1,-5.58333333333333,2,8,5,0,37.3206166666667
"WC1SR","SGC4A","11111","wi22sona","2217","37781","sona","asynch","TRUE","check x axis","I started out trying hard, but gave up at some point",2,2,3,"",19,"USA","Spanish","Second","Social Sciences (incl. CogSci)","Female","","chrome",1772,892,"Mac OS","2022-03-09T21:57:45.533Z","success","winter22",1,1,-6.25,1,9,2,1,5.78961666666667
"Z2ZUW","SGC4A","11111","wi22sona","2218","37574","sona","asynch","TRUE","M,L. ","I tried my best on each question",5,1,5,"none",20,"China","Mandarin","Second","Social Sciences (incl. CogSci)","Female","none","chrome",1200,686,"Mac OS","2022-03-09T04:44:18.170Z","success","winter22",1,2,-6.16666666666667,3,10,1,0,10.7117166666667
"LD7EK","SGC4A","11111","wi22sona","2218","37388","sona","asynch","TRUE","Find 12pm on the x-axis and proceed to go up on the y-axis until you see a dot.
","I tried my best on most questions",3,3,2,"",21,"United States","English","Third","Social Sciences (incl. CogSci)","Male","No","chrome",1280,721,"Mac OS","2022-03-06T22:12:49.025Z","success","winter22",1,0,-12,0,15,0,0,12.28355
