"subject","study","condition","session","exp_id","sona_id","pool","mode","attn_check","explanation","effort","difficulty","confidence","enjoyment","other","age","country","language","schoolyear","major","gender","disability","browser","width","height","os","starttime","status","term","violations","absolute_score","discriminant_score","tri_score","orth_score","other_score","blank_score","totaltime_m"
"ANTK9","SGC4A","114","wi22sona","2218","41564","sona","asynch","TRUE","Look at the bottom and see the time listed.","I tried my best on each question",3,3,4,"",19,"USA","English","Third","Social Sciences (incl. CogSci)","Female","No","chrome",1439,719,"Mac OS","2022-03-01T03:29:15.220Z","success","winter22",1,1,-3.91666666666667,2,6,5,1,4.3218
"2PQSA","SGC4A","113","wi22sona","2217","42733","sona","asynch","TRUE","look for the dots on the liner that starts at 12pm and going up to the right","I tried my best on each question",3,4,2,"",18,"United States","English","First","Natural Sciences","Male","","chrome",1920,961,"Windows 10","2022-03-09T07:33:17.575Z","success","winter22",3,11,11.9166666666667,15,0,1,0,8.4372
"6JR8O","SGC4A","115","wi22sona","2217","29158","sona","asynch","TRUE","Using the diagonal lines: using the right slanted line I infer that M and L start their work shift; while B and F are taking their coffee break, indicated by the break in the halfway point lines. ","I tried my best on each question",2,4,5,"",22,"United States","English","Fourth","Social Sciences (incl. CogSci)","Female","N/A","chrome",1419,705,"Mac OS","2022-03-09T19:58:47.025Z","success","winter22",1,9,8.75,12,1,3,0,11.8231166666667
"5R6NL","SGC4A","114","wi22sona","2218","40443","sona","asynch","TRUE","the dots that are above 12pm ","I tried my best on each question",3,4,5,"",22,"US","English","Fifth","Social Sciences (incl. CogSci)","Female","","chrome",1200,686,"Mac OS","2022-02-28T17:40:52.463Z","success","winter22",2,6,0,7,8,0,0,10.6977833333333
"HQDQA","SGC4A","115","wi22sona","2218","34544","sona","asynch","TRUE","At 12pm B and F start their shifts","I tried my best on each question",3,4,5,"I think that knowing what part of the task we found hardest/easiest would show how we felt about this study.",20,"United States of America","English","Third","Social Sciences (incl. CogSci)","Female","No","chrome",1536,754,"Windows 10","2022-03-03T07:12:39.587Z","success","winter22",1,1,-10,1,14,0,0,21.7207166666667
"CKA0U","SGC4A","113","wi22sona","2218","40661","sona","asynch","TRUE","Find 12pm at bottom of pyramid, then any letters directly above start at 12pm","I tried my best on each question",2,5,3,"",21,"United States","English","Third","Social Sciences (incl. CogSci)","Male","","chrome",1920,979,"Windows 10","2022-03-03T04:15:25.431Z","success","winter22",1,0,-11.1666666666667,0,14,2,0,9.04665
"EZNZE","SGC4A","115","wi22sona","2218","41802","sona","asynch","TRUE","looking at x diagonally","I tried my best on most questions",4,1,2,"",18,"United States","Mandarin","First","Natural Sciences","Female","no","chrome",1600,712,"Windows 10","2022-03-08T00:01:27.277Z","success","winter22",1,7,4.25,10,3,8,0,9.34708333333333
"WYEDM","SGC4A","113","wi22sona","2218","43115","sona","asynch","TRUE","The dots indicate the start times for the factory workers. Where they are placed on the graph are the duration of the shift time that they have.","I tried my best on each question",4,3,5,"I found it very hard to keep focus, my attention span while being stuck in quarantine has been greatly affected. ",21,"United States","French","Third","Fine Arts","Female","no","chrome",1440,843,"Mac OS","2022-03-03T22:15:46.207Z","success","winter22",1,1,-8.58333333333333,1,12,1,0,15.455
"A3KVH","SGC4A","115","wi22sona","2218","27272","sona","asynch","TRUE","Look at 12 pm on x axis and go up from theew","I tried my best on most questions",4,2,2,"",22,"USA","English","Fourth","Social Sciences (incl. CogSci)","Female","","chrome",1438,750,"Mac OS","2022-03-04T02:56:04.267Z","success","winter22",1,0,-5.83333333333333,0,7,10,0,6.63963333333333
"ZE04Q","SGC4A","115","wi22sona","2218","38150","sona","asynch","TRUE","pBy finding points that align with 12 pm on the x-axis. So finding 12 pm on the x-axis and draws a vertical line upward. The points that are on this vertical line start at 12 pm. ","I tried my best on each question",2,4,3,"",19,"Taiwan","Mandarin","Second","Social Sciences (incl. CogSci)","Female","No","chrome",1280,721,"Mac OS","2022-03-04T09:14:55.865Z","success","winter22",1,0,-10.25,0,13,2,0,24.6980833333333
"TJ0BP","SGC4A","114","wi22sona","2218","38196","sona","asynch","TRUE","We look at the 12pm mark and follow it v ertically
","I tried my best on each question",3,3,3,"",22,"USA","Spanish","Fourth","Social Sciences (incl. CogSci)","Female","","chrome",1600,712,"Windows 10","2022-03-03T18:16:38.528Z","success","winter22",1,6,4.25,9,4,2,0,10.67615
"U8NSH","SGC4A","114","wi22sona","2218","31320","sona","asynch","TRUE","find points that are at 12pm on the x-axis (start and end time, time of day)","I tried my best on each question",4,4,4,"I'm not sure when the x-axis says start and end time, does the point mean start or end time of the shift?",20,"China","Mandarin","Third","Humanities","Female","No","chrome",1440,764,"Mac OS","2022-03-08T00:09:12.432Z","success","winter22",1,0,-12,0,15,0,0,13.0167333333333
"AK4Z3","SGC4A","114","wi22sona","2217","37719","sona","asynch","TRUE","check the point in the vertical line of 12 PM","I tried my best on most questions",4,3,2,"",20,"China","Mandarin","Second","Social Sciences (incl. CogSci)","Female","no","chrome",1422,730,"Windows 10","2022-03-09T08:24:57.830Z","success","winter22",3,0,-11.75,0,14,1,0,14.0354833333333
"MC4Z2","SGC4A","115","wi22sona","2218","34549","sona","asynch","TRUE","By looking at the x axis ","I tried my best on each question",4,2,2,"",20,"USA","English","Third","Social Sciences (incl. CogSci)","Female","","chrome",1440,726,"Mac OS","2022-03-04T00:28:54.001Z","success","winter22",1,0,-9.16666666666667,0,11,8,0,9.1734
"2EPNM","SGC4A","115","wi22sona","2218","36556","sona","asynch","TRUE","Find 12 on the x-axis then go up the y-axis to see which points intersect ","I tried my best on most questions",2,3,3,"",21,"USA","English","Fourth","Social Sciences (incl. CogSci)","Female","","chrome",1440,755,"Mac OS","2022-03-08T04:28:37.548Z","success","winter22",1,1,-8.25,1,12,3,0,8.75601666666667
"KD07H","SGC4A","115","wi22sona","2218","40085","sona","asynch","TRUE","Go on the x-axis to find 12pm and travel up the y-axis to find the plots at that time (B & F)  ","I tried my best on each question",4,3,5,"I knew I had messed up on the first part when the questions were worded differently in the first part ",18,"United States","Spanish","First","Social Sciences (incl. CogSci)","Female","","chrome",1440,789,"Mac OS","2022-03-02T07:52:19.106Z","success","winter22",3,1,-8.16666666666667,1,12,1,0,18.37105
"WL6L1","SGC4A","114","wi22sona","2218","42245","sona","asynch","TRUE","on the x-axis it tell us the time when the shifts start and anything on the vertical line of that will be starting their shifts at the same time.","I tried my best on each question",4,4,5,"",22,"United States","X-Other","Third","Biomedical & Health Sciences","Female","no","chrome",1280,689,"Mac OS","2022-03-05T02:40:41.893Z","success","winter22",1,0,-10.5833333333333,0,13,1,0,18.5728833333333
"5012K","SGC4A","113","wi22sona","2218","42652","sona","asynch","TRUE","Events that start at 12pm have an x-coordinate of 12pm, regardless of the y-coordinate on the graph. So, once you have located 12pm on the x-axis, any shift directly above it starts then.","I tried my best on most questions",4,2,4,"",18,"United States","English","First","Social Sciences (incl. CogSci)","Female","No.","chrome",1440,789,"Mac OS","2022-02-28T23:38:25.207Z","success","winter22",1,0,-10.5833333333333,0,13,1,0,11.05535
"U2F64","SGC4A","113","wi22sona","2218","40802","sona","asynch","TRUE","Both F and B will begin their respective shifts ","I tried my best on each question",3,4,3,"",20,"United States","English","Third","Social Sciences (incl. CogSci)","Male","","chrome",1440,702,"Mac OS","2022-03-02T23:57:27.626Z","success","winter22",1,0,-10.5833333333333,0,13,1,0,13.0013833333333
"PN87Q","SGC4A","115","wi22sona","2218","35952","sona","asynch","TRUE","the line on 12pm that shoots out to the right","I tried my best on most questions",2,4,3,"",19,"China","Mandarin","Second","Social Sciences (incl. CogSci)","Male","","chrome",1420,745,"Mac OS","2022-03-01T22:50:31.883Z","success","winter22",1,12,12,15,0,0,0,9.1088
"6G4E2","SGC4A","114","wi22sona","2218","42525","sona","asynch","TRUE","BY checking who is working and where are they working at.","I tried my best on most questions",4,3,3,"What made it most difficult is the amount of distraction in the graph. But overall, i think it was good. ",18,"United States of America","English","First","Biomedical & Health Sciences","Female","none","chrome",1200,752,"Mac OS","2022-03-03T04:36:03.324Z","success","winter22",1,2,-6.75,2,10,3,0,9.61531666666667
"702QC","SGC4A","113","wi22sona","2218","36463","sona","asynch","TRUE","look to the start of day at the bottom and trace up","I tried my best on most questions",2,3,2,"",21,"US","English","Fourth","Social Sciences (incl. CogSci)","Male","","chrome",1440,764,"Mac OS","2022-03-01T21:52:46.146Z","success","winter22",1,2,-2.58333333333333,3,6,4,2,4.06988333333333
"HFQY1","SGC4A","114","wi22sona","2218","43230","sona","asynch","TRUE","Follow the right diagonal line at the 12 PM x-coordinate and see which points fall on that line (M and L).","I tried my best on each question",2,4,5,"",18,"United States","English","First","Social Sciences (incl. CogSci)","Female","","chrome",1536,721,"Windows 10","2022-03-08T00:07:14.360Z","success","winter22",1,12,12,15,0,0,0,7.55333333333333
"JJ8JL","SGC4A","113","wi22sona","2218","39409","sona","asynch","TRUE","go to 12 on the start and end axis and follow the line going up and to the right. any of the points on that line start at 12","I tried my best on each question",2,4,5,"",20,"United States","English","Second","Social Sciences (incl. CogSci)","Female","","chrome",1440,705,"Mac OS","2022-03-01T02:20:02.871Z","success","winter22",2,10,11.4166666666667,14,0,0,0,10.1815666666667
"BA0WS","SGC4A","115","wi22sona","2218","34405","sona","asynch","TRUE","Look at bottom (12PM) then look up","I tried my best on each question",4,2,3,"",22,"United States","English","Fourth","Math or Computer Sciences","Male","no","chrome",2048,1010,"Windows 10","2022-03-03T01:59:27.195Z","success","winter22",1.5,3,-5.58333333333333,3,11,1,0,7.12721666666667
"RT8OF","SGC4A","113","wi22sona","2218","41486","sona","asynch","TRUE","Look up from 12pm on the bottom axis
","I tried my best on each question",5,2,1,"",20,"USA","English","Third","Social Sciences (incl. CogSci)","Male","","chrome",1920,937,"Windows 10","2022-03-03T21:14:50.295Z","success","winter22",1,1,-7.91666666666667,1,11,5,0,6.89321666666667
"1S6DV","SGC4A","113","wi22sona","2218","36532","sona","asynch","TRUE","By looking at the x (horizontal) axis and see which dots are aligned with the 12 p.m point on said axis","I tried my best on each question",3,3,3,"",19,"United States","English","Second","Social Sciences (incl. CogSci)","Male","","chrome",1366,768,"Windows 10","2022-03-01T21:51:28.230Z","success","winter22",1,0,-10.1666666666667,0,13,1,1,13.9875666666667
"L627C","SGC4A","115","wi22sona","2218","42861","sona","asynch","TRUE","I first look at for the beginning time (12:00 pm) on the x-axis and then see which events are placed to begin along that x value","I tried my best on most questions",2,3,4,"I feel that I didn't realize certain mistakes I made until a bit later in the survey because I may have misinterpreted the y-axis in reference to the x-axis ",18,"United States","English","First","Social Sciences (incl. CogSci)","Female","no","chrome",1440,696,"Mac OS","2022-02-27T21:23:47.886Z","success","winter22",1,0,-11.1666666666667,0,14,2,0,16.742
"PKTN1","SGC4A","113","wi22sona","2217","36190","sona","asynch","TRUE","You look down at the x axis to find 12 pm. Any dots vertically above this time, start at this time.","I tried my best on most questions",4,3,4,"Start times were extremely easy. But when it came to half breaks, I was having difficulty with all the different points on the graph.",19,"United States","English","Fourth","Social Sciences (incl. CogSci)","Female","No","chrome",1440,730,"Mac OS","2022-03-09T08:03:06.117Z","success","winter22",1,0,-12,0,15,0,0,11.1346
"AOTXC","SGC4A","113","wi22sona","2218","28005","sona","asynch","TRUE","The line that falls in 12pm","I tried my best on most questions",4,3,3,"",21,"USA","English","Fourth","Social Sciences (incl. CogSci)","Other-Not Listed","","chrome",1920,969,"Windows 10","2022-03-04T20:40:16.240Z","success","winter22",1.5,8,7.25,10,1,2,0,6.74275
"075KR","SGC4A","115","wi22sona","2218","41279","sona","asynch","TRUE","B,F","I tried my best on each question",3,4,3,"",21,"China","Mandarin","Third","Social Sciences (incl. CogSci)","Male","","chrome",1920,937,"Windows 10","2022-03-08T04:05:55.649Z","success","winter22",1,1,-3.25,4,6,14,1,5.97968333333333
"U951F","SGC4A","115","wi22sona","2218","41796","sona","asynch","TRUE","Look at the shifts that are at 12 PM on the x axis","I tried my best on most questions",3,3,3,"",18,"USA","English","First","Social Sciences (incl. CogSci)","Male","","chrome",1920,969,"Mac OS","2022-03-08T07:05:54.068Z","success","winter22",1,1,-1.5,3,3,10,0,4.41385
"PQ57O","SGC4A","115","wi22sona","2218","43139","sona","asynch","TRUE","looking at the x axis for the time and going looking at the dots vertically that line up with 12 pm","I tried my best on most questions",2,3,4,"how we did",21,"United States","English","Third","Biomedical & Health Sciences","Female","no","chrome",1337,690,"Mac OS","2022-03-01T04:04:28.720Z","success","winter22",1,0,-9.41666666666667,0,11,4,0,14.3473333333333
"ZD2Q8","SGC4A","115","wi22sona","2217","42542","sona","asynch","TRUE","See availability for 12pm first. ","I tried my best on most questions",2,3,5,"Was the graph supposed to confuse us on the time?",23,"United States","English","Fourth","Social Sciences (incl. CogSci)","Female","no","chrome",1440,789,"Mac OS","2022-03-09T19:18:50.609Z","success","winter22",1,0,-10.0833333333333,0,13,1,1,14.2302
"N3APK","SGC4A","113","wi22sona","2218","41308","sona","asynch","TRUE","locate 12pm on x axis and find shift on graph ","I tried my best on each question",4,3,4,"",21,"USA","X-Other","Third","Social Sciences (incl. CogSci)","Female","no","chrome",1440,821,"Mac OS","2022-03-05T23:04:02.479Z","success","winter22",2,1,-8.16666666666667,1,11,2,0,11.5583833333333
"5O1D5","SGC4A","114","wi22sona","2218","42045","sona","asynch","TRUE","You look at the x axis and see where the points lie based on the times on the axis. ","I tried my best on most questions",4,3,2,"",18,"Los Angeles","English","First","Natural Sciences","Female","no","chrome",1440,764,"Mac OS","2022-03-02T02:36:07.236Z","success","winter22",1,1,-8.16666666666667,1,12,1,0,13.20765
"Q77EC","SGC4A","113","wi22sona","2218","39331","sona","asynch","TRUE","Starting from the bottom of the graph, find 12pm and looking vertically up you can find if there are any dots there and if there are then that means the event starts at 12pm.","I tried my best on each question",3,3,4,"The fact that the bottom said start and end time was confusing. ",20,"United States","Spanish","Third","Social Sciences (incl. CogSci)","Female","No","chrome",1280,800,"Mac OS","2022-03-03T02:34:28.994Z","success","winter22",1,0,-8.25,0,10,2,2,11.29625
"O1ULC","SGC4A","114","wi22sona","2218","42962","sona","asynch","TRUE","look at the x-axis line and find 12 pm then move diagonally to the right line and see which letters are on that line","I tried my best on each question",2,5,4,"Nothing much",21,"United States","Spanish","Third","Social Sciences (incl. CogSci)","Male","No","chrome",1440,821,"Mac OS","2022-03-07T20:29:11.267Z","success","winter22",2,11,11.9166666666667,15,0,0,0,20.0371
"Y7K66","SGC4A","114","wi22sona","2217","43046","sona","asynch","TRUE","look up the vertical axis at 12 pm on the x axis
","I tried my best on each question",3,3,3,"I was trying to find patterns and noticed unexpected ones and also hoped for ones that turned out not to be there
",18,"Canada","English","First","Engineering","Male","N/A","chrome",1920,1064,"Mac OS","2022-03-09T10:10:21.953Z","success","winter22",1.5,0,-12,0,15,0,0,11.7609666666667
"XS4C2","SGC4A","114","wi22sona","2218","41485","sona","asynch","TRUE","observe the pyramid
","I tried my best on each question",5,2,2,"easier visualization as well as better decision making my the participants",22,"United States","English","Fifth","Biomedical & Health Sciences","Male","no","chrome",2554,1320,"Windows 10","2022-03-08T01:53:32.401Z","success","winter22",1,1,-1.25,7,5,36,0,2.82138333333333
"1NXAS","SGC4A","115","wi22sona","2217","42796","sona","asynch","TRUE","Look at the time at the bottom and see what shifts (letters) align","I tried my best on most questions",3,3,3,"N/A",19,"United States","Spanish","First","Biomedical & Health Sciences","Female","Suffer ADD.","chrome",1200,698,"Mac OS","2022-03-09T07:29:59.205Z","success","winter22",1,0,-8.33333333333333,0,10,4,0,9.50533333333333
"WVWN4","SGC4A","113","wi22sona","2218","34750","sona","asynch","TRUE","you look for 12 PM on the x-axis and move up that line. when going up, you see that the data point for both B and F land on the line for shifts that start at 12 PM","I tried my best on each question",4,4,1,"",20,"United States","English","Third","Social Sciences (incl. CogSci)","Female","","chrome",1920,896,"Windows 10","2022-03-01T20:14:18.749Z","success","winter22",1,0,-12,0,15,0,0,9.95525
"TSTSC","SGC4A","114","wi22sona","2218","36574","sona","asynch","TRUE","following the diagonal line that starts at 12 and goes upward - the events that start at 12 are dots that fall on that line ","I tried my best on each question",3,2,5,"",19,"United States","English","Second","Social Sciences (incl. CogSci)","Female","","chrome",1311,766,"Mac OS","2022-03-04T19:14:45.680Z","success","winter22",1,5,-2,7,8,0,0,20.4128833333333
"7FMA3","SGC4A","115","wi22sona","2217","39597","sona","asynch","TRUE","locate 12 pm on the axis and follow along up the y axis to find the coordinates
","I tried my best on most questions",4,4,4,"n/a",19,"Taiwan","Mandarin","Second","Social Sciences (incl. CogSci)","Other-Not Listed","n/a","chrome",1440,769,"Mac OS","2022-03-09T07:23:54.982Z","success","winter22",1,1,-1.75,1,3,7,1,4.86015
"CO93T","SGC4A","114","wi22sona","2218","38810","sona","asynch","TRUE","Which events are horizontally aligned with 12pm's position on the x-axis","I tried my best on each question",4,4,3,"",21,"United States","English","Fourth","Biomedical & Health Sciences","Female","","chrome",1536,754,"Windows 10","2022-02-27T19:49:42.613Z","success","winter22",1,0,-12,0,15,0,0,14.9226333333333
"Y6HX2","SGC4A","114","wi22sona","2217","43335","sona","asynch","TRUE","Look at the points that align at with 12PM on the x-axis.","I tried my best on most questions",2,2,2,"n/a",20,"United States","English","Third","Biomedical & Health Sciences","Female","n/a","chrome",1436,764,"Mac OS","2022-03-09T18:39:50.072Z","success","winter22",1,0,-12,0,15,0,0,23.8717166666667
"HUXZ9","SGC4A","114","wi22sona","2218","34331","sona","asynch","TRUE","To determine the events that start at 12pm, you look along the X-axis (Start and End time) till you see 12pm then go up and if there's a dot that means there is an event during that time.","I tried my best on each question",3,3,4,"",20,"United States","English","Third","Social Sciences (incl. CogSci)","Female","","chrome",1680,863,"Mac OS","2022-03-02T23:31:12.773Z","success","winter22",2,1,-9.16666666666667,1,13,2,0,17.3679666666667
"4VG00","SGC4A","115","wi22sona","2218","41846","sona","asynch","TRUE","look at the y-axis of the graph
","I tried my best on most questions",4,3,2,"",21,"United States","English","Third","Social Sciences (incl. CogSci)","Male","","chrome",1536,722,"Windows 10","2022-03-01T21:15:17.485Z","success","winter22",1,1,-5.83333333333333,1,9,4,1,8.42605
"EMDA3","SGC4A","113","wi22sona","2218","41309","sona","asynch","TRUE","because the graph is based on diagonals, you go to the 12pm mark on the x-axis and then travel up and right on the diagonal from that point until you reach a point.","I tried my best on most questions",4,3,3,"",18,"United States","English","First","Biomedical & Health Sciences","Female","","chrome",1440,789,"Mac OS","2022-03-01T10:33:21.724Z","success","winter22",1,6,3.08333333333333,8,3,5,0,12.8286666666667
"UWK3M","SGC4A","114","wi22sona","2218","41520","sona","asynch","TRUE","Follow 12pm from the X axis up and see which letters correspond","I tried my best on most questions",4,3,3,"",18,"USA","English","First","Humanities","Female","","chrome",1368,769,"Windows 10","2022-03-04T20:11:15.265Z","success","winter22",1,0,-7.25,1,10,3,1,10.78985
"UJUMO","SGC4A","114","wi22sona","2218","43225","sona","asynch","TRUE","Find 12pm, look at the diagonal line that goes from 12pm to the right-top. Any point on this line starts at 12pm.","I tried my best on each question",2,5,5,"I have done similar questions in my high school that asked us to read a triangle graph to find the value for each point. Those graphs were way harder to read and have three axes on the left-top, right-top, and bottom.",21,"China","Mandarin","Third","Social Sciences (incl. CogSci)","Male","No","chrome",2560,1297,"Windows 10","2022-03-05T00:04:10.187Z","success","winter22",3,12,12,15,0,0,0,18.4838
"VRF74","SGC4A","115","wi22sona","2217","41282","sona","asynch","TRUE","F and B shifts start at 12 pm, by following the time axis going all the way up and see its intersections with any shift","I tried my best on each question",3,3,3,"took me half way to figure out how to read the graph",34,"Middleastern","X-Other","Fourth","Humanities","Male","no","chrome",1536,754,"Windows 10","2022-03-09T11:09:40.268Z","success","winter22",1,0,-10.3333333333333,0,13,4,1,16.4075666666667
"1QH5E","SGC4A","115","wi22sona","2218","41435","sona","asynch","TRUE","You look at which letters have a dot point at 12pm. ","I tried my best on each question",2,5,3,"",20,"United States","Spanish","Second","Humanities","Female","No","chrome",1159,726,"Mac OS","2022-03-08T01:42:39.409Z","success","winter22",1,1,-8.66666666666667,2,12,1,0,13.7207
"M5UZ2","SGC4A","114","wi22sona","2218","37189","sona","asynch","TRUE","You go to the start and end time x axis and find 12pm, then follow the little hashmark straight up until you find dots that correspond to the designated time. ","I tried my best on each question",2,4,3,"maybe just clarification on like the x axis title ",20,"United States","English","Second","Social Sciences (incl. CogSci)","Female","","chrome",1440,727,"Mac OS","2022-03-04T22:54:36.652Z","success","winter22",1,0,-9.25,0,12,3,1,24.1404
"8DH5Q","SGC4A","113","wi22sona","2218","31993","sona","asynch","TRUE","Use the bottom of the graph and scale up.","I tried my best on each question",2,3,3,"",22,"U.S.","English","Fourth","Social Sciences (incl. CogSci)","Female","No","chrome",1349,738,"Mac OS","2022-03-04T05:37:02.792Z","success","winter22",1,0,-11.25,0,14,3,0,12.0233833333333
"YQWHV","SGC4A","115","wi22sona","2217","39262","sona","asynch","TRUE","go to 12pm on x axis
","I tried my best on each question",3,4,3,"",19,"United States","Spanish","Second","Social Sciences (incl. CogSci)","Female","","chrome",1175,680,"Mac OS","2022-03-09T20:10:42.287Z","success","winter22",2,0,-9.58333333333333,0,12,1,1,10.7921166666667
"E8SFZ","SGC4A","115","wi22sona","2218","43180","sona","asynch","TRUE","the x axis","I tried my best on each question",4,3,2,"Confusing to read",21,"USA","English","Fourth","Biomedical & Health Sciences","Female","no","chrome",1440,821,"Mac OS","2022-03-02T22:28:39.539Z","success","winter22",1,0,-6.25,0,8,3,4,5.7674
"HYHQ0","SGC4A","114","wi22sona","2218","40781","sona","asynch","TRUE","You look at the X-axis and find the 12 pm mark. Then you go up vertically to see which dots fall on the imaginary line that marks 12 pm. The two that would are F and B. ","I tried my best on each question",3,3,4,"",18,"United States","English","First","Humanities","Female","","chrome",1440,821,"Mac OS","2022-03-04T22:08:23.874Z","success","winter22",3,0,-12,0,15,0,0,20.53435
"DTCXX","SGC4A","115","wi22sona","2218","36929","sona","asynch","TRUE","look at 12pm and look up","I tried my best on most questions",3,4,1,"",20,"US","English","Third","Social Sciences (incl. CogSci)","Male","","chrome",1920,937,"Windows 10","2022-03-08T05:38:42.024Z","success","winter22",1,1,-8.08333333333333,3,12,7,0,8.30223333333333
"NUUUY","SGC4A","113","wi22sona","2217","43189","sona","asynch","TRUE","I followed the lines connected to 12pm till I found points M and L since the line connected to the points was the furthest to the left I assumed that was the start time.","I tried my best on each question",2,4,3,"",21,"United States","Spanish","Third","Humanities","Female","I have ADHD I dont know if it influenced the task though","chrome",2400,1211,"Mac OS","2022-03-09T18:53:47.995Z","success","winter22",1,11,11.9166666666667,15,0,0,0,17.4618
"T1CDA","SGC4A","115","wi22sona","2218","43021","sona","asynch","TRUE","Looking at the Y-Axis in alignment with 12pm on the X-Axis","I tried my best on most questions",3,2,4,"",28,"United States","X-Other","Third","Social Sciences (incl. CogSci)","Male","","chrome",1293,695,"Mac OS","2022-03-08T04:48:08.289Z","success","winter22",2,2,-5.83333333333333,3,9,10,0,14.5380333333333
"DXD82","SGC4A","115","wi22sona","2218","32068","sona","asynch","TRUE","look at 12pm on the x-axis and follow the graph up","I tried my best on most questions",3,3,5,"",21,"United States","English","Fourth","Social Sciences (incl. CogSci)","Female","N/A","chrome",1440,789,"Mac OS","2022-03-03T00:06:25.311Z","success","winter22",1.5,1,-9.08333333333333,1,13,1,0,5.75291666666667
"NTBWZ","SGC4A","113","wi22sona","2218","37945","sona","asynch","TRUE","You look at the bottom of the pyramid, find 12 pm, and then see which dots lay above 12 pm.","I tried my best on each question",2,4,4,"",19,"United States","English","Second","Social Sciences (incl. CogSci)","Female","NA","chrome",1186,737,"Mac OS","2022-03-04T18:41:57.877Z","success","winter22",1,0,-11.1666666666667,0,14,2,0,10.7905666666667
"2QTH0","SGC4A","114","wi22sona","2218","41348","sona","asynch","TRUE","B and F start at 12pm","I tried my best on most questions",3,3,3,"",21,"China","Mandarin","Third","Social Sciences (incl. CogSci)","Female","","chrome",1364,685,"Mac OS","2022-03-08T00:38:54.866Z","success","winter22",2,1,-4.08333333333333,1,6,11,0,4.62723333333333
"35MZ0","SGC4A","115","wi22sona","2218","38437","sona","asynch","TRUE","You follow the x-axis and find the unit marked at 12 PM. Each point on y when x = 12 PM is an event","I tried my best on each question",4,2,2,"The graph was difficult to follow. I am more used to a spreadsheet when getting my shift schedule",21,"United States","English","Fourth","Social Sciences (incl. CogSci)","Female","","chrome",1536,714,"Chrome OS","2022-03-01T02:17:08.567Z","success","winter22",1,0,-10.6666666666667,0,13,2,1,14.1271166666667
"100LQ","SGC4A","113","wi22sona","2218","37937","sona","asynch","TRUE","I look at the 12 pm along the x-axis and then see which dots land along that point vertically.","I tried my best on each question",4,2,2,"",18,"United States","English","Second","Social Sciences (incl. CogSci)","Female","No","chrome",1440,696,"Mac OS","2022-02-28T05:29:32.661Z","success","winter22",1,1,-6.58333333333333,1,10,7,0,13.1387333333333
"SQZ9U","SGC4A","113","wi22sona","2218","36599","sona","asynch","TRUE","Look at an imaginary line that goes directly up from 12.","I tried my best on each question",4,3,3,"Nothing",22,"United States","English","Fourth","Social Sciences (incl. CogSci)","Male","ADHD","chrome",1792,984,"Mac OS","2022-03-07T20:20:05.764Z","success","winter22",1,0,-11.1666666666667,0,14,2,0,9.3448
"8V2SA","SGC4A","113","wi22sona","2218","38839","sona","asynch","TRUE","you look along the line at 12 that goes diagonally up and to the right ","I tried my best on each question",2,4,5,"",19,"US","English","Second","Social Sciences (incl. CogSci)","Female","no","chrome",1440,821,"Mac OS","2022-03-08T03:18:47.781Z","success","winter22",1,10,11.8333333333333,15,0,1,0,8.30923333333333
"MD90A","SGC4A","114","wi22sona","2218","32799","sona","asynch","TRUE","find 12pm on the horizontal axis, then go up until you find the letters on that line, i.e. f and b","I tried my best on each question",5,2,3,"that's the worst way of arranging a schedule ive ever seen lol",20,"United States","English","Third","Social Sciences (incl. CogSci)","Female","no","chrome",1368,769,"Windows 10","2022-02-28T00:11:45.234Z","success","winter22",1,0,-10.75,0,13,3,0,6.4906
"LR36O","SGC4A","115","wi22sona","2218","33957","sona","asynch","TRUE","you look at the x-axis as it is labeled start and end time and look at what points are aligned to 12 pm on the x axis.","I tried my best on each question",2,4,2,"",20,"United States","English","Third","Social Sciences (incl. CogSci)","Female","","chrome",1440,694,"Mac OS","2022-02-28T22:55:49.966Z","success","winter22",1,0,-11.5,0,14,0,0,13.4212166666667
"1NKF3","SGC4A","115","wi22sona","2218","41490","sona","asynch","TRUE","Look at the x-axis of the graph and see which event lies at 12pm","I tried my best on most questions",2,3,2,"",19,"china ","Mandarin","First","Social Sciences (incl. CogSci)","Female","no","chrome",1512,834,"Mac OS","2022-03-06T02:51:33.458Z","success","winter22",1,0,-10.6666666666667,0,13,1,0,12.2764
"QN1M5","SGC4A","115","wi22sona","2218","43186","sona","asynch","TRUE","IMagining a vertical line that passes vertically through the 12pm mark on the horizontal axis","I tried my best on most questions",3,3,4,"",18,"Saudi Arabia","French","First","Biomedical & Health Sciences","Male","N/A","chrome",1435,848,"Mac OS","2022-03-03T05:48:20.973Z","success","winter22",1,0,-10.25,0,13,3,0,14.43195
"NZ5B4","SGC4A","115","wi22sona","2218","42356","sona","asynch","TRUE","","I tried my best on most questions",3,2,2,"I accidentally skipped the last problem, but i meant to say ""i just look at 12pm on the bottom and trace upward"". ",18,"USA","Cantonese","First","Natural Sciences","Female","","chrome",1466,745,"Windows 10","2022-03-02T02:14:07.452Z","success","winter22",2,2,-5.41666666666667,4,9,16,1,6.89841666666667
