"subject","study","condition","pretty_condition","session","exp_id","sona_id","pool","mode","attn_check","explanation","effort","difficulty","confidence","enjoyment","other","age","country","language","schoolyear","major","gender","disability","browser","width","height","os","starttime","status","term","violations","absolute_score","totaltime_m"
"GYGOR","SGC5A","11115","point-click","wi22sona","2217","36823","sona","asynch","FALSE","They start their shift","I tried my best on each question",4,2,5,"N/A",19,"United States","English","Second","Social Sciences (incl. CogSci)","Female","N/A","chrome",1536,754,"Windows 10","2022-03-08T20:52:56.529Z","success","winter22",2,0,9.87671666666667
"WEG15","SGC5A","11115","point-click","wi22sona","2217","37764","sona","asynch","FALSE","Use the x plane of start and end up to see which shifts occur then","I tried my best on each question",4,3,3,"N/A",26,"United States","English","Fourth","Natural Sciences","Female","No","chrome",1416,880,"Mac OS","2022-03-08T21:47:17.106Z","success","winter22",1,0,11.4089333333333
"EUUV1","SGC5A","11115","point-click","wi22sona","2217","38373","sona","asynch","FALSE","The dots on the graph signal the shift's start time.","I tried my best on each question",3,4,1,"",20,"USA","English","Third","Social Sciences (incl. CogSci)","Male","","chrome",2560,1307,"Windows 10","2022-03-09T00:17:03.783Z","success","winter22",1,0,4.7344
"XV09T","SGC5A","11115","point-click","wi22sona","2217","41461","sona","asynch","FALSE","Both F and B are graphed under 12pm.","I tried my best on each question",3,3,5,"",21,"United States","English","Third","Social Sciences (incl. CogSci)","Female","No","chrome",1439,696,"Mac OS","2022-03-08T04:35:42.334Z","success","winter22",1,0,7.16075
"XLH9B","SGC5A","11115","point-click","wi22sona","2217","38574","sona","asynch","FALSE","Using the bottom axis you find 12pm, then move upward. The points that fall in line with 12pm start at 12pm.","I tried my best on each question",3,3,3,"",21,"United States","English","Fourth","Social Sciences (incl. CogSci)","Male","No.","chrome",1920,937,"Windows 10","2022-03-07T23:24:51.368Z","success","winter22",1,0,12.7335333333333
"KQBZN","SGC5A","11115","point-click","wi22sona","2217","42906","sona","asynch","FALSE","look at bottom axis","I tried my best on most questions",2,4,1,"",19,"USA","English","Second","Social Sciences (incl. CogSci)","Male","","chrome",2048,1042,"Windows 10","2022-03-08T21:23:41.895Z","success","winter22",1,0,26.5053666666667
"47G4D","SGC5A","11115","point-click","wi22sona","2217","38790","sona","asynch","FALSE","B and F start at 12 pm because their dots line up on 12","I tried my best on most questions",3,3,4,"",21,"United States","English","Fourth","Social Sciences (incl. CogSci)","Female"," NO","chrome",1440,733,"Mac OS","2022-03-08T02:12:46.274Z","success","winter22",2,0,6.7302
"GQX64","SGC5A","11115","point-click","wi22sona","2217","40220","sona","asynch","FALSE","just look at the x axis, which dot is on x axis 12 pm
","I tried my best on most questions",1,3,1,"",20,"china ","Mandarin","Second","Social Sciences (incl. CogSci)","Female","","chrome",1440,720,"Mac OS","2022-03-08T22:35:35.977Z","success","winter22",1,0,7.64733333333333
"9DK63","SGC5A","11115","point-click","wi22sona","2217","34802","sona","asynch","FALSE","Look at the x-axis and find 12pm ","I tried my best on each question",2,4,3,"",21,"Mongolia","X-Other","Third","Social Sciences (incl. CogSci)","Female","no ","chrome",1440,789,"Mac OS","2022-03-09T00:27:30.747Z","success","winter22",1,0,11.5772166666667
"6FM91","SGC5A","11115","point-click","wi22sona","2217","38782","sona","asynch","FALSE","Look at 12pm and go straight up.","I tried my best on each question",4,2,5,"",19,"United States","English","Second","Social Sciences (incl. CogSci)","Female","","chrome",1440,821,"Mac OS","2022-03-09T06:52:10.677Z","success","winter22",1,0,11.52305
"64VZS","SGC5A","11115","point-click","wi22sona","2217","27100","sona","asynch","FALSE","To determine if a shift starts at 12 pm, we need to check if the data point lies on the right-tilting line that passes through 12 pm on the x-axis.","I tried my best on each question",2,5,5,"",21,"China","Mandarin","Fourth","Social Sciences (incl. CogSci)","Female","None","chrome",1440,703,"Mac OS","2022-03-08T19:50:31.407Z","success","winter22",1,0,12.9173166666667
"4BCUB","SGC5A","11115","point-click","wi22sona","2217","41696","sona","asynch","FALSE","You would look at the X axis.","I tried my best on each question",2,4,1,"Nothing.",20,"United States","X-Other","Third","Humanities","Female","No.","chrome",1440,821,"Mac OS","2022-03-08T07:30:12.959Z","success","winter22",1,0,24.31175
"QGTVP","SGC5A","11115","point-click","wi22sona","2217","32448","sona","asynch","FALSE","If the dots have x coordinate value 12 pm then it has start time at 12 pm","I tried my best on each question",3,4,2,"",20,"China","Mandarin","Third","Biomedical & Health Sciences","Male","","chrome",2560,1218,"Windows 10","2022-03-09T06:59:00.468Z","success","winter22",1,0,10.3842333333333
"Q10C6","SGC5A","11115","point-click","wi22sona","2217","42782","sona","asynch","FALSE","check the vertical line of 12 Pm, and find there are two points B and F. ","I tried my best on most questions",3,2,2,"no",21,"China","Mandarin","Second","Math or Computer Sciences","Female","no","chrome",1440,789,"Mac OS","2022-03-08T22:30:35.391Z","success","winter22",2,0,8.04953333333333
"MTFDT","SGC5A","11115","point-click","wi22sona","2217","38372","sona","asynch","FALSE","","I tried my best on most questions",2,3,4,"",21,"USA","English","Third","Social Sciences (incl. CogSci)","Female","","chrome",1440,821,"Mac OS","2022-03-09T01:20:38.636Z","success","winter22",1,0,6.0814
"O9K5K","SGC5A","11115","point-click","wi22sona","2217","41924","sona","asynch","FALSE","By looking at the x-axis and going to 12 PM to see which shifts start then.","I tried my best on each question",3,3,4,"",21,"United States","English","Third","Social Sciences (incl. CogSci)","Female","","chrome",1295,766,"Mac OS","2022-03-08T23:14:50.082Z","success","winter22",1,0,9.68088333333333
"3QQX3","SGC5A","11115","point-click","wi22sona","2217","39648","sona","asynch","FALSE","Look at the 12pm on the X-axis and then go up vertically, and see which dots are directly above 12pm.","I tried my best on most questions",4,2,2,"I originally thought I should follow slanted lines to find the start times (in opposition to straight up), but half way through the questions led me to believe that it should be straight above the lines.",19,"US","English","Second","Social Sciences (incl. CogSci)","Male","","chrome",1440,821,"Mac OS","2022-03-08T18:56:39.680Z","success","winter22",1,0,15.2533333333333
"N8UV7","SGC5A","11115","point-click","wi22sona","2217","42759","sona","asynch","FALSE","see at the left lint at 12pm","I tried my best on each question",1,5,3,"",20,"Taiwan","Mandarin","First","Biomedical & Health Sciences","Female","","chrome",1440,764,"Mac OS","2022-03-09T06:54:50.869Z","success","winter22",1.5,0,6.55208333333333
"3N5PQ","SGC5A","11115","point-click","wi22sona","2217","42000","sona","asynch","FALSE","To determine which events start at 12 pm, I need to look at the x axis, which represents the Start and End Time.","I tried my best on each question",3,4,4,"It was an interesting experience, it is nice to see how graphs can be demonstrated and also interpreted. ",18,"United States","English","First","Math or Computer Sciences","Male","N/A","chrome",1440,796,"Mac OS","2022-03-08T12:36:30.638Z","success","winter22",1,0,9.92216666666667
"VPBE4","SGC5A","11115","point-click","wi22sona","2217","43001","sona","asynch","FALSE","you follow the direction from the 12 number until you find a point in the graphic
","I tried my best on each question",2,4,4,"",21,"Spain","Spanish","Fourth","Social Sciences (incl. CogSci)","Female","","chrome",1440,849,"Windows 10","2022-03-09T00:28:01.141Z","success","winter22",1,0,10.8529
"B8HA2","SGC5A","11115","point-click","wi22sona","2217","35289","sona","asynch","FALSE","Go to 12pm on the x-axis and go up to see what points are there ","I tried my best on each question",4,4,4,"",21,"United States","English","Third","Social Sciences (incl. CogSci)","Female","","chrome",1201,707,"Mac OS","2022-03-08T20:34:21.928Z","success","winter22",2,0,17.1005
"WF1M3","SGC5A","11115","point-click","wi22sona","2217","30445","sona","asynch","FALSE","Which events are on the same vertical axis as 12 pm","I tried my best on most questions",2,4,4,"",21,"India","English","Fourth","Social Sciences (incl. CogSci)","Female","No","chrome",1536,754,"Windows 10","2022-03-08T09:16:39.373Z","success","winter22",3,0,11.1800833333333
"LOGAL","SGC5A","11115","point-click","wi22sona","2217","43292","sona","asynch","FALSE","Look where 12 pm is on the x-axis and then go up in a straight line from there. The points you hit are the shifts that start at that time.","I tried my best on each question",2,5,5,"",18,"United States","English","First","Natural Sciences","Male","None","chrome",1633,887,"Mac OS","2022-03-09T06:57:10.348Z","success","winter22",3,0,11.0259
"9PH05","SGC5A","11115","point-click","wi22sona","2217","43303","sona","asynch","FALSE","Look at the bottom of the chart where 12 pm is located and go straight up from 12 pm to see which dots land on that time.","I tried my best on each question",4,2,3,"",19,"USA","English","Second","Engineering","Male","No","chrome",1858,977,"Windows 10","2022-03-08T22:15:42.339Z","success","winter22",2,0,12.40915
"ADRO0","SGC5A","11115","point-click","wi22sona","2217","36499","sona","asynch","FALSE","F and B are directly vertical of 12pm on the x-axis.","I tried my best on each question",3,4,4,"N/A",20,"United States of America","English","Third","Social Sciences (incl. CogSci)","Female","No","chrome",1440,776,"Mac OS","2022-03-09T06:43:51.398Z","success","winter22",2,0,21.2346333333333
"HNM67","SGC5A","11115","point-click","wi22sona","2217","33748","sona","asynch","FALSE","Both B and F are at 12 pm on the horizontal axis","I tried my best on each question",5,3,2,"",26,"United States of America","Spanish","Fourth","Social Sciences (incl. CogSci)","Male","","chrome",1536,722,"Windows 10","2022-03-08T00:49:21.335Z","success","winter22",1,0,12.2191
"3H75M","SGC5A","11115","point-click","wi22sona","2217","41659","sona","asynch","FALSE","look at the time at the x-axis, then look for which dot is up on there","I tried my best on each question",5,1,3,"",18,"China","Mandarin","First","Social Sciences (incl. CogSci)","Male","","chrome",1440,725,"Mac OS","2022-03-08T20:36:12.862Z","success","winter22",1,0,7.60953333333333
"0A9WN","SGC5A","11115","point-click","wi22sona","2217","34563","sona","asynch","FALSE","the data point is the 'point"" of the triangle. The line to the base of the triangle on the left tells you what time they start. ","I tried my best on most questions",5,2,3,"",20,"USA","X-Other","Third","Social Sciences (incl. CogSci)","Female","no","chrome",1440,821,"Mac OS","2022-03-08T03:36:11.928Z","success","winter22",2,0,21.2460666666667
"F6V09","SGC5A","11115","point-click","wi22sona","2217","37410","sona","asynch","FALSE","It lies underneath the point 12pm ","I tried my best on each question",3,4,4,"being able to zoom in would be a plus when you're cursing around the graph",24,"USA","Spanish","Fourth","Social Sciences (incl. CogSci)","Female","","chrome",1360,703,"Mac OS","2022-03-09T04:03:30.538Z","success","winter22",1,0,9.48796666666667
"LNEF7","SGC5A","11115","point-click","wi22sona","2217","43280","sona","asynch","FALSE","Look at the 12pm time and follow the line that goes up to the right.","I tried my best on each question",4,3,3,"I think I got better at it along the way.",20,"United States","English","Third","Social Sciences (incl. CogSci)","Female","ADHD","chrome",1440,695,"Mac OS","2022-03-08T03:56:26.772Z","success","winter22",1,0,8.01355
"NOXYV","SGC5A","11115","point-click","wi22sona","2217","42474","sona","asynch","FALSE","look at x-axis","I tried my best on most questions",4,3,2,"",18,"United States","English","First","Social Sciences (incl. CogSci)","Female","","chrome",1422,687,"Mac OS","2022-03-08T23:23:28.898Z","success","winter22",1,0,5.45838333333333
"KW3D0","SGC5A","11115","point-click","wi22sona","2217","42585","sona","asynch","FALSE","draw a vertical line perpendicular to x-axis from the point 12pm","I tried my best on each question",4,3,2,"",19,"China","Mandarin","First","Social Sciences (incl. CogSci)","Female","","chrome",1440,789,"Mac OS","2022-03-08T06:45:24.911Z","success","winter22",1,0,10.1381
"F6QWV","SGC5A","11115","point-click","wi22sona","2217","37997","sona","asynch","FALSE","Look at where they lie on the x axis","I tried my best on each question",3,4,2,"",19,"America","English","Second","Natural Sciences","Female","","chrome",1440,821,"Mac OS","2022-03-08T05:09:13.385Z","success","winter22",1,0,7.26366666666667
"XJLSB","SGC5A","11115","point-click","wi22sona","2217","37251","sona","asynch","FALSE","viewing start on graph","I tried my best on each question",4,3,3,"was difficult to read the graph with limited instruction",27,"United States","English","Fourth","Social Sciences (incl. CogSci)","Male","n/a","chrome",1920,937,"Windows 10","2022-03-08T17:58:09.219Z","success","winter22",1,0,6.83665
"FFHE0","SGC5A","11115","point-click","wi22sona","2217","36224","sona","asynch","FALSE","Shifts B and F","I tried my best on most questions",4,3,5,"",19,"Mexico","Spanish","Second","Social Sciences (incl. CogSci)","Other-Not Listed","","chrome",1440,789,"Mac OS","2022-03-08T15:21:41.643Z","success","winter22",1,0,8.9307
"ZRRZW","SGC5A","11115","point-click","wi22sona","2217","27348","sona","asynch","FALSE","Look at the X axis and see which shifts start at noon. (F and B)","I tried my best on each question",4,2,4,"",21,"United States","English","Fourth","Social Sciences (incl. CogSci)","Female","","chrome",1228,706,"Mac OS","2022-03-07T22:22:53.765Z","success","winter22",1,0,9.59708333333333
"7SV52","SGC5A","11115","point-click","wi22sona","2217","42819","sona","asynch","FALSE","Its point is on the 12pm on the horizontal axis.","I tried my best on most questions",3,3,2,"I was confused at the beginning so most of my first answers are wrong.",18,"United States","English","First","Humanities","Male","No.","chrome",1440,821,"Mac OS","2022-03-08T20:54:32.303Z","success","winter22",1.5,0,13.0848333333333
"D6P9K","SGC5A","11115","point-click","wi22sona","2217","43079","sona","asynch","FALSE","events start at 12 pm if they lie on the diagonal line that starts at 12 and slants to the right.","I tried my best on each question",4,3,5,"At first I didnt understand how to read the graph so my first answers were probably wrong, but after a certain question I understood that I was supposed to be reading the graph a different way then how I was",19,"United States","English","Second","Natural Sciences","Female","","chrome",1140,696,"Windows 10","2022-03-09T07:02:26.739Z","success","winter22",3,0,10.2759666666667
"6B6X6","SGC5A","11115","point-click","wi22sona","2217","41516","sona","asynch","FALSE","B shift F shift starts J shift ends ","I tried my best on each question",5,1,5,"The task is interesting but the graph got me so confused reading it so i had to guess most of the time on how the graph works.",24,"USA","Cantonese","Third","Humanities","Male","","chrome",2560,1321,"Windows 10","2022-03-07T23:31:10.651Z","success","winter22",1,0,6.91948333333333
